"id";"jenis_aktiva";"quantity";"harga";"total";"tanggal_beli";"maks";"penyusutan";"pemakaian";"status";"id_cat";"created_at";"updated_at"
"34";"BANGUNAN MEKAR WANGI";"1";"127485000";"127485000";"2009-11-30 00:00:00";"15";"708250.00";"96";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"35";"ONGKOS TUKANG BANGUNAN MW (BP.WAHYU)";"1";"22500000";"22500000";"2009-11-30 00:00:00";"15";"125000.00";"96";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"36";"BANG. MW (SMP)";"1";"99354500";"99354500";"2009-12-30 00:00:00";"15";"551969.44";"95";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"37";"ONGKOS TK.BANG.MW (SMP)";"1";"28700000";"28700000";"2009-12-30 00:00:00";"15";"159444.44";"95";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"38";"BANG.MW (SMP)";"1";"61784000";"61784000";"2010-01-30 00:00:00";"15";"343244.44";"94";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"39";"ONGKOS TUKANG BANG. MW (SMP)";"1";"26000000";"26000000";"2010-01-30 00:00:00";"15";"144444.44";"94";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"40";"ONGKOS TUKANG ( WAHYU )";"1";"21000000";"21000000";"2010-02-28 00:00:00";"15";"116666.67";"93";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"41";"BANGUNAN MEKAR WANGI";"1";"158208000";"158208000";"2010-02-28 00:00:00";"15";"878933.33";"93";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"42";"BANG. MW (SMP)";"1";"115401600";"115401600";"2010-03-30 00:00:00";"15";"641120.00";"92";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"43";"ONGKOS TKG BANG.MW (SMP)";"1";"35000000";"35000000";"2010-03-30 00:00:00";"15";"194444.44";"92";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"44";"BHN BANG.MW (SMP)";"1";"252221800";"252221800";"2010-04-30 00:00:00";"15";"1401232.22";"91";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"45";"ONGKOS BANG. MW (SMP)";"1";"19500000";"19500000";"2010-04-30 00:00:00";"15";"108333.33";"91";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"46";"BAHAN BANGUNAN MW( SMP)";"1";"66467300";"66467300";"2010-05-30 00:00:00";"15";"369262.78";"90";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"47";"TUKANG BANG. MW ( SMP )";"1";"36000000";"36000000";"2010-05-30 00:00:00";"15";"200000.00";"90";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"48";"BHN. BANG. MW TAHAP 3";"1";"58694500";"58694500";"2010-06-30 00:00:00";"15";"326080.56";"89";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"49";"ONGKOS TUKANG BANG";"1";"26000000";"26000000";"2010-06-30 00:00:00";"15";"144444.44";"89";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"50";"BANG. MW TAHAP3";"1";"87653343";"87653343";"2010-07-30 00:00:00";"15";"486963.02";"88";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"51";"ONGKOS TUKANG BANG TAHAP 3";"1";"27500000";"27500000";"2010-07-30 00:00:00";"15";"152777.78";"88";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"52";"BAHAN2 BANG MW";"1";"244964500";"244964500";"2010-08-30 00:00:00";"15";"1360913.89";"86";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"53";"ONGKOS TKG BANG (WAHYU)";"1";"15000000";"15000000";"2010-08-30 00:00:00";"15";"83333.33";"86";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"54";"ONGKOS BHN BANG MW (WAHYU)";"1";"20500000";"20500000";"2010-08-30 00:00:00";"15";"113888.89";"86";"D";"1";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
