"id";"jenis_aktiva";"quantity";"harga";"total";"tanggal_beli";"maks";"penyusutan";"pemakaian";"status";"id_cat";"created_at";"updated_at"
"140";"BACTERI INCUBATOR (8.55JT)+RRC ELECTRIC (1.755JT)";"1";"10305000";"10305000";"2016-08-30 00:00:00";"1";"858750.00";"12";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"141";"TV40""PANASONIC (AULA MW-@3.95JT)),PRINTER SMP MW";"2";"4650000";"9300000";"2016-08-30 00:00:00";"2";"387500.00";"15";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"142";"PRINTER EPSON L-310";"1";"1765000";"1765000";"2016-09-30 00:00:00";"1";"147083.33";"12";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"143";"PRINTER EPSON L-310";"1";"1765000";"1765000";"2016-09-30 00:00:00";"1";"147083.33";"12";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"144";"PA AMPLIFIER ZA 230W,KABEL RCA U/AUDIO MIC KELAS";"1";"1075000";"1075000";"2016-09-30 00:00:00";"1";"89583.33";"12";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"145";"LEMARI ARSIP R.KEUANGAN";"1";"1682500";"1682500";"2016-10-30 00:00:00";"1";"140208.33";"12";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"146";"HANDYCAM+MEMORY U/ SMP & SMA MW";"2";"2525000";"5050000";"2017-01-30 00:00:00";"2";"210416.67";"10";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"147";" 1 LAPTOP ASUS PRO P2420LA U/ STAFF KEROHANIAN";"1";"6300000";"6300000";"2017-01-30 00:00:00";"1";"525000.00";"10";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"148";"LEMARI R.KEROHANIAN";"1";"1875000";"1875000";"2017-02-28 00:00:00";"1";"156250.00";"9";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"149";"KOMPUTER (U/ SERVER &CADANGAN UNBK) @7.770.000";"2";"7770000";"15540000";"2017-02-28 00:00:00";"2";"647500.00";"9";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"150";"MIXER MACKIE PRO";"1";"6600000";"6600000";"2017-02-28 00:00:00";"1";"550000.00";"9";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"151";"MESIN LAS INVERTER LAKONI FALCON 141 GE";"1";"1299600";"1299600";"2017-03-30 00:00:00";"1";"108300.00";"8";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"152";"AC Daikin 50 MV u/ R. Guru SMA";"1";"5550000";"5550000";"2017-07-30 00:00:00";"1";"462500.00";"4";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"153";"AC Daikin 50 MV u/ R. Aula";"2";"5550000";"11100000";"2017-07-30 00:00:00";"2";"462500.00";"4";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"154";"Printer EPSON L310 u/ Litbang & HRD";"2";"1695000";"3390000";"2017-07-30 00:00:00";"2";"141250.00";"4";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"155";"PRINTER EPSON L-310 UTK SMA";"1";"1695000";"1695000";"2017-08-30 00:00:00";"1";"141250.00";"3";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"156";"PROJECT CASIO UTK SMA";"1";"6700000";"6700000";"2017-08-30 00:00:00";"1";"558333.33";"3";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"157";"PRINTER EPSON L-310 SMP MW";"1";"1695000";"1695000";"2017-08-30 00:00:00";"1";"141250.00";"3";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"158";"PROJECTOR CASIO 2BH R.ROHANI,1BH R.RAPAT";"3";"6700000";"20100000";"2017-08-30 00:00:00";"3";"558333.33";"3";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"159";"AC DAIKIN+PSG (KLS SMA EX R.MUSIK)";"1";"6412000";"6412000";"2017-09-06 00:00:00";"1";"534333.33";"2";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"160";"1 UNIT PROCESSOR (BAG.SEKRETARIAT YKKI)";"1";"1400000";"1400000";"2017-09-20 00:00:00";"1";"116666.67";"2";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"161";"1 UNIT RAKITAN (BAG.IT YKKI)";"1";"6300000";"6300000";"2017-09-20 00:00:00";"1";"525000.00";"2";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"162";"SOUND SYSTEM TK/SD TKI";"1";"3700000";"3700000";"2016-02-29 00:00:00";"1";"308333.33";"12";"FD";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"163";" JETPUMP GRUNDFOS JD BASIC 5500 WATT";"1";"4715000";"4715000";"2016-03-30 00:00:00";"1";"392916.67";"12";"FD";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"164";"KURSI TUNGGU DUMA UTK TK&SD TKI @2BH";"4";"1250000";"5000000";"2016-04-30 00:00:00";"4";"104166.67";"19";"D";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"165";"1 SET SPEAKER+MIC WIRELESS SUX 14E/DGA 31";"1";"4000000";"4000000";"2016-06-30 00:00:00";"1";"333333.33";"12";"FD";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"166";"AC DAIKIN 1,5 PK@4,5JT, AC DAIKIN 2 PK 5,9JT+PERLNGKPN";"1";"5380556";"5380556";"2016-07-30 00:00:00";"1";"448379.63";"12";"FD";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"167";"AC DAIKIN 1,5 PK@4,5JT, AC DAIKIN 2 PK 5,9JT+PERLNGKPN";"2";"4759722";"9519444";"2016-07-30 00:00:00";"1";"793287.04";"3";"D";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"168";"INFOCUS @4,250,000 + 6 BRACKET @170,000";"1";"4762024";"4762024";"2016-07-30 00:00:00";"1";"396835.32";"12";"FD";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"169";"INFOCUS @4,250,000 + 6 BRACKET @170,000";"6";"4334663";"26007976";"2016-07-30 00:00:00";"1";"2167331.35";"3";"D";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"170";"MAINAN PER KUDA LAUT";"1";"2500000";"2500000";"2016-07-30 00:00:00";"1";"208333.33";"12";"FD";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"171";"MAINAN INDOOR MOTOR MINI & MINIATUR BUNGA @2,500,000";"1";"5000000";"5000000";"2016-09-30 00:00:00";"1";"416666.67";"12";"FD";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"172";"PRINTER EPSON L-310";"1";"1765000";"1765000";"2016-09-30 00:00:00";"1";"147083.33";"12";"FD";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"173";"MAINAN INDOOR TREADMILL";"1";"1000000";"1000000";"2016-09-30 00:00:00";"1";"83333.33";"12";"FD";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"174";"CENTRAL PABX PANASONIC TES-824 KAP 6 LINE-16 EXTENSION";"1";"5385000";"5385000";"2016-10-30 00:00:00";"1";"448750.00";"12";"FD";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"175";"PLAYGROUND ";"1";"47000000";"47000000";"2016-11-30 00:00:00";"5";"783333.33";"12";"D";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"176";"HANDYCAM+MEMORY+TRIPOD U/ TK & SD TKI";"2";"2675000";"5350000";"2017-01-30 00:00:00";"1";"445833.33";"10";"D";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"177";"AMPLIFIER TOA 120 WATT";"1";"2130000";"2130000";"2017-02-28 00:00:00";"1";"177500.00";"9";"D";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"178";"AC Daikin 50 MV";"1";"5550000";"5550000";"2017-07-30 00:00:00";"1";"462500.00";"4";"D";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"179";"PRINTER EPSON L-310 SD TKI";"1";"1695000";"1695000";"2017-08-30 00:00:00";"1";"141250.00";"3";"D";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"180";"PRINTER EPSON L-310 TK TKI";"1";"1695000";"1695000";"2017-08-30 00:00:00";"1";"141250.00";"3";"D";"4";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"181";"DAIHATSU G.MAX 1.3STD SILVER(MINIBUS)";"1";"108500000";"108500000";"2012-05-30 00:00:00";"5";"1808333.33";"60";"FD";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"182";"BAYAR I MOBIL Mitsubishi L300";"0";"83250000";"83250000";"2012-10-30 00:00:00";"5";"1387500.00";"60";"FD";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"183";"ANGSURAN 2 MOBIL Mitsubishi L300";"0";"9000000";"9000000";"2012-11-30 00:00:00";"5";"150000.00";"60";"FD";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"184";"ANGSURAN 3 MOBIL Mitsubishi L300";"0";"9000000";"9000000";"2012-12-30 00:00:00";"5";"150000.00";"59";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"185";"ANGSURAN 4 MOBIL Mitsubishi L300";"0";"9000000";"9000000";"2013-01-30 00:00:00";"5";"150000.00";"58";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"186";"ANGSURAN 5 MOBIL Mitsubishi L300";"0";"9000000";"9000000";"2013-02-28 00:00:00";"5";"150000.00";"57";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"187";"PEMBAYARAN I MOBIL SUZUKI APV PICKUP";"1";"50000000";"50000000";"2013-02-28 00:00:00";"5";"833333.33";"57";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"188";"PEMBAYARAN 2 MOBIL SUZUKI APV PICKUP";"0";"52000000";"52000000";"2013-03-30 00:00:00";"5";"866666.67";"57";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"189";"ANGSURAN 6 MOBIL Mitsubishi L300";"0";"9000000";"9000000";"2013-03-30 00:00:00";"5";"150000.00";"57";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"190";"ANGSURAN 7 MOBIL Mitsubishi L300";"0";"9000000";"9000000";"2013-04-30 00:00:00";"5";"150000.00";"56";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"191";"ANGSURAN 8 MOBIL Mitsubishi L300";"0";"9000000";"9000000";"2013-05-30 00:00:00";"5";"150000.00";"54";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"192";"ANGSURAN 9 MOBIL Mitsubishi L300";"0";"9000000";"9000000";"2013-06-30 00:00:00";"5";"150000.00";"53";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"193";"ANGSURAN 10 MOBIL Mitsubishi L300";"0";"9000000";"9000000";"2013-07-30 00:00:00";"5";"150000.00";"52";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"194";"ANGSURAN 11 MOBIL Mitsubishi L300";"0";"9000000";"9000000";"2013-08-30 00:00:00";"5";"150000.00";"51";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"195";"ANGSURAN 12 MOBIL Mitsubishi L300";"0";"9000000";"9000000";"2013-09-30 00:00:00";"5";"150000.00";"50";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"196";"MOTOR VARIO 125 (UTK DANIEL)";"1";"15734500";"15734500";"2014-01-30 00:00:00";"5";"262241.67";"47";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"197";"MOTOR REVO FIT (D5978MQ) SD KOPER";"1";"12800600";"12800600";"2015-03-30 00:00:00";"5";"213343.33";"35";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"198";"MOBIL IZUSU 18 SEAT";"1";"370000000";"370000000";"2015-06-30 00:00:00";"5";"6166666.67";"29";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"199";"MOBIL AVANZA VELOZ V A/T 1.3 PTH";"1";"199450000";"199450000";"2015-11-30 00:00:00";"5";"3324166.67";"24";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"200";"MOTOR HONDA REVO FIT BLACK GREEN";"1";"12200000";"12200000";"2015-12-30 00:00:00";"5";"203333.33";"23";"D";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"201";"MOTOR HONDA REVO SECOND (D4849ZZ)";"1";"4500000";"4500000";"2017-05-30 00:00:00";"0";"0.00";"0";"FD";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"202";"MOTOR HONDA D2591DB";"1";"9450000";"9450000";"2003-12-01 00:00:00";"3";"0.00";"36";"FD";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"203";"MOTOR HONDA REVO-CIATEUL";"1";"11400000";"11400000";"2010-11-30 00:00:00";"3";"0.00";"36";"FD";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"204";"HONDA D3314ED";"1";"10800000";"10800000";"2005-08-01 00:00:00";"2";"0.00";"24";"FD";"6";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"205";"Kipas Angin Untuk Kelas";"1";"3546000";"3546000";"2017-12-02 00:00:00";"1";"295500.00";"0";"D";"3";"2018-03-14 02:55:03";"2018-03-14 02:55:03"
"206";"Bangku depan UKS";"1";"1505500";"1505500";"2017-12-30 00:00:00";"1";"125458.00";"0";"D";"4";"2018-03-14 02:55:59";"2018-03-14 02:55:59"
