"No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"46";"BAHAN BANGUNAN MW( SMP)";"1";"2010-05-30";"15";"104";"8.67";"6.33";"66467300";"38403329.12";"28063970.88";"369262.78";"38772591.90";"27694708.10"
"47";"TUKANG BANG. MW ( SMP )";"1";"2010-05-30";"15";"104";"8.67";"6.33";"36000000";"20800000.00";"15200000.00";"200000";"21000000.00";"15000000.00"
"48";"BHN. BANG. MW TAHAP 3";"1";"2010-06-30";"15";"103";"8.58";"6.42";"58694500";"33586297.68";"25108202.32";"326080.56";"33912378.24";"24782121.76"
"49";"ONGKOS TUKANG BANG";"1";"2010-06-30";"15";"103";"8.58";"6.42";"26000000";"14877777.32";"11122222.68";"144444.44";"15022221.76";"10977778.24"
"50";"BANG. MW TAHAP3";"1";"2010-07-30";"15";"102";"8.5";"6.5";"87653343";"49670228.04";"37983114.96";"486963.02";"50157191.06";"37496151.94"
"51";"ONGKOS TUKANG BANG TAHAP 3";"1";"2010-07-30";"15";"102";"8.5";"6.5";"27500000";"15583333.56";"11916666.44";"152777.78";"15736111.34";"11763888.66"
"52";"BAHAN2 BANG MW";"1";"2010-08-30";"15";"100";"8.33";"6.67";"244964500";"136091389.00";"108873111.00";"1360913.89";"137452302.89";"107512197.11"
"53";"ONGKOS TKG BANG (WAHYU)";"1";"2010-08-30";"15";"100";"8.33";"6.67";"15000000";"8333333.00";"6666667.00";"83333.33";"8416666.33";"6583333.67"
"54";"ONGKOS BHN BANG MW (WAHYU)";"1";"2010-08-30";"15";"100";"8.33";"6.67";"20500000";"11388889.00";"9111111.00";"113888.89";"11502777.89";"8997222.11"
"55";"BAHAN2 BANG MW THP 3";"1";"2010-09-30";"15";"100";"8.33";"6.67";"124487000";"69159444.00";"55327556.00";"691594.4399999999";"69851038.44";"54635961.56"
"56";"ONGKOS TUKANG BANG.(WAHYU)";"1";"2010-09-30";"15";"100";"8.33";"6.67";"16500000";"9166667.00";"7333333.00";"91666.67";"9258333.67";"7241666.33"
"57";"BAHAN2 BANG.MW THP 3";"1";"2010-10-30";"15";"99";"8.25";"6.75";"38679500";"21273724.89";"17405775.11";"214886.11";"21488611.00";"17190889.00"
"58";"ONGKOS BANG MW (WAHYU)";"1";"2010-10-30";"15";"99";"8.25";"6.75";"25500000";"14025000.33";"11474999.67";"141666.67";"14166667.00";"11333333.00"
"59";"BAHAN2 BANG.MW THP 3";"1";"2010-11-30";"15";"98";"8.17";"6.83";"191992000";"104528977.56";"87463022.44";"1066622.22";"105595599.78";"86396400.22"
"60";"ONGKOS2 TKG BANG. MW";"1";"2010-11-30";"15";"98";"8.17";"6.83";"21500000";"11705555.12";"9794444.88";"119444.44";"11824999.56";"9675000.44"
"61";"DP I BANG/RENOV.SAMSUDIN-CTL(SUHANDY)";"1";"2010-12-30";"15";"97";"8.08";"6.92";"50000000";"26944444.66";"23055555.34";"277777.78";"27222222.44";"22777777.56"
"62";"BAHAN2 BANG. MW";"1";"2010-12-30";"15";"97";"8.08";"6.92";"103866000";"55972233.01";"47893766.99";"577033.33";"56549266.34";"47316733.66"
"63";"ONGKOS TUKANG BANG. MW";"1";"2010-12-30";"15";"97";"8.08";"6.92";"25500000";"13741666.99";"11758333.01";"141666.67";"13883333.66";"11616666.34"
"64";"BANG. SD CIATEUL (BANG.LAMA)";"1";"2011-01-30";"0";"0";"0";"0";"2700000000";"2700000000";"0";"0";"2700000000";"0"
"65";"BANG. TK KOPER (BANG.LAMA)";"1";"2011-01-30";"0";"0";"0";"0";"850000000";"850000000";"0";"0";"850000000";"0"
"66";"BANG. SD & SMP KOPER (BANG.LAMA)";"1";"2011-01-30";"0";"0";"0";"0";"4000000000";"4000000000";"0";"0";"4000000000";"0"
"67";"BANG. TKI (BANG.LAMA)";"1";"2011-01-30";"0";"0";"0";"0";"600000000";"600000000";"0";"0";"600000000";"0"
"68";"DP I. BANG/RENOV.CIATEUL (SUHANDY)";"1";"2011-01-30";"15";"96";"8";"7";"100000000";"53333333.76";"46666666.24";"555555.5600000001";"53888889.32";"46111110.68"
"69";"BAHAN2 BANG.MW THP 3";"1";"2011-01-30";"15";"96";"8";"7";"86337500";"46046666.88";"40290833.12";"479652.78";"46526319.66";"39811180.34"
"70";"ONGKOS TUKANG BANG.MW";"1";"2011-01-30";"15";"96";"8";"7";"22000000";"11733333.12";"10266666.88";"122222.22";"11855555.34";"10144444.66"
"71";"PENAMB. BANG.THP 1 MW (WASTAFEL)";"1";"2011-01-30";"1";"12";"1";"0";"423500";"423500";"0";"0";"423500";"0"
"72";"DP II BANG/RENOV.SAMSUDIN-CTL(SUHANDY)";"1";"2011-02-28";"15";"95";"7.92";"7.08";"50000000";"26388889.10";"23611110.90";"277777.78";"26666666.88";"23333333.12"
"73";"BAHAN2 BANG.MW THP 3";"1";"2011-02-28";"15";"95";"7.92";"7.08";"66709500";"35207791.35";"31501708.65";"370608.33";"35578399.68";"31131100.32"
"74";"ONGKOS TUKANG BANG.MW";"1";"2011-02-28";"15";"95";"7.92";"7.08";"22000000";"11611110.90";"10388889.10";"122222.22";"11733333.12";"10266666.88"
"75";"BAHAN2 BANG.MW THP 3";"1";"2011-03-30";"15";"94";"7.83";"7.17";"93895000";"49034055.66";"44860944.34";"521638.89";"49555694.55";"44339305.45"
"76";"ONGKOS TUKANG BANG.MW";"1";"2011-03-30";"15";"94";"7.83";"7.17";"19000000";"9922222.64";"9077777.36";"105555.56";"10027778.20";"8972221.80"
"77";"PELUNASAN BANG/RENOV.SAMSUDIN-CTL(SUHANDY)";"1";"2011-04-30";"15";"93";"7.75";"7.25";"50000000";"25833333.54";"24166666.46";"277777.78";"26111111.32";"23888888.68"
"78";"DP II BANG/RENOV.CIATEUL  (SUHANDY)";"1";"2011-04-30";"15";"93";"7.75";"7.25";"100000000";"51666667.08";"48333332.92";"555555.5600000001";"52222222.64";"47777777.36"
"79";"BAHAN2 BANG.MW THP 3";"1";"2011-04-30";"15";"93";"7.75";"7.25";"101780000";"52586332.92";"49193667.08";"565444.4399999999";"53151777.36";"48628222.64"
"80";"ONGKOS TUKANG BANG.MW";"1";"2011-04-30";"15";"93";"7.75";"7.25";"6700000";"3461666.46";"3238333.54";"37222.22";"3498888.68";"3201111.32"
"81";"BAHAN2 BANG.MW THP 3";"1";"2011-05-30";"15";"92";"7.67";"7.33";"84160500";"43015366.36";"41145133.64";"467558.33";"43482924.69";"40677575.31"
"82";"ONGKOS TUKANG BANG.MW";"1";"2011-05-30";"15";"92";"7.67";"7.33";"4000000";"2044444.24";"1955555.76";"22222.22";"2066666.46";"1933333.54"
"83";"BAHAN2 BANG MW THP 3";"1";"2011-06-30";"15";"91";"7.58";"7.42";"99090000";"50095500.00";"48994500.00";"550500";"50646000.00";"48444000.00"
"84";"ONGKOS TUKANG BANG.MW";"1";"2011-06-30";"15";"91";"7.58";"7.42";"10580000";"5348777.98";"5231222.02";"58777.78";"5407555.76";"5172444.24"
"85";"PELUN. BANG/RENOV.CIATEUL (SUHANDY)";"1";"2011-06-30";"15";"91";"7.58";"7.42";"64000000";"32355555.96";"31644444.04";"355555.56";"32711111.52";"31288888.48"
"";"";"";"";"";"";"";"TOTAL";"16535063493";"12645815431.31";"3889248061.69";"39436528.65";"12685251959.96";"3849811533.04"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Ciateul";"";"";"";"";"";"";"";"";"";"";"";"";""
"86";"KOMPUTER";"1";"2008-10-08";"24";"124";"10.33";"13.67";"4162400";"1792144.72";"2370255.28";"14452.78";"1806597.50";"2355802.50"
"87";"PELUNASAN MAINAN TK PASUNDAN";"1";"2012-04-30";"5";"60";"5";"0";"6000000";"6000000";"0";"0";"6000000";"0"
"88";"DRUMBAND 1 SET";"1";"2015-09-30";"5";"41";"3.42";"1.58";"10553535";"7211582.25";"3341952.75";"175892.25";"7387474.50";"3166060.50"
"89";"KEYBOARD PSRS770 SD CTL";"1";"2015-11-30";"2";"24";"2";"0";"12000000";"12000000";"0";"0";"12000000";"0"
"90";"LAPTOP ASUS (TK CTL)";"1";"2016-02-29";"1";"12";"1";"0";"3380000";"3380000";"0";"0";"3380000";"0"
"91";"SOUND SYSTEM TK/SD CTL";"1";"2016-02-29";"1";"12";"1";"0";"27700000";"27700000";"0";"0";"27700000";"0"
"92";"TV40""PANASONIC R.GURU SD CTL";"1";"2016-08-30";"1";"12";"1";"0";"3950000";"3950000";"0";"0";"3950000";"0"
"93";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"94";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
