    "No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"36";"BANG. MW (SMP)";"1";"2009-12-30";"15";"96";"8";"7";"99354500";"52989066.24";"46365433.76";"551969.4399999999";"53541035.68";"45813464.32"
"37";"ONGKOS TK.BANG.MW (SMP)";"1";"2009-12-30";"15";"96";"8";"7";"28700000";"15306666.24";"13393333.76";"159444.44";"15466110.68";"13233889.32"
"38";"BANG.MW (SMP)";"1";"2010-01-30";"15";"95";"7.92";"7.08";"61784000";"32608221.80";"29175778.20";"343244.44";"32951466.24";"28832533.76"
"39";"ONGKOS TUKANG BANG. MW (SMP)";"1";"2010-01-30";"15";"95";"7.92";"7.08";"26000000";"13722221.80";"12277778.20";"144444.44";"13866666.24";"12133333.76"
"40";"ONGKOS TUKANG ( WAHYU )";"1";"2010-02-28";"15";"94";"7.83";"7.17";"21000000";"10966666.98";"10033333.02";"116666.67";"11083333.65";"9916666.35"
"41";"BANGUNAN MEKAR WANGI";"1";"2010-02-28";"15";"94";"7.83";"7.17";"158208000";"82619733.02";"75588266.98";"878933.33";"83498666.35";"74709333.65"
"42";"BANG. MW (SMP)";"1";"2010-03-30";"15";"93";"7.75";"7.25";"115401600";"59624160.00";"55777440.00";"641120";"60265280.00";"55136320.00"
"43";"ONGKOS TKG BANG.MW (SMP)";"1";"2010-03-30";"15";"93";"7.75";"7.25";"35000000";"18083332.92";"16916667.08";"194444.44";"18277777.36";"16722222.64"
"44";"BHN BANG.MW (SMP)";"1";"2010-04-30";"15";"92";"7.67";"7.33";"252221800";"128913364.24";"123308435.76";"1401232.22";"130314596.46";"121907203.54"
"45";"ONGKOS BANG. MW (SMP)";"1";"2010-04-30";"15";"92";"7.67";"7.33";"19500000";"9966666.36";"9533333.64";"108333.33";"10074999.69";"9425000.31"
"46";"BAHAN BANGUNAN MW( SMP)";"1";"2010-05-30";"15";"91";"7.58";"7.42";"66467300";"33602912.98";"32864387.02";"369262.78";"33972175.76";"32495124.24"
"47";"TUKANG BANG. MW ( SMP )";"1";"2010-05-30";"15";"91";"7.58";"7.42";"36000000";"18200000.00";"17800000.00";"200000";"18400000.00";"17600000.00"
"48";"BHN. BANG. MW TAHAP 3";"1";"2010-06-30";"15";"90";"7.5";"7.5";"58694500";"29347250.40";"29347249.60";"326080.56";"29673330.96";"29021169.04"
"49";"ONGKOS TUKANG BANG";"1";"2010-06-30";"15";"90";"7.5";"7.5";"26000000";"12999999.60";"13000000.40";"144444.44";"13144444.04";"12855555.96"
"50";"BANG. MW TAHAP3";"1";"2010-07-30";"15";"89";"7.42";"7.58";"87653343";"43339708.78";"44313634.22";"486963.02";"43826671.80";"43826671.20"
"51";"ONGKOS TUKANG BANG TAHAP 3";"1";"2010-07-30";"15";"89";"7.42";"7.58";"27500000";"13597222.42";"13902777.58";"152777.78";"13750000.20";"13749999.80"
"52";"BAHAN2 BANG MW";"1";"2010-08-30";"15";"87";"7.25";"7.75";"244964500";"118399508.43";"126564991.57";"1360913.89";"119760422.32";"125204077.68"
"53";"ONGKOS TKG BANG (WAHYU)";"1";"2010-08-30";"15";"87";"7.25";"7.75";"15000000";"7249999.71";"7750000.29";"83333.33";"7333333.04";"7666666.96"
"54";"ONGKOS BHN BANG MW (WAHYU)";"1";"2010-08-30";"15";"87";"7.25";"7.75";"20500000";"9908333.43";"10591666.57";"113888.89";"10022222.32";"10477777.68"
"55";"BAHAN2 BANG MW THP 3";"1";"2010-09-30";"15";"87";"7.25";"7.75";"124487000";"60168716.28";"64318283.72";"691594.4399999999";"60860310.72";"63626689.28"
"56";"ONGKOS TUKANG BANG.(WAHYU)";"1";"2010-09-30";"15";"87";"7.25";"7.75";"16500000";"7975000.29";"8524999.71";"91666.67";"8066666.96";"8433333.04"
"57";"BAHAN2 BANG.MW THP 3";"1";"2010-10-30";"15";"86";"7.17";"7.83";"38679500";"18480205.46";"20199294.54";"214886.11";"18695091.57";"19984408.43"
"58";"ONGKOS BANG MW (WAHYU)";"1";"2010-10-30";"15";"86";"7.17";"7.83";"25500000";"12183333.62";"13316666.38";"141666.67";"12325000.29";"13174999.71"
"59";"BAHAN2 BANG.MW THP 3";"1";"2010-11-30";"15";"85";"7.08";"7.92";"191992000";"90662888.70";"101329111.30";"1066622.22";"91729510.92";"100262489.08"
"60";"ONGKOS2 TKG BANG. MW";"1";"2010-11-30";"15";"85";"7.08";"7.92";"21500000";"10152777.40";"11347222.60";"119444.44";"10272221.84";"11227778.16"
"61";"DP I BANG/RENOV.SAMSUDIN-CTL(SUHANDY)";"1";"2010-12-30";"15";"84";"7";"8";"50000000";"23333333.52";"26666666.48";"277777.78";"23611111.30";"26388888.70"
"62";"BAHAN2 BANG. MW";"1";"2010-12-30";"15";"84";"7";"8";"103866000";"48470799.72";"55395200.28";"577033.33";"49047833.05";"54818166.95"
"63";"ONGKOS TUKANG BANG. MW";"1";"2010-12-30";"15";"84";"7";"8";"25500000";"11900000.28";"13599999.72";"141666.67";"12041666.95";"13458333.05"
"64";"BANG. SD CIATEUL (BANG.LAMA)";"1";"2011-01-30";"0";"0";"0";"0";"2700000000";"2700000000";"0";"0";"2700000000";"0"
"65";"BANG. TK KOPER (BANG.LAMA)";"1";"2011-01-30";"0";"0";"0";"0";"850000000";"850000000";"0";"0";"850000000";"0"
"66";"BANG. SD & SMP KOPER (BANG.LAMA)";"1";"2011-01-30";"0";"0";"0";"0";"4000000000";"4000000000";"0";"0";"4000000000";"0"
"67";"BANG. TKI (BANG.LAMA)";"1";"2011-01-30";"0";"0";"0";"0";"600000000";"600000000";"0";"0";"600000000";"0"
"68";"DP I. BANG/RENOV.CIATEUL (SUHANDY)";"1";"2011-01-30";"15";"83";"6.92";"8.08";"100000000";"46111111.48";"53888888.52";"555555.5600000001";"46666667.04";"53333332.96"
"69";"BAHAN2 BANG.MW THP 3";"1";"2011-01-30";"15";"83";"6.92";"8.08";"86337500";"39811180.74";"46526319.26";"479652.78";"40290833.52";"46046666.48"
"70";"ONGKOS TUKANG BANG.MW";"1";"2011-01-30";"15";"83";"6.92";"8.08";"22000000";"10144444.26";"11855555.74";"122222.22";"10266666.48";"11733333.52"
"71";"PENAMB. BANG.THP 1 MW (WASTAFEL)";"1";"2011-01-30";"1";"12";"1";"0";"423500";"423500";"0";"0";"423500";"0"
"72";"DP II BANG/RENOV.SAMSUDIN-CTL(SUHANDY)";"1";"2011-02-28";"15";"82";"6.83";"8.17";"50000000";"22777777.96";"27222222.04";"277777.78";"23055555.74";"26944444.26"
"73";"BAHAN2 BANG.MW THP 3";"1";"2011-02-28";"15";"82";"6.83";"8.17";"66709500";"30389883.06";"36319616.94";"370608.33";"30760491.39";"35949008.61"
"74";"ONGKOS TUKANG BANG.MW";"1";"2011-02-28";"15";"82";"6.83";"8.17";"22000000";"10022222.04";"11977777.96";"122222.22";"10144444.26";"11855555.74"
"75";"BAHAN2 BANG.MW THP 3";"1";"2011-03-30";"15";"81";"6.75";"8.25";"93895000";"42252750.09";"51642249.91";"521638.89";"42774388.98";"51120611.02"
"76";"ONGKOS TUKANG BANG.MW";"1";"2011-03-30";"15";"81";"6.75";"8.25";"19000000";"8550000.36";"10449999.64";"105555.56";"8655555.92";"10344444.08"
"77";"PELUNASAN BANG/RENOV.SAMSUDIN-CTL(SUHANDY)";"1";"2011-04-30";"15";"80";"6.67";"8.33";"50000000";"22222222.40";"27777777.60";"277777.78";"22500000.18";"27499999.82"
"78";"DP II BANG/RENOV.CIATEUL  (SUHANDY)";"1";"2011-04-30";"15";"80";"6.67";"8.33";"100000000";"44444444.80";"55555555.20";"555555.5600000001";"45000000.36";"54999999.64"
"79";"BAHAN2 BANG.MW THP 3";"1";"2011-04-30";"15";"80";"6.67";"8.33";"101780000";"45235555.20";"56544444.80";"565444.4399999999";"45800999.64";"55979000.36"
"80";"ONGKOS TUKANG BANG.MW";"1";"2011-04-30";"15";"80";"6.67";"8.33";"6700000";"2977777.60";"3722222.40";"37222.22";"3014999.82";"3685000.18"
"81";"BAHAN2 BANG.MW THP 3";"1";"2011-05-30";"15";"79";"6.58";"8.42";"84160500";"36937108.07";"47223391.93";"467558.33";"37404666.40";"46755833.60"
"82";"ONGKOS TUKANG BANG.MW";"1";"2011-05-30";"15";"79";"6.58";"8.42";"4000000";"1755555.38";"2244444.62";"22222.22";"1777777.60";"2222222.40"
"83";"BAHAN2 BANG MW THP 3";"1";"2011-06-30";"15";"78";"6.5";"8.5";"99090000";"42939000.00";"56151000.00";"550500";"43489500.00";"55600500.00"
"84";"ONGKOS TUKANG BANG.MW";"1";"2011-06-30";"15";"78";"6.5";"8.5";"10580000";"4584666.84";"5995333.16";"58777.78";"4643444.62";"5936555.38"
"85";"PELUN. BANG/RENOV.CIATEUL (SUHANDY)";"1";"2011-06-30";"15";"78";"6.5";"8.5";"64000000";"27733333.68";"36266666.32";"355555.56";"28088889.24";"35911110.76"
"";"";"";"";"";"";"";"TOTAL";"16535063493";"12133140558.86";"4401922934.14";"39436528.65";"12172577087.51";"4362486405.49"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Ciateul";"";"";"";"";"";"";"";"";"";"";"";"";""
"86";"KOMPUTER";"1";"2008-10-08";"24";"111";"9.25";"14.75";"4162400";"1604258.58";"2558141.42";"14452.78";"1618711.36";"2543688.64"
"87";"PELUNASAN MAINAN TK PASUNDAN";"1";"2012-04-30";"5";"60";"5";"0";"6000000";"6000000";"0";"0";"6000000";"0"
"88";"DRUMBAND 1 SET";"1";"2015-09-30";"5";"28";"2.33";"2.67";"10553535";"4924983.00";"5628552.00";"175892.25";"5100875.25";"5452659.75"
"89";"KEYBOARD PSRS770 SD CTL";"1";"2015-11-30";"2";"24";"2";"0";"12000000";"12000000";"0";"0";"12000000";"0"
"90";"LAPTOP ASUS (TK CTL)";"1";"2016-02-29";"1";"12";"1";"0";"3380000";"3380000";"0";"0";"3380000";"0"
"91";"SOUND SYSTEM TK/SD CTL";"1";"2016-02-29";"1";"12";"1";"0";"27700000";"27700000";"0";"0";"27700000";"0"
"92";"TV40""PANASONIC R.GURU SD CTL";"1";"2016-08-30";"1";"12";"1";"0";"3950000";"3950000";"0";"0";"3950000";"0"
"93";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"94";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"95";"1 SET PERLENGK.DRUMBAND (8 BH SNAREDRUM,2 BH STIK MAYORET,2 BH BELLYRA)";"1";"2016-10-30";"1";"12";"1";"0";"8812800";"8812800";"0";"0";"8812800";"0"
"96";" 2 HANDYCAM+MEMORY+TRIPOD U/ TK & SD CTL";"1";"2017-01-30";"1";"11";"0.92";"0.08";"5350000";"4904166.63";"445833.37";"445833.33";"5349999.96";"0.04"
"97";"PC INTEL LGA + MAINBOARD + HARDISK";"11";"2017-07-30";"1";"5";"0.42";"0.58";"42570000";"17737500.00";"24832500.00";"3547500";"21285000.00";"21285000.00"
"98";"PRINTER EPSON L-310 SD CTL";"1";"2017-08-30";"1";"4";"0.33";"0.67";"1690000";"563333.32";"1126666.68";"140833.33";"704166.65";"985833.35"
"99";"PRINTER EPSON L-310 TK CTL";"1";"2017-08-30";"1";"4";"0.33";"0.67";"1690000";"563333.32";"1126666.68";"140833.33";"704166.65";"985833.35"
"100";"DP I MAINAN TK PASUNDAN (I.PRISKA)";"0";"2011-10-30";"5";"60";"5";"0";"9000000";"9000000";"0";"0";"9000000";"0"
"101";"DP II MAINAN TK PASUNDAN (I.PRISKA)";"1";"2011-12-30";"5";"60";"5";"0";"15000000";"15000000";"0";"0";"15000000";"0"
"";"";"";"";"";"";"";"TOTAL";"155388735";"119670374.85";"35718360.15";"4465345.02";"124135719.87";"31253015.13"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Kopo Permai";"";"";"";"";"";"";"";"";"";"";"";"";""
"102";"TV SHARP LED 24"" (CCTV SMP KOPER)";"2";"2014-12-30";"2";"24";"2";"0";"3500000";"3500000";"0";"0";"3500000";"0"
"103";"PERSNL KOMPT @5.920.000";"6";"2015-06-30";"6";"30";"2.5";"3.5";"35520000";"14799999.90";"20720000.10";"493333.33";"15293333.23";"20226666.77"
"104";"AC RUANG AUDIO SMP KOPER";"2";"2015-09-30";"2";"24";"2";"0";"9000000";"9000000";"0";"0";"9000000";"0"
"105";"TV 32"" SAMSUNG (R.TUNGGU) SMP KOPER";"1";"2015-11-30";"1";"12";"1";"0";"2625000";"2625000";"0";"0";"2625000";"0"
"106";"AC+ONGKOS+PIPA+BREKET (bang baru)";"16";"2015-12-30";"16";"24";"2";"14";"85800000";"10725000.00";"75075000.00";"446875";"11171875.00";"74628125.00"
"107";"LAPTOP ASUS SMP KOPER";"1";"2016-02-29";"1";"12";"1";"0";"3380000";"3380000";"0";"0";"3380000";"0"
