    "No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"153";"AC Daikin 50 MV u/ R. Aula";"2";"2017-07-30";"2";"5";"0.42";"1.58";"11100000";"2312500.00";"8787500.00";"462500";"2775000.00";"8325000.00"
"154";"Printer EPSON L310 u/ Litbang & HRD";"2";"2017-07-30";"2";"5";"0.42";"1.58";"3390000";"706250.00";"2683750.00";"141250";"847500.00";"2542500.00"
"155";"PRINTER EPSON L-310 UTK SMA";"1";"2017-08-30";"1";"4";"0.33";"0.67";"1695000";"565000.00";"1130000.00";"141250";"706250.00";"988750.00"
"156";"PROJECT CASIO UTK SMA";"1";"2017-08-30";"1";"4";"0.33";"0.67";"6700000";"2233333.32";"4466666.68";"558333.33";"2791666.65";"3908333.35"
"157";"PRINTER EPSON L-310 SMP MW";"1";"2017-08-30";"1";"4";"0.33";"0.67";"1695000";"565000.00";"1130000.00";"141250";"706250.00";"988750.00"
"158";"PROJECTOR CASIO 2BH R.ROHANI,1BH R.RAPAT";"3";"2017-08-30";"3";"4";"0.33";"2.67";"20100000";"2233333.32";"17866666.68";"558333.33";"2791666.65";"17308333.35"
"159";"AC DAIKIN+PSG (KLS SMA EX R.MUSIK)";"1";"2017-09-06";"1";"3";"0.25";"0.75";"6412000";"1602999.99";"4809000.01";"534333.33";"2137333.32";"4274666.68"
"160";"1 UNIT PROCESSOR (BAG.SEKRETARIAT YKKI)";"1";"2017-09-20";"1";"3";"0.25";"0.75";"1400000";"350000.01";"1049999.99";"116666.67";"466666.68";"933333.32"
"161";"1 UNIT RAKITAN (BAG.IT YKKI)";"1";"2017-09-20";"1";"3";"0.25";"0.75";"6300000";"1575000.00";"4725000.00";"525000";"2100000.00";"4200000.00"
"";"";"";"";"";"";"";"TOTAL";"258236900";"152659222.41";"105577677.59";"7466494.45";"160125716.86";"98111183.14"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Mekar Wangi";"";"";"";"";"";"";"";"";"";"";"";"";""
"162";"SOUND SYSTEM TK/SD TKI";"1";"2016-02-29";"1";"12";"1";"0";"3700000";"3700000";"0";"0";"3700000";"0"
"163";" JETPUMP GRUNDFOS JD BASIC 5500 WATT";"1";"2016-03-30";"1";"12";"1";"0";"4715000";"4715000";"0";"0";"4715000";"0"
"164";"KURSI TUNGGU DUMA UTK TK&SD TKI @2BH";"4";"2016-04-30";"4";"20";"1.67";"2.33";"5000000";"2083333.40";"2916666.60";"104166.67";"2187500.07";"2812499.93"
"165";"1 SET SPEAKER+MIC WIRELESS SUX 14E/DGA 31";"1";"2016-06-30";"1";"12";"1";"0";"4000000";"4000000";"0";"0";"4000000";"0"
"166";"AC DAIKIN 1,5 PK@4,5JT, AC DAIKIN 2 PK 5,9JT+PERLNGKPN";"1";"2016-07-30";"1";"12";"1";"0";"5380556";"5380556";"0";"0";"5380556";"0"
"167";"AC DAIKIN 1,5 PK@4,5JT, AC DAIKIN 2 PK 5,9JT+PERLNGKPN";"2";"2016-07-30";"1";"4";"0.33";"0.67";"9519444";"3173148.00";"6346296.00";"793287";"3966435.00";"5553009.00"
"168";"INFOCUS @4,250,000 + 6 BRACKET @170,000";"1";"2016-07-30";"1";"12";"1";"0";"4762024";"4762024";"0";"0";"4762024";"0"
"169";"INFOCUS @4,250,000 + 6 BRACKET @170,000";"6";"2016-07-30";"1";"4";"0.33";"0.67";"26007976";"8669325.32";"17338650.68";"2167331.33";"10836656.65";"15171319.35"
"170";"MAINAN PER KUDA LAUT";"1";"2016-07-30";"1";"12";"1";"0";"2500000";"2500000";"0";"0";"2500000";"0"
"171";"MAINAN INDOOR MOTOR MINI & MINIATUR BUNGA @2,500,000";"1";"2016-09-30";"1";"12";"1";"0";"5000000";"5000000";"0";"0";"5000000";"0"
"172";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"173";"MAINAN INDOOR TREADMILL";"1";"2016-09-30";"1";"12";"1";"0";"1000000";"1000000";"0";"0";"1000000";"0"
"174";"CENTRAL PABX PANASONIC TES-824 KAP 6 LINE-16 EXTENSION";"1";"2016-10-30";"1";"12";"1";"0";"5385000";"5385000";"0";"0";"5385000";"0"
"175";"PLAYGROUND ";"1";"2016-11-30";"5";"13";"1.08";"3.92";"47000000";"10183333.29";"36816666.71";"783333.33";"10966666.62";"36033333.38"
"176";"HANDYCAM+MEMORY+TRIPOD U/ TK & SD TKI";"2";"2017-01-30";"1";"11";"0.92";"0.08";"5350000";"4904166.63";"445833.37";"445833.33";"5349999.96";"0.04"
"177";"AMPLIFIER TOA 120 WATT";"1";"2017-02-28";"1";"10";"0.83";"0.17";"2130000";"1775000.00";"355000.00";"177500";"1952500.00";"177500.00"
"178";"AC Daikin 50 MV";"1";"2017-07-30";"1";"5";"0.42";"0.58";"5550000";"2312500.00";"3237500.00";"462500";"2775000.00";"2775000.00"
"179";"PRINTER EPSON L-310 SD TKI";"1";"2017-08-30";"1";"4";"0.33";"0.67";"1695000";"565000.00";"1130000.00";"141250";"706250.00";"988750.00"
"180";"PRINTER EPSON L-310 TK TKI";"1";"2017-08-30";"1";"4";"0.33";"0.67";"1695000";"565000.00";"1130000.00";"141250";"706250.00";"988750.00"
"";"";"";"";"";"";"";"TOTAL";"142155000";"72438386.64";"69716613.36";"5216451.66";"77654838.30";"64500161.70"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventari Kendaraan";"";"";"";"";"";"";"";"";"";"";"";"";""
"181";"DAIHATSU G.MAX 1.3STD SILVER(MINIBUS)";"1";"2012-05-30";"5";"60";"5";"0";"108500000";"108500000";"0";"0";"108500000";"0"
"182";"BAYAR I MOBIL Mitsubishi L300";"0";"2012-10-30";"5";"60";"5";"0";"83250000";"83250000";"0";"0";"83250000";"0"
"183";"ANGSURAN 2 MOBIL Mitsubishi L300";"0";"2012-11-30";"5";"60";"5";"0";"9000000";"9000000";"0";"0";"9000000";"0"
"184";"ANGSURAN 3 MOBIL Mitsubishi L300";"0";"2012-12-30";"5";"60";"5";"0";"9000000";"9000000.00";"0.00";"0";"9000000.00";"0.00"
"185";"ANGSURAN 4 MOBIL Mitsubishi L300";"0";"2013-01-30";"5";"59";"4.92";"0.08";"9000000";"8850000.00";"150000.00";"150000";"9000000.00";"0.00"
"186";"ANGSURAN 5 MOBIL Mitsubishi L300";"0";"2013-02-28";"5";"58";"4.83";"0.17";"9000000";"8700000.00";"300000.00";"150000";"8850000.00";"150000.00"
"187";"PEMBAYARAN I MOBIL SUZUKI APV PICKUP";"1";"2013-02-28";"5";"58";"4.83";"0.17";"50000000";"48333333.14";"1666666.86";"833333.33";"49166666.47";"833333.53"
"188";"PEMBAYARAN 2 MOBIL SUZUKI APV PICKUP";"0";"2013-03-30";"5";"58";"4.83";"0.17";"52000000";"50266666.86";"1733333.14";"866666.67";"51133333.53";"866666.47"
"189";"ANGSURAN 6 MOBIL Mitsubishi L300";"0";"2013-03-30";"5";"58";"4.83";"0.17";"9000000";"8700000.00";"300000.00";"150000";"8850000.00";"150000.00"
"190";"ANGSURAN 7 MOBIL Mitsubishi L300";"0";"2013-04-30";"5";"57";"4.75";"0.25";"9000000";"8550000.00";"450000.00";"150000";"8700000.00";"300000.00"
"191";"ANGSURAN 8 MOBIL Mitsubishi L300";"0";"2013-05-30";"5";"55";"4.58";"0.42";"9000000";"8250000.00";"750000.00";"150000";"8400000.00";"600000.00"
"192";"ANGSURAN 9 MOBIL Mitsubishi L300";"0";"2013-06-30";"5";"54";"4.5";"0.5";"9000000";"8100000.00";"900000.00";"150000";"8250000.00";"750000.00"
"193";"ANGSURAN 10 MOBIL Mitsubishi L300";"0";"2013-07-30";"5";"53";"4.42";"0.58";"9000000";"7950000.00";"1050000.00";"150000";"8100000.00";"900000.00"
"194";"ANGSURAN 11 MOBIL Mitsubishi L300";"0";"2013-08-30";"5";"52";"4.33";"0.67";"9000000";"7800000.00";"1200000.00";"150000";"7950000.00";"1050000.00"
"195";"ANGSURAN 12 MOBIL Mitsubishi L300";"0";"2013-09-30";"5";"51";"4.25";"0.75";"9000000";"7650000.00";"1350000.00";"150000";"7800000.00";"1200000.00"
"196";"MOTOR VARIO 125 (UTK DANIEL)";"1";"2014-01-30";"5";"48";"4";"1";"15734500";"12587600.16";"3146899.84";"262241.67";"12849841.83";"2884658.17"
"197";"MOTOR REVO FIT (D5978MQ) SD KOPER";"1";"2015-03-30";"5";"36";"3";"2";"12800600";"7680359.88";"5120240.12";"213343.33";"7893703.21";"4906896.79"
"198";"MOBIL IZUSU 18 SEAT";"1";"2015-06-30";"5";"30";"2.5";"2.5";"370000000";"185000000.10";"184999999.90";"6166666.67";"191166666.77";"178833333.23"
"199";"MOBIL AVANZA VELOZ V A/T 1.3 PTH";"1";"2015-11-30";"5";"25";"2.08";"2.92";"199450000";"83104166.75";"116345833.25";"3324166.67";"86428333.42";"113021666.58"
"200";"MOTOR HONDA REVO FIT BLACK GREEN";"1";"2015-12-30";"5";"24";"2";"3";"12200000";"4879999.92";"7320000.08";"203333.33";"5083333.25";"7116666.75"
"201";"MOTOR HONDA REVO SECOND (D4849ZZ)";"1";"2017-05-30";"0";"0";"0";"0";"4500000";"4500000";"0";"0";"4500000";"0"
"202";"MOTOR HONDA D2591DB";"1";"2003-12-01";"3";"36";"3";"0";"9450000";"9450000";"0";"0";"9450000";"0"
"203";"MOTOR HONDA REVO-CIATEUL";"1";"2010-11-30";"3";"36";"3";"0";"11400000";"11400000";"0";"0";"11400000";"0"
"204";"HONDA D3314ED";"1";"2005-08-01";"2";"24";"2";"0";"10800000";"10800000";"0";"0";"10800000";"0"
"";"";"";"";"";"";"";"TOTAL";"1039085100";"712302126.81";"326782973.19";"13219751.67";"725521878.48";"313563221.52"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Kopo Permai";"";"";"";"";"";"";"";"";"";"";"";"";""
"205";"Kipas Angin Untuk Kelas";"1";"2017-12-02";"1";"0";"0";"1";"3546000";"0.00";"3546000.00";"295500";"295500.00";"3250500.00"
"";"";"";"";"";"";"";"TOTAL";"3546000";"0.00";"3546000.00";"295500.00";"295500.00";"3250500.00"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Mekar Wangi";"";"";"";"";"";"";"";"";"";"";"";"";""
"206";"Bangku depan UKS";"1";"2017-12-30";"1";"0";"0";"1";"1505500";"0.00";"1505500.00";"125458.33";"125458.33";"1380041.67"
"";"";"";"";"";"";"";"TOTAL";"1505500";"0.00";"1505500.00";"125458.33";"125458.33";"1380041.67"
