    "No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"36";"BANG. MW (SMP)";"1";"2009-12-30";"15";"94";"7.83";"7.17";"99354500";"51885127.36";"47469372.64";"551969.4399999999";"52437096.80";"46917403.20"
"37";"ONGKOS TK.BANG.MW (SMP)";"1";"2009-12-30";"15";"94";"7.83";"7.17";"28700000";"14987777.36";"13712222.64";"159444.44";"15147221.80";"13552778.20"
"38";"BANG.MW (SMP)";"1";"2010-01-30";"15";"94";"7.83";"7.17";"61784000";"32264977.36";"29519022.64";"343244.44";"32608221.80";"29175778.20"
"39";"ONGKOS TUKANG BANG. MW (SMP)";"1";"2010-01-30";"15";"94";"7.83";"7.17";"26000000";"13577777.36";"12422222.64";"144444.44";"13722221.80";"12277778.20"
"40";"ONGKOS TUKANG ( WAHYU )";"1";"2010-02-28";"15";"93";"7.75";"7.25";"21000000";"10850000.31";"10149999.69";"116666.67";"10966666.98";"10033333.02"
"41";"BANGUNAN MEKAR WANGI";"1";"2010-02-28";"15";"93";"7.75";"7.25";"158208000";"81740799.69";"76467200.31";"878933.33";"82619733.02";"75588266.98"
"42";"BANG. MW (SMP)";"1";"2010-03-30";"15";"92";"7.67";"7.33";"115401600";"58983040.00";"56418560.00";"641120";"59624160.00";"55777440.00"
"43";"ONGKOS TKG BANG.MW (SMP)";"1";"2010-03-30";"15";"92";"7.67";"7.33";"35000000";"17888888.48";"17111111.52";"194444.44";"18083332.92";"16916667.08"
"44";"BHN BANG.MW (SMP)";"1";"2010-04-30";"15";"91";"7.58";"7.42";"252221800";"127512132.02";"124709667.98";"1401232.22";"128913364.24";"123308435.76"
"45";"ONGKOS BANG. MW (SMP)";"1";"2010-04-30";"15";"91";"7.58";"7.42";"19500000";"9858333.03";"9641666.97";"108333.33";"9966666.36";"9533333.64"
"46";"BAHAN BANGUNAN MW( SMP)";"1";"2010-05-30";"15";"90";"7.5";"7.5";"66467300";"33233650.20";"33233649.80";"369262.78";"33602912.98";"32864387.02"
"47";"TUKANG BANG. MW ( SMP )";"1";"2010-05-30";"15";"90";"7.5";"7.5";"36000000";"18000000.00";"18000000.00";"200000";"18200000.00";"17800000.00"
"48";"BHN. BANG. MW TAHAP 3";"1";"2010-06-30";"15";"89";"7.42";"7.58";"58694500";"29021169.84";"29673330.16";"326080.56";"29347250.40";"29347249.60"
"49";"ONGKOS TUKANG BANG";"1";"2010-06-30";"15";"89";"7.42";"7.58";"26000000";"12855555.16";"13144444.84";"144444.44";"12999999.60";"13000000.40"
"50";"BANG. MW TAHAP3";"1";"2010-07-30";"15";"88";"7.33";"7.67";"87653343";"42852745.76";"44800597.24";"486963.02";"43339708.78";"44313634.22"
"51";"ONGKOS TUKANG BANG TAHAP 3";"1";"2010-07-30";"15";"88";"7.33";"7.67";"27500000";"13444444.64";"14055555.36";"152777.78";"13597222.42";"13902777.58"
"52";"BAHAN2 BANG MW";"1";"2010-08-30";"15";"86";"7.17";"7.83";"244964500";"117038594.54";"127925905.46";"1360913.89";"118399508.43";"126564991.57"
"53";"ONGKOS TKG BANG (WAHYU)";"1";"2010-08-30";"15";"86";"7.17";"7.83";"15000000";"7166666.38";"7833333.62";"83333.33";"7249999.71";"7750000.29"
"54";"ONGKOS BHN BANG MW (WAHYU)";"1";"2010-08-30";"15";"86";"7.17";"7.83";"20500000";"9794444.54";"10705555.46";"113888.89";"9908333.43";"10591666.57"
"55";"BAHAN2 BANG MW THP 3";"1";"2010-09-30";"15";"86";"7.17";"7.83";"124487000";"59477121.84";"65009878.16";"691594.4399999999";"60168716.28";"64318283.72"
"56";"ONGKOS TUKANG BANG.(WAHYU)";"1";"2010-09-30";"15";"86";"7.17";"7.83";"16500000";"7883333.62";"8616666.38";"91666.67";"7975000.29";"8524999.71"
"57";"BAHAN2 BANG.MW THP 3";"1";"2010-10-30";"15";"85";"7.08";"7.92";"38679500";"18265319.35";"20414180.65";"214886.11";"18480205.46";"20199294.54"
"58";"ONGKOS BANG MW (WAHYU)";"1";"2010-10-30";"15";"85";"7.08";"7.92";"25500000";"12041666.95";"13458333.05";"141666.67";"12183333.62";"13316666.38"
"59";"BAHAN2 BANG.MW THP 3";"1";"2010-11-30";"15";"83";"6.92";"8.08";"191992000";"88529644.26";"103462355.74";"1066622.22";"89596266.48";"102395733.52"
"60";"ONGKOS2 TKG BANG. MW";"1";"2010-11-30";"15";"83";"6.92";"8.08";"21500000";"9913888.52";"11586111.48";"119444.44";"10033332.96";"11466667.04"
"61";"DP I BANG/RENOV.SAMSUDIN-CTL(SUHANDY)";"1";"2010-12-30";"15";"82";"6.83";"8.17";"50000000";"22777777.96";"27222222.04";"277777.78";"23055555.74";"26944444.26"
