"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"352";"2020-02-19";"713.17.111";"Biaya pemel. bangunan smp koper";"037/KK74527/SMP2-02/20";"alat alat kebersihan";"477000.00";"0.00";"111.27.111";"kas kecil smp koper"
"353";"2020-02-19";"623.12.112";"Air,gas & konsumsi smp koper";"038/KK74528/SMP2-02/20";"gas elpiji 3 kg";"20000.00";"0.00";"111.27.111";"kas kecil smp koper"
"354";"2020-02-19";"623.12.117";"atk dan fotocopy smp koper";"039/KK74529/SMP2-02/20";"fotocopy";"6000.00";"0.00";"111.27.111";"kas kecil smp koper"
"355";"2020-02-19";"623.12.117";"atk dan fotocopy smp koper";"040/KK74530/SMP2-02/20";"tinta printer (2 set)";"640000.00";"0.00";"111.27.111";"kas kecil smp koper"
"356";"2020-02-19";"631.17.111";"Pemel. inventaris smp koper";"041/KK74531/SMP2-02/20";"kipas ac 12 v";"55000.00";"0.00";"111.27.111";"kas kecil smp koper"
"357";"2020-02-19";"713.17.111";"Biaya pemel. bangunan smp koper";"042/KK74533/SMP2-02/20";"batu batrai";"67400.00";"0.00";"111.27.111";"kas kecil smp koper"
"358";"2020-02-19";"623.12.119";"Biaya lomba smp koper";"043/KK74534/SMP2-02/20";"konsumsi lomba futsal";"100000.00";"0.00";"111.27.111";"kas kecil smp koper"
"359";"2020-02-19";"623.12.119";"Biaya lomba smp koper";"044/KK74535/SMP2-02/20";"pedampingan siswa lomba futsal";"25000.00";"0.00";"111.27.111";"kas kecil smp koper"
"360";"2020-02-19";"851.17.111";"Perjln dinas smp koper";"045/KK74536/SMP2-02/20";"perjalanan dinas workshop ujian 3 hari";"225000.00";"0.00";"111.27.111";"kas kecil smp koper"
"361";"2020-02-19";"623.12.117";"atk dan fotocopy smp koper";"046/KK74537/SMP2-02/20";"fotocopy";"12200.00";"0.00";"111.27.111";"kas kecil smp koper"
"362";"2020-02-19";"713.17.111";"Biaya pemel. bangunan smp koper";"047/KK74538/SMP2-02/20";"over vall, scrup,mata bor, ripet";"29500.00";"0.00";"111.27.111";"kas kecil smp koper"
"363";"2020-02-19";"631.17.111";"Pemel. inventaris smp koper";"048/KK74539/SMP2-02/20";"jam dinding (2 bon)";"275000.00";"0.00";"111.27.111";"kas kecil smp koper"
"364";"2020-02-19";"623.12.119";"Biaya lomba smp koper";"049/KK74540/SMP2-02/20";"konsumsi lomba futsal";"100000.00";"0.00";"111.27.111";"kas kecil smp koper"
"365";"2020-02-19";"623.12.119";"Biaya lomba smp koper";"050/KK74541/SMP2-02/20";"pendamping lomba futsal";"25000.00";"0.00";"111.27.111";"kas kecil smp koper"
"366";"2020-02-19";"681.17.111";"Kebaktian/rapat/seminar smp koper";"051/KK74542/SMP2-02/20";"konsumsi rapat dan snack";"89500.00";"0.00";"111.27.111";"kas kecil smp koper"
"367";"2020-02-19";"712.17.111";"Biaya pemel. kendaraan smp koper";"052/KK74543/SMP2-02/20";"tambal ban";"50000.00";"0.00";"111.27.111";"kas kecil smp koper"
"368";"2020-02-19";"713.17.111";"Biaya pemel. bangunan smp koper";"053/KK74544/SMP2-02/20";"Banner";"17000.00";"0.00";"111.27.111";"kas kecil smp koper"
"369";"2020-02-19";"623.12.112";"Air,gas & konsumsi smp koper";"054/KK74545/SMP2-02/20";"Kopi ABC";"13900.00";"0.00";"111.27.111";"kas kecil smp koper"
"370";"2020-02-19";"623.12.114";"Obat-2an smp koper";"055/KK74546/SMP2-02/20";"tisu";"17100.00";"0.00";"111.27.111";"kas kecil smp koper"
"371";"2020-02-19";"626.15.111";"Biaya adm sd koper";"001/KA50673/SD2-02/20";"Fotocopy pelajaran/Januari 2020";"2703600.00";"0.00";"111.25.111";"kas kecil sd koper"
"372";"2020-02-19";"626.15.111";"Biaya adm sd koper";"002/KA50674/SD2-02/20";"Fotocopy ekskul/Januari 2020";"113400.00";"0.00";"111.25.111";"kas kecil sd koper"
"373";"2020-02-19";"626.15.111";"Biaya adm sd koper";"003/KA50675/SD2-02/20";"Kegiatan outing siswa kelas 4";"3168000.00";"0.00";"111.25.111";"kas kecil sd koper"
"374";"2020-02-19";"626.15.111";"Biaya adm sd koper";"004/KA50676/SD2-02/20";"Tiket renang 20 siswa @Rp 18.000 + parkir";"364500.00";"0.00";"111.25.111";"kas kecil sd koper"
"375";"2020-02-19";"626.15.111";"Biaya adm sd koper";"005/KA50677/SD2-02/20";"Langganan majalah Bobo/Februari 2020";"60000.00";"0.00";"111.25.111";"kas kecil sd koper"
"376";"2020-02-19";"626.15.111";"Biaya adm sd koper";"006/KA50678/SD2-02/20";"19 eks Buku Ensiklopedi Pengetahuan";"304000.00";"0.00";"111.25.111";"kas kecil sd koper"
"377";"2020-02-19";"626.15.111";"Biaya adm sd koper";"007/KA50679/SD2-02/20";"Tiket renang 19 siswa @Rp18.000 + parkir";"346500.00";"0.00";"111.25.111";"kas kecil sd koper"
"378";"2020-02-19";"626.15.111";"Biaya adm sd koper";"008/KA50680/SD2-02/20";"Kegiatan outing siswa kelas 3";"4142500.00";"0.00";"111.25.111";"kas kecil sd koper"
"379";"2020-02-19";"626.15.111";"Biaya adm sd koper";"009/KA50681/SD2-02/20";"10 bola tenis (utk lthn ekskul basket)";"100000.00";"0.00";"111.25.111";"kas kecil sd koper"
"380";"2020-02-19";"622.12.121";"Perlang. bangunan sd koper";"010/KK51451/SD2-02/20";"Backdrop untuk kelengkapan ruangan/gedung";"111000.00";"0.00";"111.25.111";"kas kecil sd koper"
"381";"2020-02-19";"631.15.111";"Pemel. inventaris sd koper";"011/KK51452/SD2-02/20";"Service 1 unit AC (ruang kepsek)";"55000.00";"0.00";"111.25.111";"kas kecil sd koper"
