"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"0,00";"0,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"11.769.800,00";"11.769.800,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"7.000.000,00";"0,00";"19.884.100,00";"11.884.100,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"15.000.000,00";"0,00";"14.961.800,00";"14.961.800,00";"15.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"19.963.000,00";"19.963.000,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"19.202.200,00";"19.202.200,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"0,00";"0,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"24.180.400,00";"24.180.400,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"30.000.000,00";"0,00";"24.744.750,00";"24.744.750,00";"30.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"7.000.000,00";"0,00";"6.129.400,00";"6.129.400,00";"7.000.000,00";"0,00"
"112.15.111";"deposito";"1.000.000.000,00";"0,00";"502.361.644,00";"502.361.644,00";"1.000.000.000,00";"0,00"
"112.15.112";"deposito/simp. emas";"10.625.000,00";"0,00";"0,00";"0,00";"10.625.000,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"877.082.231,21";"0,00";"1.526.999.673,90";"1.403.157.868,78";"1.000.924.036,33";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"12.408.424,98";"0,00";"117.455.497,19";"99.257.195,00";"30.606.727,17";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"45.750.815,96";"0,00";"400.893.975,70";"369.947.240,00";"76.697.551,66";"0,00"
"112.32.113";"bdi tki (virtual account)";"8.706.548,71";"0,00";"102.672.012,22";"86.750.201,00";"24.628.359,93";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"42.023.204,63";"0,00";"765.271.099,18";"718.992.324,00";"88.301.979,81";"0,00"
"112.33.111";"bank btpn";"98.295.068,00";"0,00";"502.463.190,00";"500.000.000,00";"100.758.258,00";"0,00"
"112.34.111";"bank mandiri";"10.097.081,82";"0,00";"40.000.000,00";"46.550.781,78";"3.546.300,04";"0,00"
"112.35.111";"bca umum r/k.7750381132";"7.405.692,35";"0,00";"390.000,00";"30.000,00";"7.765.692,35";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.11.111";"uang muka lain2";"118.216.000,00";"0,00";"18.625.000,00";"37.420.000,00";"99.421.000,00";"0,00"
"117.14.111";"piutg guru sma (krg byr)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.111";"piutg kary & pegawai";"314.949.500,00";"0,00";"0,00";"35.122.250,00";"279.827.250,00";"0,00"
"117.15.112";"pinj. unit utk rekng";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.113";"pinj.penerima beasiswa";"4.500.000,00";"0,00";"0,00";"0,00";"4.500.000,00";"0,00"
"118.11.111";"piutang spp tk ciateul";"4.336.893,00";"0,00";"40.166.850,00";"42.194.500,00";"2.309.243,00";"0,00"
"118.11.112";"piutang spp tk koper";"7.841.450,00";"0,00";"60.774.050,00";"58.604.000,00";"10.011.500,00";"0,00"
"118.11.113";"piutang spp tk tki";"1.600.000,00";"0,00";"37.989.875,00";"35.926.500,00";"3.663.375,00";"0,00"
"118.21.111";"piutang spp sd ciateul";"62.428.861,00";"0,00";"104.492.000,00";"83.786.125,00";"83.134.736,00";"0,00"
"118.21.112";"piutang spp sd koper";"16.273.757,00";"0,00";"191.450.750,00";"149.283.900,00";"58.440.607,00";"0,00"
"118.21.113";"piutang spp sd tki";"1.521.000,00";"0,00";"68.776.000,00";"59.523.000,00";"10.774.000,00";"0,00"
"118.31.111";"piutang spp smp mekar wangi";"51.038.950,00";"0,00";"97.820.375,00";"79.861.875,00";"68.997.450,00";"0,00"
"118.31.112";"piutang spp smp koper";"260.744.650,00";"0,00";"174.867.875,00";"156.576.625,00";"279.035.900,00";"0,00"
"118.41.111";"piutang spp sma mekar wangi";"105.623.000,00";"0,00";"304.102.800,00";"256.436.250,00";"153.289.550,00";"0,00"
"118.51.111";"uang muka i-learning";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.51.112";"tungg du tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.52.111";"arisan skkk";"165.000.000,00";"0,00";"5.000.000,00";"0,00";"170.000.000,00";"0,00"
"118.53.111";"u.muka kontruksi koper";"2.355.973.451,00";"0,00";"0,00";"0,00";"2.355.973.451,00";"0,00"
"118.54.111";"u.m kontruksi dlm pembang. tki";"1.510.467.988,00";"0,00";"0,00";"0,00";"1.510.467.988,00";"0,00"
"118.55.111";"piu. ykki/gkkkb";"500.000.000,00";"0,00";"0,00";"0,00";"500.000.000,00";"0,00"
"118.61.111";"u.muka open house tk ciateul";"-3.250.000,00";"0,00";"0,00";"0,00";"-3.250.000,00";"0,00"
"118.61.112";"u.muka open house tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.113";"u.muka open house tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.114";"u.muka open house sd ciateul";"3.250.000,00";"0,00";"0,00";"0,00";"3.250.000,00";"0,00"
"118.61.115";"u.muka open house sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.116";"u.muka open house smp mekar wa";"-2.500.000,00";"0,00";"0,00";"0,00";"-2.500.000,00";"0,00"
"118.61.117";"u.muka open house smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.118";"u.muka open house sma mekar wa";"2.500.000,00";"0,00";"0,00";"0,00";"2.500.000,00";"0,00"
"118.61.119";"u.muka open house umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.71.111";"asuransi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.81.111";"ganti nama sertifikat & ajb";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.91.111";"anonim";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.11.111";"piutang up tk ciateul";"7.438.000,00";"0,00";"54.605.000,00";"54.126.500,00";"7.916.500,00";"0,00"
"119.11.112";"piutang up tk koper";"4.600.000,00";"0,00";"127.575.000,00";"118.075.000,00";"14.100.000,00";"0,00"
"119.11.113";"piutang up tk tki";"0,00";"0,00";"113.475.000,00";"79.950.000,00";"33.525.000,00";"0,00"
"119.21.111";"piutang up sd ciateul";"3.160.000,00";"0,00";"104.600.000,00";"101.100.000,00";"6.660.000,00";"0,00"
"119.21.112";"piutang up sd koper";"-5.000,00";"0,00";"296.517.500,00";"269.177.500,00";"27.335.000,00";"0,00"
"119.21.113";"piutang up sd tki";"0,00";"0,00";"94.550.000,00";"88.500.000,00";"6.050.000,00";"0,00"
"119.31.111";"piutang up smp mekar wangi";"11.695.000,00";"0,00";"208.075.000,00";"204.585.000,00";"15.185.000,00";"0,00"
"119.31.112";"piutang up smp koper";"55.979.850,00";"0,00";"326.350.010,00";"311.605.010,00";"70.724.850,00";"0,00"
"119.41.111";"piutang up sma mekar wangi";"18.907.500,00";"0,00";"758.700.000,00";"709.490.000,00";"68.117.500,00";"0,00"
"119.51.111";"piutang ups tk ciateul";"-25.493.800,00";"0,00";"26.468.800,00";"0,00";"975.000,00";"0,00"
"119.51.112";"piutang ups tk koper";"-33.445.000,00";"0,00";"34.715.000,00";"1.170.000,00";"100.000,00";"0,00"
"119.51.113";"piutang ups tk tki";"-19.523.000,00";"0,00";"19.523.000,00";"0,00";"0,00";"0,00"
"119.51.114";"piutang ups sd ciateul";"-69.969.750,00";"0,00";"73.321.500,00";"584.750,00";"2.767.000,00";"0,00"
"119.51.115";"piutang ups sd koper";"-136.291.750,00";"0,00";"139.379.250,00";"1.543.750,00";"1.543.750,00";"0,00"
"119.51.116";"piutang ups smp mekar wangi";"-44.077.500,00";"0,00";"57.102.500,00";"4.115.000,00";"8.910.000,00";"0,00"
"119.51.117";"piutang ups smp koper";"-74.972.500,00";"0,00";"110.785.000,00";"3.622.500,00";"32.190.000,00";"0,00"
"119.51.118";"piutang ups sma mekar wangi";"-119.956.500,00";"0,00";"166.599.000,00";"16.242.500,00";"30.400.000,00";"0,00"
"119.51.119";"piutang ups sd tki";"-44.559.000,00";"0,00";"44.209.000,00";"0,00";"-350.000,00";"0,00"
"119.61.111";"anonim dr tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.112";"anonim dr tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.113";"anonim dr tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.114";"anonim dr sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.115";"anonim dr sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.116";"anonim dr smp mw";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.117";"anonim dr smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.118";"anonim dr sma";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"121.11.111";"tanah kopo sari";"2.850.000.000,00";"0,00";"0,00";"0,00";"2.850.000.000,00";"0,00"
"121.12.111";"tanah ciateul";"1.705.500.000,00";"0,00";"0,00";"0,00";"1.705.500.000,00";"0,00"
"121.13.111";"tanah koper";"3.847.375.000,00";"0,00";"0,00";"0,00";"3.847.375.000,00";"0,00"
"121.14.111";"tanah tki ii";"4.074.400.000,00";"0,00";"0,00";"0,00";"4.074.400.000,00";"0,00"
"121.15.111";"tanah mekar wangi";"8.182.475.318,06";"0,00";"0,00";"0,00";"8.182.475.318,06";"0,00"
"122.12.111";"bangunan ciateul";"3.114.000.000,00";"0,00";"0,00";"0,00";"3.114.000.000,00";"0,00"
"122.13.111";"bangunan koper";"4.850.000.000,00";"0,00";"0,00";"0,00";"4.850.000.000,00";"0,00"
"122.14.111";"bangunan tki";"600.000.000,00";"0,00";"0,00";"0,00";"600.000.000,00";"0,00"
"122.15.111";"bangunan mekar wangi";"7.971.063.493,00";"0,00";"0,00";"0,00";"7.971.063.493,00";"0,00"
"122.15.112";"bangunan smp mekar wangi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"123.11.111";"inventaris";"24.000.000,00";"0,00";"0,00";"0,00";"24.000.000,00";"0,00"
"123.12.111";"inventaris ctl";"85.438.735,00";"0,00";"42.570.000,00";"0,00";"128.008.735,00";"0,00"
"123.13.111";"inventaris koper";"218.153.500,00";"0,00";"52.005.000,00";"0,00";"270.158.500,00";"0,00"
"123.14.111";"inventaris m.wangi";"193.894.900,00";"0,00";"20.040.000,00";"0,00";"213.934.900,00";"0,00"
"123.15.111";"inventaris tki ii";"133.215.000,00";"0,00";"5.550.000,00";"0,00";"138.765.000,00";"0,00"
"124.11.111";"kendaraan";"1.039.085.100,00";"0,00";"0,00";"0,00";"1.039.085.100,00";"0,00"
"126.11.111";"ak. ph. banguna";"-11.896.521.385,94";"0,00";"0,00";"39.436.528,64";"-11.935.957.914,58";"0,00"
"126.12.111";"ak.ph.kendaraan";"-625.783.616,67";"0,00";"0,01";"14.907.251,67";"-640.690.868,33";"0,00"
"126.13.111";"ak. ph. invent";"-336.605.319,26";"0,00";"0,00";"15.709.351,22";"-352.314.670,48";"0,00"
"126.15.111";"penyusutan ganti nama";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"126.21.111";"uang jaminan pln";"7.550.400,00";"0,00";"0,00";"0,00";"7.550.400,00";"0,00"
"215.11.111";"anonim";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"216.11.111";"ttpn u.pensiun";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"217.11.111";"hutang pph21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"219.16.111";"hutang gaji";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"219.21.111";"hutang lain2";"0,00";"614.583.879,00";"16.917.900,00";"260.301.350,00";"0,00";"857.967.329,00"
"311.11.111";"donasi";"0,00";"12.138.952.245,37";"0,00";"390.000,00";"0,00";"12.139.342.245,37"
"311.13.111";"modal barang";"0,00";"14.010.000,00";"0,00";"0,00";"0,00";"14.010.000,00"
"321.11.111";"laba ditahan";"0,00";"268.947.281,00";"0,00";"0,00";"0,00";"268.947.281,00"
"400.11.111";"uang titipan komputer tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.12.111";"uang titipan komputer tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.13.111";"uang titipan komputer tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.14.111";"uang titipan komputer sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.15.111";"uang titipan komputer sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.15.112";"uang titipan komputer sd tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.16.111";"uang titipan komputer smp mw";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.17.111";"uang titipan komputer smp kop";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.18.111";"uang titipan komputer sma";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.19.111";"uang titipan komputer gabungan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"401.11.111";"SPP bayar dimuka tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"401.12.111";"SPP bayar dimuka tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"401.13.111";"SPP bayar dimuka tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"402.11.111";"SPP bayar dimuka sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"402.12.111";"SPP bayar dimuka sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"402.13.111";"SPP bayar dimuka sd tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"403.11.111";"SPP bayar dimuka smp mekar wangi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"403.12.111";"SPP bayar dimuka smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"404.11.111";"SPP bayar dimuka sma mekar wangi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"406.11.111";"UP bayar dimuka tk ciateul";"0,00";"103.936.750,00";"144.024.500,00";"54.937.750,00";"0,00";"14.850.000,00"
"406.12.111";"UP bayar dimuka tk koper";"0,00";"233.996.200,00";"272.040.200,00";"61.944.000,00";"0,00";"23.900.000,00"
"406.13.111";"UP bayar dimuka tk tki";"0,00";"139.577.000,00";"177.206.500,00";"48.129.500,00";"0,00";"10.500.000,00"
"407.11.111";"UP bayar dimuka sd ctl";"0,00";"174.307.500,00";"211.501.250,00";"58.738.750,00";"0,00";"21.545.000,00"
