"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"531";"2020-03-19";"112.35.111";"bank bca r/k.77";"035/BCAUM-03/20";"Pinbuk dr BCA VA Ciateul ke BCA Umum";"55000000.00";"0.00";"112.36.111";"bank bca va ciateul"
"532";"2020-03-19";"112.35.111";"bank bca r/k.77";"036/BCAUM-03/20";"Pinbuk dr BCA VA TKI ke BCA Umum";"50000000.00";"0.00";"112.36.113";"bank bca va tki"
"533";"2020-03-19";"112.28.111";"bdi a/n. ykki";"061/BDIUM-03/20";"Pinbuk dr BDI VA Koper ke BDI Umum";"30000000.00";"0.00";"112.32.112";"bdi virtual koper (3562373021)"
"534";"2020-03-19";"112.28.111";"bdi a/n. ykki";"062/BDIUM-03/20";"Pinbuk dr BDI VA Mekar ke BDI Umum";"15000000.00";"0.00";"112.32.114";"bdi virtual mw 93562375307)"
"535";"2020-03-19";"112.28.111";"bdi a/n. ykki";"063/BDIUM-03/20";"Pinbuk dr BDI VA Ciateul ke BDI Umum";"6000000.00";"0.00";"112.32.111";"bdi virtual Ctl(3562377469)"
"536";"2020-03-19";"112.28.111";"bdi a/n. ykki";"064/BDIUM-03/20";"Pinbuk dr BDI VA TKI KE BDI UMUM";"3000000.00";"0.00";"112.32.113";"bdi tki (virtual account)"
"537";"2020-03-19";"112.35.111";"bank bca r/k.77";"030/BCAUM-03/20";"STEMPEL TTD";"0.00";"160000.00";"625.11.117";"Alat tulis kantor umum"
"538";"2020-03-19";"112.35.111";"bank bca r/k.77";"031A/BCAUM-03/20";"UFD SANDISK 128 GB U/ ACC + TINTA HP U/ HRD";"0.00";"495000.00";"625.11.117";"Alat tulis kantor umum"
"539";"2020-03-19";"112.35.111";"bank bca r/k.77";"031B/BCAUM-03/20";"HDD WD MY PASPORT 2,5 2 TB U/ LAB. IPA SMP KOPER";"0.00";"1060000.00";"626.17.111";"Biaya adm smp koper"
"540";"2020-03-19";"112.35.111";"bank bca r/k.77";"031C/BCAUM-03/20";"KONVERTER HDMI TO VGA U/ SMP MW";"0.00";"50000.00";"623.11.117";"Alat tulis kantor smp mekar wangi"
"541";"2020-03-19";"112.35.111";"bank bca r/k.77";"032/BCAUM-03/20";"Pengembalian US SMA A/N JOICE ANGELICA";"0.00";"1500000.00";"118.41.111";"piutang spp sma mekar wangi"
"542";"2020-03-19";"112.35.111";"bank bca r/k.77";"037/BCAUM-03/20";"PINBUK DR BCA UMUM KE BDI UMUM";"0.00";"150000000.00";"112.28.111";"bdi a/n. ykki"
"543";"2020-03-19";"112.35.111";"bank bca r/k.77";"038/BCAUM-03/20";"BIAYA TRANSFER BCA";"0.00";"25000.00";"751.11.111";"Biaya adm bank"
"544";"2020-03-19";"112.35.111";"bank bca r/k.77";"039/BCAUM-03/20";"Bantuan UP TK CTL A/N Kenzo & Matthew";"0.00";"3000000.00";"406.11.111";"UP bayar dimuka tk ciateul"
"545";"2020-03-19";"112.35.111";"bank bca r/k.77";"040/BCAUM-03/20";"Pengembalian US dr SMP MW a/n Theresia Pietra. M ke SMA";"0.00";"120000.00";"118.31.111";"piutang spp smp mekar wangi"
"546";"2020-03-19";"112.35.111";"bank bca r/k.77";"041/BCAUM-03/20";"Pelunasan pasang tirai TK Koper";"0.00";"1200000.00";"117.11.111";"uang muka lain2"
"547";"2020-03-20";"112.37.111";"rek.bca ykki no.6765047017";"004/BCL-03/20";"BANTUAN KEROHANIAN BLN MARET 2020";"5000000.00";"0.00";"219.21.111";"hutang lain2"
"548";"2020-03-23";"112.28.111";"bdi a/n. ykki";"066/BDIUM-03/20";"SETORAN USAHA DANA KOPERASI KOPER BLN MARET 2020";"851000.00";"0.00";"219.21.111";"hutang lain2"
"549";"2020-03-23";"112.28.111";"bdi a/n. ykki";"067/BDIUM-03/20";"SETORAN USAHA DANA UNIT KOPER (KONSINYASI)";"808500.00";"0.00";"219.21.111";"hutang lain2"
"550";"2020-03-23";"112.28.111";"bdi a/n. ykki";"068/BDIUM-03/20";"SETORAN USAHA DANA KONTAN KOPER";"555500.00";"0.00";"219.21.111";"hutang lain2"
"551";"2020-03-23";"112.28.111";"bdi a/n. ykki";"069/BDIUM-03/20";"SETORAN USAHA DANA KOPERASI MEKAR (FC) MARET 2020";"3618000.00";"0.00";"219.21.111";"hutang lain2"
"552";"2020-03-24";"112.38.111";"BCA Beasiswa (2846565407)";"006/BCABSW-03/20";"BANTUAN BEASISWA DR YYSN BLN MARET 2020";"10000000.00";"0.00";"219.31.111";"Uang Titipan Beasiswa"
"553";"2020-03-24";"112.35.111";"bank bca r/k.77";"042/BCAUM-03/20";"Kontribusi beasiswa bln Maret 2020 (DIAMBIL DR UD)";"0.00";"10000000.00";"219.21.111";"hutang lain2"
"554";"2020-03-24";"112.35.111";"bank bca r/k.77";"043/BCAUM-03/20";"Honor Hamba Tuhan bln Maret 2020";"0.00";"14950000.00";"620.11.111";"Gaji pegawai gabungan"
"555";"2020-03-24";"112.35.111";"bank bca r/k.77";"044/BCAUM-03/20";"Ekskul sempoa SDKKK Ciateul TA. 19-20";"0.00";"19500000.00";"626.14.111";"Biaya adm. sd ciateul"
"556";"2020-03-24";"112.35.111";"bank bca r/k.77";"045A/BCAUM-03/20";"HONOR KANTIN YAYASAN BLN MARET 2020";"0.00";"4250000.00";"219.21.111";"hutang lain2"
"557";"2020-03-24";"112.35.111";"bank bca r/k.77";"045B/BCAUM-03/20";"HONOR EKSKUL TK CTL BLN MARET 2020";"0.00";"2220000.00";"626.11.111";"Biaya adm tk ciateul"
"558";"2020-03-24";"112.35.111";"bank bca r/k.77";"045C/BCAUM-03/20";"HONOR EKSKUL TK KOPER BLN MARET 2020";"0.00";"3960000.00";"626.12.111";"Biaya adm tk koper"
"559";"2020-03-24";"112.35.111";"bank bca r/k.77";"045D/BCAUM-03/20";"HONOR EKSKUL TK TKI BLN MARET 2020";"0.00";"920000.00";"626.13.111";"Biaya adm. tk tki"
"560";"2020-03-24";"112.35.111";"bank bca r/k.77";"045E/BCAUM-03/20";"HONOR EKSKUL SD CTL BLN MARET 2020";"0.00";"15766000.00";"626.14.111";"Biaya adm. sd ciateul"
"561";"2020-03-24";"112.35.111";"bank bca r/k.77";"045F/BCAUM-03/20";"HONOR EKSKUL SD KOPER BLN MARET 2020";"0.00";"6917000.00";"626.15.111";"Biaya adm sd koper"
"562";"2020-03-24";"112.35.111";"bank bca r/k.77";"045G/BCAUM-03/20";"HONOR EKSKUL SD TKI BLN MARET 2020";"0.00";"9215000.00";"626.19.111";"Biaya adm sd tki"
"563";"2020-03-24";"112.35.111";"bank bca r/k.77";"045H/BCAUM-03/20";"HONOR EKSKUL + PEMANTAPAN SMP MW BLN MARET 2020";"0.00";"11080000.00";"626.16.111";"Biaya adm smp mw"
"564";"2020-03-24";"112.35.111";"bank bca r/k.77";"045I/BCAUM-03/20";"HONOR EKSKUL SMP KOPER BLN MARET 2020";"0.00";"4925000.00";"626.17.111";"Biaya adm smp koper"
"565";"2020-03-24";"112.35.111";"bank bca r/k.77";"045J/BCAUM-03/20";"HONOR EKSKUL SMA BLN MARET 2020";"0.00";"12500000.00";"626.18.111";"Biaya adm sma"
"566";"2020-03-24";"112.35.111";"bank bca r/k.77";"045K/BCAUM-03/20";"HONOR PCM BCA BLN MARET 2020";"0.00";"464444941.00";"620.11.111";"Gaji pegawai gabungan"
"567";"2020-03-24";"112.35.111";"bank bca r/k.77";"045L/BCAUM-03/20";"HONOR PEMANTAPAN SD CTL BLN MARET 2020";"0.00";"1060000.00";"219.16.111";"hutang gaji"
"568";"2020-03-24";"112.35.111";"bank bca r/k.77";"045M/BCAUM-03/20";"HONOR PEMANTAPAN SD KOPER BLN MARET 2020";"0.00";"2160000.00";"219.16.111";"hutang gaji"
"569";"2020-03-24";"112.35.111";"bank bca r/k.77";"045N/BCAUM-03/20";"HONOR PEMANTAPAN SMP KOPER BLN MARET 2020";"0.00";"3630000.00";"219.16.111";"hutang gaji"
"570";"2020-03-24";"112.28.111";"bdi a/n. ykki";"070/BDIUM-03/20";"Iuran Sinode BLN Maret 2020";"0.00";"15000000.00";"651.11.111";"Iuran YKKI"
"571";"2020-03-24";"112.28.111";"bdi a/n. ykki";"071/BDIUM-03/20";"HONOR TUNAI BLN MARET 2020";"0.00";"8645300.00";"620.11.111";"Gaji pegawai gabungan"
"572";"2020-03-24";"112.28.111";"bdi a/n. ykki";"072/BDIUM-03/20";"Honor PCM DANAMON BLN Maret 2020";"0.00";"361643816.00";"620.11.111";"Gaji pegawai gabungan"
"573";"2020-03-26";"112.38.111";"BCA Beasiswa (2846565407)";"007/BCABSW-03/20";"Uang titipan beasiswa dr kerohanian (OTA) BLN MARET 2020";"5250000.00";"0.00";"219.31.111";"Uang Titipan Beasiswa"
"574";"2020-03-26";"112.35.111";"bank bca r/k.77";"046/BCAUM-03/20";"PENGEMBALIAN HONOR DR CHRISTINE";"3200000.00";"0.00";"620.11.111";"Gaji pegawai gabungan"
"575";"2020-03-30";"112.32.113";"bdi tki (virtual account)";"003/BDITKI-03/20";"FORMULIR TK TKI 20-21 BLN MARET 2020";"400000.00";"0.00";"406.13.111";"UP bayar dimuka tk tki"
"576";"2020-03-30";"112.35.111";"bank bca r/k.77";"047/BCAUM-03/20";"SEWA LAP. BASKET 4X U/ BLN APRIL 2020";"1000000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"577";"2020-03-30";"112.28.111";"bdi a/n. ykki";"073/BDIUM-03/20";"SETORAN USAHA DANA KOPERASI SD CIATEUL";"450000.00";"0.00";"219.21.111";"hutang lain2"
"578";"2020-03-31";"219.16.111";"hutang gaji";"001/JB-03/20";"UANG PELAJARAN TAMBAHAN SD CTL DI BLN JANUARI 2020 (SALAH ACCOUNT NO. 049/BDIUM-01/20)";"1660000.00";"0.00";"420.14.111";"u.kegiatan sd ciateul"
"579";"2020-03-31";"219.21.111";"hutang lain2";"005A/BCL-03/20";"BI. ADM BCA LAIN2 BLN MARET 2020 (PERPSHN 4000)";"4000.00";"0.00";"112.37.111";"rek.bca ykki no.6765047017"
"580";"2020-03-31";"219.21.111";"hutang lain2";"005B/BCL-03/20";"BI. ADM BCA LAIN2 BLN MARET 2020 (ADM KERHN 31.000)";"31000.00";"0.00";"112.37.111";"rek.bca ykki no.6765047017"
"581";"2020-03-31";"219.31.111";"Uang Titipan Beasiswa";"008/BCABSW-03/20";"BI. ADM BCA BEASISWA BLN MARET 2020";"30000.00";"0.00";"112.38.111";"BCA Beasiswa (2846565407)"
"582";"2020-03-31";"112.38.111";"BCA Beasiswa (2846565407)";"009/BCABSW-03/20";"BANTUAN BEASISWA DR YYSN BLN FEB 2020 (DI BLN FEB 20 LUPA DIJURNAL)";"10000000.00";"0.00";"219.31.111";"Uang Titipan Beasiswa"
"583";"2020-03-31";"112.32.111";"bdi virtual Ctl(3562377469)";"004/BDICTL-03/20";"BUNGA BANK BDI VA CTL BLN MARET 2020";"4448.09";"0.00";"541.11.111";"Bunga bank"
"584";"2020-03-31";"541.11.111";"Bunga bank";"005/BDICTL-03/20";"PAJAK BUNGA BDI CTL BLN MARET 2020";"889.62";"0.00";"112.32.111";"bdi virtual Ctl(3562377469)"
