"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"306.147.147,00";"306.147.147,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"472.378.608,00";"472.378.608,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"5.000.000,00";"0,00";"267.925.300,00";"257.925.300,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"15.000.000,00";"0,00";"454.920.100,00";"444.920.100,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"552.133.800,00";"552.133.800,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"507.760.000,00";"507.760.000,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"703.586.260,00";"703.586.260,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"848.717.314,00";"848.717.314,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"30.000.000,00";"30.000.000,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"30.000.000,00";"0,00";"1.027.152.200,00";"957.152.200,00";"100.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"7.000.000,00";"0,00";"328.369.350,00";"320.369.350,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"500.000.000,00";"0,00";"7.384.654.798,00";"5.884.654.798,00";"2.000.000.000,00";"0,00"
"112.15.112";"deposito/simp. emas";"10.625.000,00";"0,00";"0,00";"10.625.000,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"810.956.507,69";"0,00";"55.217.829.006,19";"55.184.344.954,09";"844.440.559,79";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"200.267.595,00";"200.267.595,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"19.262.373,00";"0,00";"6.215.427.438,84";"6.173.695.176,87";"60.994.634,97";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"57.360.252,74";"0,00";"16.995.990.228,80";"16.947.201.178,72";"106.149.302,82";"0,00"
"112.32.113";"bdi tki (virtual account)";"16.771.677,89";"0,00";"4.484.653.376,48";"4.463.419.242,79";"38.005.811,58";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"56.153.021,60";"0,00";"15.563.928.931,78";"15.517.190.575,00";"102.891.378,38";"0,00"
"112.33.111";"bank btpn";"23.530.165,00";"0,00";"10.429.905.850,00";"10.003.804.652,00";"449.631.363,00";"0,00"
"112.34.111";"bank mandiri";"67.907.446,28";"0,00";"2.050.598.542,77";"2.098.958.915,46";"19.547.073,59";"0,00"
"112.35.111";"bca umum r/k.7750381132";"0,00";"0,00";"11.562.136.942,35";"11.256.246.050,50";"305.890.891,85";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"0,00";"0,00";"823.148.463,00";"785.710.000,00";"37.438.463,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"0,00";"0,00";"2.639.742.397,00";"2.574.710.000,00";"65.032.397,00";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"0,00";"0,00";"675.939.750,00";"657.029.000,00";"18.910.750,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"0,00";"0,00";"3.625.384.008,00";"3.478.305.000,00";"147.079.008,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"0,00";"0,00";"725.864.551,00";"691.734.500,00";"34.130.051,00";"0,00"
"112.38.111";"bca beasiswa (r/k.2846565407)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.39.111";"bank btpn (1010308182)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
