"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"6.000.000,00";"0,00";"0,00";"4.583.900,00";"1.416.100,00";"0,00"
"111.22.111";"kas kecil tk koper";"10.000.000,00";"0,00";"0,00";"2.070.200,00";"7.929.800,00";"0,00"
"111.23.111";"kas kecil tk tki";"5.000.000,00";"0,00";"0,00";"903.300,00";"4.096.700,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"15.000.000,00";"0,00";"0,00";"8.000.000,00";"7.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"15.000.000,00";"0,00";"0,00";"0,00";"15.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"0,00";"3.511.800,00";"6.488.200,00";"0,00"
"111.27.111";"kas kecil smp koper";"15.000.000,00";"0,00";"0,00";"0,00";"15.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"15.000.000,00";"0,00";"0,00";"1.111.000,00";"13.889.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"50.000.000,00";"0,00";"0,00";"0,00";"50.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"10.000.000,00";"0,00";"0,00";"2.202.000,00";"7.798.000,00";"0,00"
"112.15.111";"deposito";"1.249.454.679,00";"0,00";"5.729.109,00";"4.458.135,00";"1.250.725.653,00";"0,00"
"112.15.112";"deposito/simp. emas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"863.545.701,22";"0,00";"590.611.084,77";"733.665.810,95";"720.490.975,04";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"23.719.860,29";"0,00";"82.642.151,53";"76.871.459,31";"29.490.552,51";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"45.129.523,79";"0,00";"192.488.195,94";"171.273.562,19";"66.344.157,54";"0,00"
"112.32.113";"bdi tki (virtual account)";"14.627.650,89";"0,00";"59.845.538,20";"47.718.847,64";"26.754.341,45";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"22.394.101,83";"0,00";"92.430.766,13";"87.789.503,23";"27.035.364,73";"0,00"
"112.33.111";"bank btpn";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.34.111";"bank mandiri";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.35.111";"bca umum r/k.7750381132";"38.144.178,85";"0,00";"755.000.000,00";"776.223.574,00";"16.920.604,85";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"57.407.831,00";"0,00";"61.494.065,55";"105.132.113,11";"13.769.783,44";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"117.104.924,02";"0,00";"245.079.921,59";"280.405.834,32";"81.779.011,29";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"29.303.200,00";"0,00";"62.771.500,00";"65.127.000,00";"26.947.700,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"42.093.598,00";"0,00";"347.777.525,00";"305.303.000,00";"84.568.123,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"183.726.051,00";"0,00";"5.900.000,00";"64.490.000,00";"125.136.051,00";"0,00"
"112.38.111";"bca beasiswa (r/k.2846565407)";"6.603.125,00";"0,00";"10.000.000,00";"30.000,00";"16.573.125,00";"0,00"
"112.39.111";"bank btpn (1010308182)";"57.137.400,00";"0,00";"4.583.098,00";"24.993,00";"61.695.505,00";"0,00"
"117.11.111";"uang muka lain2";"4.987.940.500,00";"0,00";"151.943.100,00";"42.200.000,00";"5.097.683.600,00";"0,00"
"117.12.111";"um pembelian aset";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.14.111";"piutg guru sma (krg byr)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.111";"piutg kary & pegawai";"120.850.000,00";"0,00";"0,00";"20.500.000,00";"100.350.000,00";"0,00"
"117.15.112";"pinj. unit utk rekng";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.113";"pinj.penerima beasiswa";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.11.111";"piutang spp tk ciateul";"5.117.082,00";"0,00";"35.618.000,00";"32.432.000,00";"8.303.082,00";"0,00"
"118.11.112";"piutang spp tk koper";"31.591.000,00";"0,00";"67.847.750,00";"72.949.250,00";"26.489.500,00";"0,00"
"118.11.113";"piutang spp tk tki";"22.065.601,00";"0,00";"28.274.750,00";"30.483.000,00";"19.857.351,00";"0,00"
