"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"0,00";"0,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"0,00";"0,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"0,00";"0,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"0,00";"0,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"0,00";"0,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"0,00";"0,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"0,00";"0,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"0,00";"0,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"100.000.000,00";"0,00";"0,00";"0,00";"100.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"0,00";"0,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"2.000.000.000,00";"0,00";"0,00";"0,00";"2.000.000.000,00";"0,00"
"112.15.112";"deposito/simp. emas";"10.625.000,00";"0,00";"0,00";"0,00";"10.625.000,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki";"686.091.474,93";"0,00";"0,00";"0,00";"686.091.474,93";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"46.359.801,79";"0,00";"0,00";"0,00";"46.359.801,79";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"57.585.434,75";"0,00";"0,00";"0,00";"57.585.434,75";"0,00"
"112.32.113";"bdi tki (virtual account)";"31.256.145,18";"0,00";"0,00";"0,00";"31.256.145,18";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"73.855.717,01";"0,00";"0,00";"0,00";"73.855.717,01";"0,00"
"112.33.111";"bank btpn";"439.365.418,00";"0,00";"0,00";"0,00";"439.365.418,00";"0,00"
"112.34.111";"bank mandiri";"21.533.517,46";"0,00";"0,00";"0,00";"21.533.517,46";"0,00"
"112.35.111";"bank bca r/k.77";"505.573.312,85";"0,00";"0,00";"0,00";"505.573.312,85";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"20.141.213,00";"0,00";"0,00";"0,00";"20.141.213,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"43.302.647,00";"0,00";"0,00";"0,00";"43.302.647,00";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"17.004.500,00";"0,00";"0,00";"0,00";"17.004.500,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"36.856.508,00";"0,00";"0,00";"0,00";"36.856.508,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"27.660.051,00";"0,00";"0,00";"0,00";"27.660.051,00";"0,00"
"117.11.111";"uang muka lain2";"2.661.325.000,00";"0,00";"0,00";"0,00";"2.661.325.000,00";"0,00"
"117.14.111";"piutg guru sma (krg byr)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.111";"piutg kary & pegawai";"128.068.750,00";"0,00";"0,00";"0,00";"128.068.750,00";"0,00"
"117.15.112";"pinj. unit utk rekng";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.113";"pinj.penerima beasiswa";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.11.111";"piutang spp tk ciateul";"2.006.991,00";"0,00";"0,00";"0,00";"2.006.991,00";"0,00"
"118.11.112";"piutang spp tk koper";"17.403.000,00";"0,00";"0,00";"0,00";"17.403.000,00";"0,00"
"118.11.113";"piutang spp tk tki";"16.794.301,00";"0,00";"0,00";"0,00";"16.794.301,00";"0,00"
"118.21.111";"piutang spp sd ciateul";"55.726.450,00";"0,00";"0,00";"0,00";"55.726.450,00";"0,00"
"118.21.112";"piutang spp sd koper";"43.173.910,00";"0,00";"0,00";"0,00";"43.173.910,00";"0,00"
"118.21.113";"piutang spp sd tki";"8.740.750,00";"0,00";"0,00";"0,00";"8.740.750,00";"0,00"
"118.31.111";"piutang spp smp mekar wangi";"49.539.824,50";"0,00";"0,00";"0,00";"49.539.824,50";"0,00"
"118.31.112";"piutang spp smp koper";"269.394.212,00";"0,00";"0,00";"0,00";"269.394.212,00";"0,00"
"118.41.111";"piutang spp sma mekar wangi";"48.838.600,00";"0,00";"0,00";"0,00";"48.838.600,00";"0,00"
"118.51.111";"uang muka i-learning";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.51.112";"tungg du tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.52.111";"arisan skkk";"197.000.000,00";"0,00";"0,00";"0,00";"197.000.000,00";"0,00"
"118.53.111";"u.muka kontruksi koper";"2.348.859.051,00";"0,00";"0,00";"0,00";"2.348.859.051,00";"0,00"
"118.54.111";"u.m kontruksi dlm pembang. tki";"2.177.384.283,00";"0,00";"0,00";"0,00";"2.177.384.283,00";"0,00"
"118.55.111";"piu. ykki/gkkkb";"500.000.000,00";"0,00";"0,00";"0,00";"500.000.000,00";"0,00"
"118.61.111";"u.muka open house tk ciateul";"-3.250.000,00";"0,00";"0,00";"0,00";"-3.250.000,00";"0,00"
"118.61.112";"u.muka open house tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.113";"u.muka open house tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.114";"u.muka open house sd ciateul";"3.250.000,00";"0,00";"0,00";"0,00";"3.250.000,00";"0,00"
"118.61.115";"u.muka open house sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.116";"u.muka open house smp mekar wa";"-2.500.000,00";"0,00";"0,00";"0,00";"-2.500.000,00";"0,00"
"118.61.117";"u.muka open house smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.118";"u.muka open house sma mekar wa";"2.500.000,00";"0,00";"0,00";"0,00";"2.500.000,00";"0,00"
"118.61.119";"u.muka open house umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.71.111";"asuransi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.81.111";"ganti nama sertifikat & ajb";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.91.111";"anonim";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.11.111";"piutang up tk ciateul";"14.656.250,00";"0,00";"0,00";"0,00";"14.656.250,00";"0,00"
"119.11.112";"piutang up tk koper";"18.630.000,00";"0,00";"0,00";"0,00";"18.630.000,00";"0,00"
"119.11.113";"piutang up tk tki";"3.500.000,00";"0,00";"0,00";"0,00";"3.500.000,00";"0,00"
"119.21.111";"piutang up sd ciateul";"3.420.000,00";"0,00";"0,00";"0,00";"3.420.000,00";"0,00"
"119.21.112";"piutang up sd koper";"2.875.000,00";"0,00";"0,00";"0,00";"2.875.000,00";"0,00"
"119.21.113";"piutang up sd tki";"3.050.000,00";"0,00";"0,00";"0,00";"3.050.000,00";"0,00"
"119.31.111";"piutang up smp mekar wangi";"10.160.000,00";"0,00";"0,00";"0,00";"10.160.000,00";"0,00"
"119.31.112";"piutang up smp koper";"54.469.850,00";"0,00";"0,00";"0,00";"54.469.850,00";"0,00"
"119.41.111";"piutang up sma mekar wangi";"28.615.000,00";"0,00";"0,00";"0,00";"28.615.000,00";"0,00"
"119.51.111";"piutang ups tk ciateul";"-18.512.500,00";"0,00";"0,00";"0,00";"-18.512.500,00";"0,00"
"119.51.112";"piutang ups tk koper";"-34.660.000,00";"0,00";"0,00";"0,00";"-34.660.000,00";"0,00"
"119.51.113";"piutang ups tk tki";"-13.156.250,00";"0,00";"0,00";"0,00";"-13.156.250,00";"0,00"
"119.51.114";"piutang ups sd ciateul";"-61.275.000,00";"0,00";"0,00";"0,00";"-61.275.000,00";"0,00"
"119.51.115";"piutang ups sd koper";"-150.205.000,00";"0,00";"0,00";"0,00";"-150.205.000,00";"0,00"
"119.51.116";"piutang ups smp mekar wangi";"-32.228.506,00";"0,00";"0,00";"0,00";"-32.228.506,00";"0,00"
"119.51.117";"piutang ups smp koper";"-60.137.625,00";"0,00";"0,00";"0,00";"-60.137.625,00";"0,00"
"119.51.118";"piutang ups sma mekar wangi";"-40.915.625,00";"0,00";"0,00";"0,00";"-40.915.625,00";"0,00"
"119.51.119";"piutang ups sd tki";"-63.127.000,00";"0,00";"0,00";"0,00";"-63.127.000,00";"0,00"
"119.61.111";"anonim dr tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.112";"anonim dr tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.113";"anonim dr tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.114";"anonim dr sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.115";"anonim dr sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.116";"anonim dr smp mw";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.117";"anonim dr smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.118";"anonim dr sma";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"121.11.111";"tanah kopo sari";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"121.12.111";"tanah ciateul";"1.705.500.000,00";"0,00";"0,00";"0,00";"1.705.500.000,00";"0,00"
"121.13.111";"tanah koper";"3.847.375.000,00";"0,00";"0,00";"0,00";"3.847.375.000,00";"0,00"
"121.14.111";"tanah tki ii";"4.074.400.000,00";"0,00";"0,00";"0,00";"4.074.400.000,00";"0,00"
"121.15.111";"tanah mekar wangi";"8.182.475.318,06";"0,00";"0,00";"0,00";"8.182.475.318,06";"0,00"
"122.12.111";"bangunan ciateul";"3.114.000.000,00";"0,00";"0,00";"0,00";"3.114.000.000,00";"0,00"
"122.13.111";"bangunan koper";"4.850.000.000,00";"0,00";"0,00";"0,00";"4.850.000.000,00";"0,00"
"122.14.111";"bangunan tki";"600.000.000,00";"0,00";"0,00";"0,00";"600.000.000,00";"0,00"
"122.15.111";"bangunan mekar wangi";"7.971.063.493,00";"0,00";"0,00";"0,00";"7.971.063.493,00";"0,00"
"122.15.112";"bangunan smp mekar wangi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"123.11.111";"inventaris";"24.000.000,00";"0,00";"0,00";"0,00";"24.000.000,00";"0,00"
"123.12.111";"inventaris ctl";"159.527.735,00";"0,00";"0,00";"0,00";"159.527.735,00";"0,00"
"123.13.111";"inventaris koper";"411.409.500,00";"0,00";"0,00";"0,00";"411.409.500,00";"0,00"
"123.14.111";"inventaris m.wangi";"417.236.900,00";"0,00";"0,00";"0,00";"417.236.900,00";"0,00"
"123.15.111";"inventaris tki ii";"229.907.500,00";"0,00";"0,00";"0,00";"229.907.500,00";"0,00"
"124.11.111";"kendaraan";"1.039.085.100,00";"0,00";"0,00";"0,00";"1.039.085.100,00";"0,00"
"126.11.111";"ak. ph. banguna";"-12.803.561.543,41";"0,00";"0,00";"0,00";"-12.803.561.543,41";"0,00"
"126.12.111";"ak.ph.kendaraan";"-893.726.696,67";"0,00";"0,00";"0,00";"-893.726.696,67";"0,00"
"126.13.111";"ak. ph. invent";"-916.050.472,56";"0,00";"0,00";"0,00";"-916.050.472,56";"0,00"
"126.15.111";"penyusutan ganti nama";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"126.21.111";"uang jaminan pln";"7.550.400,00";"0,00";"0,00";"0,00";"7.550.400,00";"0,00"
"215.11.111";"anonim";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"216.11.111";"wesel bayar outstanding";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"217.11.111";"hutang pph21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"219.16.111";"hutang gaji";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"219.21.111";"hutang lain2";"0,00";"937.402.511,00";"0,00";"0,00";"0,00";"937.402.511,00"
"311.11.111";"donasi";"0,00";"12.139.342.245,37";"0,00";"0,00";"0,00";"12.139.342.245,37"
"311.13.111";"modal barang";"0,00";"14.010.000,00";"0,00";"0,00";"0,00";"14.010.000,00"
"321.11.111";"laba ditahan";"0,00";"-225.052.719,00";"0,00";"0,00";"0,00";"-225.052.719,00"
"400.11.111";"uang titipan komputer tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.12.111";"uang titipan komputer tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.13.111";"uang titipan komputer tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.14.111";"uang titipan komputer sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.15.111";"uang titipan komputer sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.15.112";"uang titipan komputer sd tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.16.111";"uang titipan komputer smp mw";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.17.111";"uang titipan komputer smp kop";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.18.111";"uang titipan komputer sma";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.19.111";"uang titipan komputer gabungan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"401.11.111";"SPP bayar dimuka tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"401.12.111";"SPP bayar dimuka tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"401.13.111";"SPP bayar dimuka tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"402.11.111";"SPP bayar dimuka sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"402.12.111";"SPP bayar dimuka sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"402.13.111";"SPP bayar dimuka sd tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"403.11.111";"SPP bayar dimuka smp mekar wangi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"403.12.111";"SPP bayar dimuka smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"404.11.111";"SPP bayar dimuka sma mekar wangi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"406.11.111";"UP bayar dimuka tk ciateul";"0,00";"90.287.500,00";"0,00";"0,00";"0,00";"90.287.500,00"
"406.12.111";"UP bayar dimuka tk koper";"0,00";"193.115.000,00";"0,00";"0,00";"0,00";"193.115.000,00"
"406.13.111";"UP bayar dimuka tk tki";"0,00";"76.850.000,00";"0,00";"0,00";"0,00";"76.850.000,00"
"407.11.111";"UP bayar dimuka sd ctl";"0,00";"167.492.500,00";"0,00";"0,00";"0,00";"167.492.500,00"
"407.12.111";"UP bayar dimuka sd koper";"0,00";"376.990.000,00";"0,00";"0,00";"0,00";"376.990.000,00"
"407.13.111";"UP bayar dimuka sd tki";"0,00";"228.870.000,00";"0,00";"0,00";"0,00";"228.870.000,00"
"408.11.111";"UP bayar dimuka smp mekar wangi";"0,00";"340.401.250,00";"0,00";"0,00";"0,00";"340.401.250,00"
"408.12.111";"UP bayar dimuka smp koper";"0,00";"471.575.000,00";"0,00";"0,00";"0,00";"471.575.000,00"
"409.11.111";"UP bayar dimuka sma mekar wangi";"0,00";"894.341.508,00";"0,00";"0,00";"0,00";"894.341.508,00"
"411.11.111";"SPP tk ciateul";"0,00";"3.738.176.250,00";"0,00";"0,00";"0,00";"3.738.176.250,00"
