"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"6.281.700,00";"6.281.700,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"8.741.900,00";"8.741.900,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"3.339.500,00";"3.339.500,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"20.822.900,00";"20.822.900,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"16.137.900,00";"16.137.900,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"12.937.000,00";"12.937.000,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"19.576.450,00";"19.576.450,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"21.285.800,00";"21.285.800,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"100.000.000,00";"0,00";"68.591.300,00";"68.591.300,00";"100.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"9.754.600,00";"9.754.600,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"2.239.473.002,00";"0,00";"11.795.691,00";"9.512.328,00";"2.241.756.365,00";"0,00"
"112.15.112";"deposito/simp. emas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"59.873.380,65";"0,00";"1.102.055.154,52";"1.028.022.159,90";"133.906.375,27";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"71.623.224,92";"0,00";"170.384.351,47";"191.990.605,29";"50.016.971,10";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"124.278.516,75";"0,00";"314.069.710,01";"280.582.335,00";"157.765.891,76";"0,00"
"112.32.113";"bdi tki (virtual account)";"34.217.145,09";"0,00";"108.951.137,24";"112.466.126,45";"30.702.155,88";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"143.434.078,43";"0,00";"322.484.567,90";"376.630.921,58";"89.287.724,75";"0,00"
"112.33.111";"bank btpn";"469.873.311,00";"0,00";"10.519.127,00";"211.360,00";"480.181.078,00";"0,00"
"112.34.111";"bank mandiri";"17.820.289,87";"0,00";"11.003,47";"2.976.597,69";"14.854.695,65";"0,00"
"112.35.111";"bca umum r/k.7750381132";"640.965.550,85";"0,00";"1.509.800.000,00";"828.489.817,00";"1.322.275.733,85";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"56.795.149,00";"0,00";"116.896.250,00";"134.200.000,00";"39.491.399,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"293.045.410,00";"0,00";"397.924.604,00";"545.483.000,00";"145.487.014,00";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"51.730.250,00";"0,00";"116.132.662,00";"125.176.000,00";"42.686.912,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"384.802.682,00";"0,00";"551.914.243,00";"695.469.000,00";"241.247.925,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"99.196.051,00";"0,00";"50.550.000,00";"5.170.000,00";"144.576.051,00";"0,00"
"117.11.111";"uang muka lain2";"3.425.225.000,00";"0,00";"284.806.000,00";"0,00";"3.710.031.000,00";"0,00"
"117.12.111";"um pembelian as";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.14.111";"piutg guru sma (krg byr)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.111";"piutg kary & pegawai";"158.050.000,00";"0,00";"19.500.000,00";"21.650.000,00";"155.900.000,00";"0,00"
"117.15.112";"pinj. unit utk rekng";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.113";"pinj.penerima beasiswa";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.11.111";"piutang spp tk ciateul";"125.000,00";"0,00";"38.001.000,00";"39.482.000,00";"-1.356.000,00";"0,00"
"118.11.112";"piutang spp tk koper";"8.388.500,00";"0,00";"65.742.750,00";"58.995.250,00";"15.136.000,00";"0,00"
"118.11.113";"piutang spp tk tki";"14.134.851,00";"0,00";"29.072.750,00";"24.420.000,00";"18.787.601,00";"0,00"
"118.21.111";"piutang spp sd ciateul";"84.693.389,00";"0,00";"121.303.500,00";"125.217.750,00";"80.779.139,00";"0,00"
"118.21.112";"piutang spp sd koper";"100.878.648,00";"0,00";"217.114.250,00";"249.047.999,00";"68.944.899,00";"0,00"
"118.21.113";"piutang spp sd tki";"19.489.750,00";"0,00";"101.457.250,00";"106.432.412,00";"14.514.588,00";"0,00"
"118.31.111";"piutang spp smp mekar wangi";"121.888.375,50";"0,00";"113.777.750,00";"140.579.250,00";"95.086.875,50";"0,00"
