"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"15.697.700,00";"15.697.700,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"0,00";"0,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"0,00";"0,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"17.727.500,00";"17.727.500,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"26.417.800,00";"26.417.800,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"16.241.600,00";"16.241.600,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"19.266.400,00";"19.266.400,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"23.995.250,00";"23.995.250,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"50.000.000,00";"0,00";"30.369.950,00";"30.369.950,00";"50.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"13.334.500,00";"13.334.500,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"3.500.000.000,00";"0,00";"14.958.904,00";"14.958.904,00";"3.500.000.000,00";"0,00"
"112.15.112";"deposito/simp. emas";"10.625.000,00";"0,00";"0,00";"0,00";"10.625.000,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"339.623.162,25";"0,00";"1.997.955.304,61";"2.152.083.466,92";"185.494.999,94";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
