"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"12.082.100,00";"12.082.100,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"16.662.700,00";"16.662.700,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"0,00";"0,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"10.307.200,00";"10.307.200,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"30.414.400,00";"30.414.400,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"16.535.500,00";"16.535.500,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"17.137.275,00";"17.137.275,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"13.136.000,00";"13.136.000,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"100.000.000,00";"0,00";"68.311.200,00";"68.311.200,00";"100.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"14.889.400,00";"14.889.400,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"2.000.000.000,00";"0,00";"9.863.014,00";"9.863.014,00";"2.000.000.000,00";"0,00"
"112.15.112";"deposito/simp. emas";"10.625.000,00";"0,00";"0,00";"0,00";"10.625.000,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"1.799.733.031,96";"0,00";"2.430.441.492,97";"3.544.083.050,00";"686.091.474,93";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"17.031.041,15";"0,00";"216.512.003,30";"187.183.242,66";"46.359.801,79";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"98.610.919,30";"0,00";"394.484.574,81";"435.510.059,36";"57.585.434,75";"0,00"
"112.32.113";"bdi tki (virtual account)";"25.581.640,64";"0,00";"133.442.854,43";"127.768.349,89";"31.256.145,18";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"39.672.173,28";"0,00";"389.909.982,16";"355.726.438,43";"73.855.717,01";"0,00"
"112.33.111";"bank btpn";"428.789.978,00";"0,00";"10.753.547,00";"178.107,00";"439.365.418,00";"0,00"
"112.34.111";"bank mandiri";"17.753.582,25";"0,00";"80.014.727,76";"76.234.792,55";"21.533.517,46";"0,00"
"112.35.111";"bca umum r/k.7750381132";"1.229.068.694,35";"0,00";"905.850.000,00";"1.629.345.381,50";"505.573.312,85";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"57.753.463,00";"0,00";"62.417.750,00";"100.030.000,00";"20.141.213,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"182.873.447,00";"0,00";"224.459.200,00";"364.030.000,00";"43.302.647,00";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"50.465.407,00";"0,00";"52.569.093,00";"86.030.000,00";"17.004.500,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"138.545.508,00";"0,00";"243.341.000,00";"345.030.000,00";"36.856.508,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"105.840.051,00";"0,00";"24.450.000,00";"102.630.000,00";"27.660.051,00";"0,00"
"117.11.111";"uang muka lain2";"61.525.000,00";"0,00";"2.606.230.000,00";"6.430.000,00";"2.661.325.000,00";"0,00"
"117.14.111";"piutg guru sma (krg byr)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.111";"piutg kary & pegawai";"125.283.750,00";"0,00";"24.000.000,00";"24.815.000,00";"124.468.750,00";"0,00"
"117.15.112";"pinj. unit utk rekng";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.113";"pinj.penerima beasiswa";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.11.111";"piutang spp tk ciateul";"5.291.241,00";"0,00";"40.656.250,00";"43.940.500,00";"2.006.991,00";"0,00"
"118.11.112";"piutang spp tk koper";"20.564.500,00";"0,00";"60.778.750,00";"63.940.250,00";"17.403.000,00";"0,00"
"118.11.113";"piutang spp tk tki";"19.621.751,00";"0,00";"34.411.300,00";"37.238.750,00";"16.794.301,00";"0,00"
"118.21.111";"piutang spp sd ciateul";"81.628.200,00";"0,00";"114.140.500,00";"140.042.250,00";"55.726.450,00";"0,00"
"118.21.112";"piutang spp sd koper";"75.958.110,00";"0,00";"190.236.250,00";"223.020.450,00";"43.173.910,00";"0,00"
"118.21.113";"piutang spp sd tki";"25.960.343,00";"0,00";"84.582.250,00";"101.801.843,00";"8.740.750,00";"0,00"
"118.31.111";"piutang spp smp mekar wangi";"86.635.449,50";"0,00";"107.247.500,00";"144.343.125,00";"49.539.824,50";"0,00"
"118.31.112";"piutang spp smp koper";"287.183.650,00";"0,00";"157.874.375,00";"175.663.813,00";"269.394.212,00";"0,00"
"118.41.111";"piutang spp sma mekar wangi";"135.362.700,00";"0,00";"303.477.500,00";"390.001.600,00";"48.838.600,00";"0,00"
"118.51.111";"uang muka i-learning";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.51.112";"tungg du tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.52.111";"arisan skkk";"186.000.000,00";"0,00";"11.000.000,00";"0,00";"197.000.000,00";"0,00"
"118.53.111";"u.muka kontruksi koper";"2.348.859.051,00";"0,00";"0,00";"0,00";"2.348.859.051,00";"0,00"
"118.54.111";"u.m kontruksi dlm pembang. tki";"2.177.384.283,00";"0,00";"0,00";"0,00";"2.177.384.283,00";"0,00"
"118.55.111";"piu. ykki/gkkkb";"500.000.000,00";"0,00";"0,00";"0,00";"500.000.000,00";"0,00"
"118.61.111";"u.muka open house tk ciateul";"-3.250.000,00";"0,00";"0,00";"0,00";"-3.250.000,00";"0,00"
"118.61.112";"u.muka open house tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.113";"u.muka open house tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.114";"u.muka open house sd ciateul";"3.250.000,00";"0,00";"0,00";"0,00";"3.250.000,00";"0,00"
"118.61.115";"u.muka open house sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.116";"u.muka open house smp mekar wa";"-2.500.000,00";"0,00";"0,00";"0,00";"-2.500.000,00";"0,00"
"118.61.117";"u.muka open house smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.118";"u.muka open house sma mekar wa";"2.500.000,00";"0,00";"0,00";"0,00";"2.500.000,00";"0,00"
"118.61.119";"u.muka open house umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.71.111";"asuransi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.81.111";"ganti nama sertifikat & ajb";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.91.111";"anonim";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.11.111";"piutang up tk ciateul";"18.235.250,00";"0,00";"0,00";"3.579.000,00";"14.656.250,00";"0,00"
"119.11.112";"piutang up tk koper";"20.940.000,00";"0,00";"0,00";"2.310.000,00";"18.630.000,00";"0,00"
"119.11.113";"piutang up tk tki";"4.025.000,00";"0,00";"0,00";"525.000,00";"3.500.000,00";"0,00"
"119.21.111";"piutang up sd ciateul";"3.420.000,00";"0,00";"0,00";"0,00";"3.420.000,00";"0,00"
"119.21.112";"piutang up sd koper";"3.450.000,00";"0,00";"0,00";"575.000,00";"2.875.000,00";"0,00"
"119.21.113";"piutang up sd tki";"3.050.000,00";"0,00";"0,00";"0,00";"3.050.000,00";"0,00"
"119.31.111";"piutang up smp mekar wangi";"10.160.000,00";"0,00";"0,00";"0,00";"10.160.000,00";"0,00"
"119.31.112";"piutang up smp koper";"55.219.850,00";"0,00";"0,00";"750.000,00";"54.469.850,00";"0,00"
"119.41.111";"piutang up sma mekar wangi";"30.060.000,00";"0,00";"0,00";"1.445.000,00";"28.615.000,00";"0,00"
"119.51.111";"piutang ups tk ciateul";"-15.781.250,00";"0,00";"0,00";"2.731.250,00";"-18.512.500,00";"0,00"
"119.51.112";"piutang ups tk koper";"-10.185.000,00";"0,00";"0,00";"24.475.000,00";"-34.660.000,00";"0,00"
"119.51.113";"piutang ups tk tki";"-11.125.000,00";"0,00";"0,00";"2.031.250,00";"-13.156.250,00";"0,00"
"119.51.114";"piutang ups sd ciateul";"2.045.000,00";"0,00";"-960.000,00";"62.360.000,00";"-61.275.000,00";"0,00"
