"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"6.068.700,00";"6.068.700,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"12.821.300,00";"12.821.300,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"3.053.900,00";"3.053.900,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"11.026.800,00";"11.026.800,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"13.156.700,00";"13.156.700,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"14.348.600,00";"14.348.600,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"15.595.500,00";"15.595.500,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"11.344.100,00";"11.344.100,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"100.000.000,00";"0,00";"61.965.800,00";"61.965.800,00";"100.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"7.958.200,00";"7.958.200,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"2.241.756.365,00";"0,00";"2.010.318.222,00";"2.009.205.480,00";"2.242.869.107,00";"0,00"
"112.15.112";"deposito/simp. emas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"133.906.375,27";"0,00";"844.725.822,05";"912.185.622,41";"66.446.574,91";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"50.016.971,10";"0,00";"90.639.565,93";"127.484.053,19";"13.172.483,84";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"157.765.891,76";"0,00";"173.691.780,81";"300.939.399,16";"30.518.273,41";"0,00"
"112.32.113";"bdi tki (virtual account)";"30.702.155,88";"0,00";"102.651.466,99";"112.932.332,40";"20.421.290,47";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"89.287.724,75";"0,00";"133.366.352,32";"206.889.864,46";"15.764.212,61";"0,00"
"112.33.111";"bank btpn";"480.181.078,00";"0,00";"2.012.141.017,00";"2.000.622.107,00";"491.699.988,00";"0,00"
"112.34.111";"bank mandiri";"14.854.695,65";"0,00";"9.190,81";"3.756.685,16";"11.107.201,30";"0,00"
"112.35.111";"bca umum r/k.7750381132";"1.322.275.733,85";"0,00";"1.113.329.800,00";"860.702.267,00";"1.574.903.266,85";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"39.491.399,00";"0,00";"73.363.000,00";"95.153.000,00";"17.701.399,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"145.487.014,00";"0,00";"311.542.100,00";"395.400.000,00";"61.629.114,00";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"42.686.912,00";"0,00";"79.439.338,00";"110.168.000,00";"11.958.250,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"241.247.925,00";"0,00";"325.916.500,00";"505.349.000,00";"61.815.425,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"144.576.051,00";"0,00";"50.003.000,00";"24.344.000,00";"170.235.051,00";"0,00"
"112.38.111";"bca beasiswa (r/k.2846565407)";"38.665.000,00";"0,00";"132.623.000,00";"30.000,00";"171.258.000,00";"0,00"
"117.11.111";"uang muka lain2";"3.710.031.000,00";"0,00";"262.864.000,00";"179.939.000,00";"3.792.956.000,00";"0,00"
"117.12.111";"um pembelian aset";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.14.111";"piutg guru sma (krg byr)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.111";"piutg kary & pegawai";"155.900.000,00";"0,00";"12.500.000,00";"25.200.000,00";"143.200.000,00";"0,00"
"117.15.112";"pinj. unit utk rekng";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.113";"pinj.penerima beasiswa";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.11.111";"piutang spp tk ciateul";"-1.356.000,00";"0,00";"36.829.000,00";"31.399.000,00";"4.074.000,00";"0,00"
"118.11.112";"piutang spp tk koper";"15.136.000,00";"0,00";"66.455.750,00";"59.792.750,00";"21.799.000,00";"0,00"
"118.11.113";"piutang spp tk tki";"18.787.601,00";"0,00";"28.275.750,00";"25.575.000,00";"21.488.351,00";"0,00"
"118.21.111";"piutang spp sd ciateul";"80.779.139,00";"0,00";"121.300.500,00";"99.919.750,00";"102.159.889,00";"0,00"
"118.21.112";"piutang spp sd koper";"68.944.899,00";"0,00";"217.137.250,00";"175.788.375,00";"110.293.774,00";"0,00"
"118.21.113";"piutang spp sd tki";"14.514.588,00";"0,00";"99.894.250,00";"89.948.838,00";"24.460.000,00";"0,00"
"118.31.111";"piutang spp smp mekar wangi";"95.086.875,50";"0,00";"118.907.750,00";"94.105.500,00";"119.889.125,50";"0,00"
"118.31.112";"piutang spp smp koper";"290.184.607,00";"0,00";"168.941.250,00";"142.370.100,00";"316.755.757,00";"0,00"
"118.41.111";"piutang spp sma mekar wangi";"143.848.150,00";"0,00";"329.063.750,00";"258.773.250,00";"214.138.650,00";"0,00"
"118.51.111";"uang muka i-learning";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.51.112";"tungg du tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.52.111";"arisan skkk";"241.000.000,00";"0,00";"11.000.000,00";"0,00";"252.000.000,00";"0,00"
"118.53.111";"u.muka kontruksi koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.54.111";"u.m kontruksi dlm pembang. tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.55.111";"piu. ykki/gkkkb";"500.000.000,00";"0,00";"0,00";"0,00";"500.000.000,00";"0,00"
"118.61.111";"u.muka open house tk ciateul";"-3.250.000,00";"0,00";"0,00";"0,00";"-3.250.000,00";"0,00"
"118.61.112";"u.muka open house tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.113";"u.muka open house tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.114";"u.muka open house sd ciateul";"3.250.000,00";"0,00";"0,00";"0,00";"3.250.000,00";"0,00"
"118.61.115";"u.muka open house sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.116";"u.muka open house smp mekar wa";"-2.500.000,00";"0,00";"0,00";"0,00";"-2.500.000,00";"0,00"
"118.61.117";"u.muka open house smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.118";"u.muka open house sma mekar wa";"2.500.000,00";"0,00";"0,00";"0,00";"2.500.000,00";"0,00"
"118.61.119";"u.muka open house umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.71.111";"asuransi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.81.111";"ganti nama sertifikat & ajb";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.91.111";"anonim";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
