"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"0,00";"-6.596.266,00";"20.239.600,00";"26.239.600,00";"0,00";"-596.266,00"
"111.22.111";"kas kecil tk koper";"0,00";"-9.759.115,00";"28.600.900,00";"38.600.900,00";"0,00";"240.885,00"
"111.23.111";"kas kecil tk tki";"0,00";"-4.994.033,00";"13.469.750,00";"18.469.750,00";"0,00";"5.967,00"
"111.24.111";"kas kecil sd ciateul";"0,00";"-14.818.750,00";"47.177.700,00";"62.177.700,00";"0,00";"181.250,00"
"111.25.111";"kas kecil sd koper";"0,00";"-15.955.025,00";"48.571.800,00";"63.571.800,00";"0,00";"-955.025,00"
"111.26.111";"kas kecil smp mekar wangi";"0,00";"-9.918.340,00";"33.025.700,00";"43.025.700,00";"0,00";"81.660,00"
"111.27.111";"kas kecil smp koper";"0,00";"-14.247.949,00";"62.593.663,00";"77.593.663,00";"0,00";"752.051,00"
"111.28.111";"kas kecil sma mekar wangi";"0,00";"-14.627.395,00";"40.731.800,00";"55.731.800,00";"0,00";"372.605,00"
"111.29.111";"kas kecil bps";"0,00";"959.818,00";"0,00";"0,00";"0,00";"959.818,00"
"111.30.111";"kas bps-2";"0,00";"-51.948.807,00";"177.009.000,00";"227.009.000,00";"0,00";"-1.948.807,00"
"111.31.111";"kas smtr";"0,00";"12.115.624,00";"398.735.500,00";"398.735.500,00";"0,00";"12.115.624,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"0,00";"-10.000.000,00";"23.091.900,00";"33.091.900,00";"0,00";"0,00"
"112.15.111";"deposito";"0,00";"-2.436.406.051,00";"305.434.050,00";"3.050.379.591,00";"0,00";"308.539.490,00"
"112.15.112";"deposito/simp. emas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"98.149.492,00";"0,00";"0,00";"0,00";"98.149.492,00"
"112.23.111";"bdi tk pasundan";"0,00";"6.838.050,00";"0,00";"0,00";"0,00";"6.838.050,00"
"112.24.111";"bdi a/n. andrew";"0,00";"8.429.181,00";"0,00";"0,00";"0,00";"8.429.181,00"
"112.25.111";"nisp koper";"0,00";"297.778.127,00";"0,00";"0,00";"0,00";"297.778.127,00"
"112.26.111";"nisp tki ii";"0,00";"36.092.431,00";"0,00";"0,00";"0,00";"36.092.431,00"
"112.27.111";"bank niaga";"0,00";"26.412.908,00";"0,00";"0,00";"0,00";"26.412.908,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"0,00";"-29.443.796,49";"5.574.638.694,88";"5.604.082.491,37";"0,00";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"0,00";"-55.869.833,70";"517.747.260,81";"573.617.094,51";"0,00";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"0,00";"-172.766.202,85";"1.178.552.738,89";"1.351.318.941,74";"0,00";"0,00"
"112.32.113";"bdi tki (virtual account)";"0,00";"-34.194.022,80";"401.392.332,81";"435.586.355,61";"0,00";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"0,00";"-82.545.144,69";"651.344.313,99";"733.889.458,68";"0,00";"0,00"
"112.33.111";"bank btpn";"0,00";"-14.162.493,00";"246.181.712,00";"260.344.205,00";"0,00";"0,00"
"112.34.111";"bank mandiri";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.35.111";"bca umum r/k.7750381132";"0,00";"-95.554.221,85";"5.217.202.100,00";"5.312.756.321,85";"0,00";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"0,00";"-15.531.838,00";"601.068.925,46";"616.600.763,46";"0,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"0,00";"-76.286.863,00";"1.791.363.414,22";"1.867.650.277,22";"0,00";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"0,00";"-11.764.450,00";"482.326.600,00";"494.091.050,00";"0,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"0,00";"-174.996.385,00";"2.097.972.408,07";"2.272.968.793,07";"0,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"0,00";"-145.111.051,00";"195.207.804,59";"340.318.855,59";"0,00";"0,00"
"112.38.111";"bca beasiswa (r/k.2846565407)";"0,00";"-116.903.500,00";"216.080.000,00";"332.983.500,00";"0,00";"0,00"
"112.39.111";"bank btpn (1010308182)";"0,00";"0,00";"2.065.112.560,00";"2.065.112.560,00";"0,00";"0,00"
"117.11.111";"uang muka lain2";"0,00";"-4.400.920.110,00";"1.210.656.800,00";"5.611.576.910,00";"0,00";"0,00"
"117.12.111";"um pembelian aset";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.14.111";"piutg guru sma (krg byr)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.111";"piutg kary & pegawai";"0,00";"-135.195.200,00";"80.700.000,00";"215.895.200,00";"0,00";"0,00"
"117.15.112";"pinj. unit utk rekng";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.113";"pinj.penerima beasiswa";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.11.111";"piutang spp tk ciateul";"0,00";"-6.157.000,00";"215.976.700,00";"223.183.700,00";"0,00";"1.050.000,00"
"118.11.112";"piutang spp tk koper";"0,00";"-19.976.000,00";"404.854.500,00";"424.830.500,00";"0,00";"0,00"
"118.11.113";"piutang spp tk tki";"0,00";"-19.300.851,00";"169.535.500,00";"188.836.351,00";"0,00";"0,00"
"118.21.111";"piutang spp sd ciateul";"0,00";"-86.970.450,00";"719.514.000,00";"810.159.450,00";"0,00";"3.675.000,00"
"118.21.112";"piutang spp sd koper";"0,00";"-50.108.399,00";"1.304.442.000,00";"1.356.885.399,00";"0,00";"2.335.000,00"
"118.21.113";"piutang spp sd tki";"0,00";"-14.625.250,00";"589.334.750,00";"603.960.000,00";"0,00";"0,00"
"118.31.111";"piutang spp smp mekar wangi";"0,00";"-94.072.264,50";"723.644.000,00";"822.993.764,50";"0,00";"5.277.500,00"
"118.31.112";"piutang spp smp koper";"0,00";"-277.999.587,00";"1.017.386.400,00";"1.308.669.737,00";"0,00";"13.283.750,00"
"118.41.111";"piutang spp sma mekar wangi";"0,00";"-162.304.350,00";"1.878.726.622,00";"2.048.240.222,00";"0,00";"7.209.250,00"
"118.51.111";"uang muka i-learning";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.51.112";"tungg du tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.52.111";"arisan skkk";"0,00";"-274.000.000,00";"66.000.000,00";"340.000.000,00";"0,00";"0,00"
"118.53.111";"u.muka kontruksi koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.54.111";"u.m kontruksi dlm pembang. tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.55.111";"piu. ykki/gkkkb";"0,00";"-500.000.000,00";"0,00";"500.000.000,00";"0,00";"0,00"
"118.61.111";"u.muka open house tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.112";"u.muka open house tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.113";"u.muka open house tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.114";"u.muka open house sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.115";"u.muka open house sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.116";"u.muka open house smp mekar wa";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.117";"u.muka open house smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.118";"u.muka open house sma mekar wa";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.119";"u.muka open house umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.71.111";"asuransi";"0,00";"7.583.000,00";"0,00";"0,00";"0,00";"7.583.000,00"
"118.81.111";"ganti nama sertifikat & ajb";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.91.111";"anonim";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.11.111";"piutang up tk ciateul";"0,00";"-15.124.750,00";"0,00";"15.124.750,00";"0,00";"0,00"
"119.11.112";"piutang up tk koper";"0,00";"-12.415.000,00";"0,00";"12.415.000,00";"0,00";"0,00"
"119.11.113";"piutang up tk tki";"0,00";"-10.999.000,00";"2.000,00";"11.001.000,00";"0,00";"0,00"
"119.21.111";"piutang up sd ciateul";"0,00";"250.500,00";"4.750.000,00";"7.159.500,00";"0,00";"2.660.000,00"
"119.21.112";"piutang up sd koper";"0,00";"0,00";"6.250.000,00";"6.250.000,00";"0,00";"0,00"
"119.21.113";"piutang up sd tki";"0,00";"-975.000,00";"0,00";"975.000,00";"0,00";"0,00"
"119.31.111";"piutang up smp mekar wangi";"0,00";"19.654.000,00";"0,00";"8.350.000,00";"0,00";"28.004.000,00"
"119.31.112";"piutang up smp koper";"0,00";"-37.018.600,00";"1.100.150,00";"55.720.000,00";"0,00";"17.601.250,00"
"119.41.111";"piutang up sma mekar wangi";"0,00";"1.437.500,00";"0,00";"18.510.000,00";"0,00";"19.947.500,00"
"119.51.111";"piutang ups tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.51.112";"piutang ups tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.51.113";"piutang ups tk tki";"0,00";"-575.000,00";"0,00";"575.000,00";"0,00";"0,00"
"119.51.114";"piutang ups sd ciateul";"0,00";"-2.545.000,00";"0,00";"2.545.000,00";"0,00";"0,00"
"119.51.115";"piutang ups sd koper";"0,00";"-1.050.000,00";"0,00";"1.050.000,00";"0,00";"0,00"
"119.51.116";"piutang ups smp mekar wangi";"0,00";"-2.274.994,00";"0,00";"2.274.994,00";"0,00";"0,00"
"119.51.117";"piutang ups smp koper";"0,00";"-26.439.875,00";"2.160.000,00";"28.599.875,00";"0,00";"0,00"
"119.51.118";"piutang ups sma mekar wangi";"0,00";"-5.080.000,00";"0,00";"5.080.000,00";"0,00";"0,00"
"119.51.119";"piutang ups sd tki";"0,00";"-445.000,00";"0,00";"445.000,00";"0,00";"0,00"
"119.61.111";"anonim dr tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.112";"anonim dr tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.113";"anonim dr tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.114";"anonim dr sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.115";"anonim dr sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.116";"anonim dr smp mw";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.117";"anonim dr smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.118";"anonim dr sma";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"120.11.111";"piutang lain-lain";"0,00";"-12.807.273,00";"22.440.307,00";"35.247.580,00";"0,00";"0,00"
"121.11.111";"tanah kopo sari";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"121.12.111";"tanah ciateul";"0,00";"-822.750.000,00";"0,00";"1.705.500.000,00";"0,00";"882.750.000,00"
"121.13.111";"tanah koper";"0,00";"-1.395.200.000,00";"0,00";"3.847.375.000,00";"0,00";"2.452.175.000,00"
"121.14.111";"tanah tki ii";"0,00";"-4.089.510.000,00";"0,00";"4.089.510.000,00";"0,00";"0,00"
"121.15.111";"tanah mekar wangi";"0,00";"-1.247.475.318,06";"0,00";"8.182.475.318,06";"0,00";"6.935.000.000,00"
"122.12.111";"bangunan ciateul";"0,00";"-3.114.000.000,00";"0,00";"3.114.000.000,00";"0,00";"0,00"
"122.13.111";"bangunan koper";"0,00";"-7.103.859.051,00";"0,00";"7.103.859.051,00";"0,00";"0,00"
"122.14.111";"bangunan tki";"0,00";"-2.777.384.283,00";"0,00";"2.777.384.283,00";"0,00";"0,00"
"122.15.111";"bangunan mekar wangi";"0,00";"-5.902.751.043,00";"0,00";"7.971.063.493,00";"0,00";"2.068.312.450,00"
"122.15.112";"bangunan smp mekar wangi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"123.11.111";"inventaris";"0,00";"223.166.750,00";"0,00";"24.000.000,00";"0,00";"247.166.750,00"
"123.12.111";"inventaris ctl";"0,00";"-159.527.735,00";"0,00";"159.527.735,00";"0,00";"0,00"
"123.13.111";"inventaris koper";"0,00";"-535.964.500,00";"19.072.000,00";"555.036.500,00";"0,00";"0,00"
"123.14.111";"inventaris m.wangi";"0,00";"-458.658.900,00";"61.922.950,00";"520.581.850,00";"0,00";"0,00"
"123.15.111";"inventaris tki ii";"0,00";"-253.337.000,00";"0,00";"253.337.000,00";"0,00";"0,00"
"124.11.111";"kendaraan";"0,00";"-787.778.900,00";"0,00";"1.039.085.100,00";"0,00";"251.306.200,00"
"125.11.111";"asset under contruction ciateu";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"125.12.111";"asset under contruction koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"125.13.111";"asset under contruction tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"125.14.111";"asset under contruction mw";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"126.11.111";"ak. ph. banguna";"0,00";"13.190.398.327,23";"13.537.798.581,88";"347.400.254,65";"0,00";"0,00"
"126.12.111";"ak.ph.kendaraan";"0,00";"963.079.266,67";"1.021.244.266,02";"58.164.999,35";"0,00";"0,00"
"126.13.111";"ak. ph. invent";"0,00";"1.044.478.345,77";"1.129.569.845,89";"85.091.500,12";"0,00";"0,00"
"126.15.111";"penyusutan ganti nama";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"126.21.111";"uang jaminan pln";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"215.11.111";"hutang gaji";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"216.11.111";"ttpn u.pensiun";"0,00";"244.945.541,00";"257.355.952,00";"12.410.411,00";"0,00";"0,00"
"217.11.111";"hutang pph21";"0,00";"32.718.031,00";"117.679.599,00";"84.961.568,00";"0,00";"0,00"
"218.11.111";"hutang Operasional";"0,00";"0,00";"127.176.198,00";"127.176.198,00";"0,00";"0,00"
"219.16.111";"hutang gaji";"0,00";"0,00";"369.217.718,00";"369.217.718,00";"0,00";"0,00"
"219.21.111";"hutang lain2";"0,00";"941.695.676,00";"1.609.956.751,00";"668.261.075,00";"0,00";"0,00"
"219.31.111";"u.ttpn beasiswa";"0,00";"116.903.500,00";"333.768.500,00";"216.865.000,00";"0,00";"0,00"
"231.11.111";"Biaya yang masih harus dibayar";"0,00";"110.754.825,00";"176.025.725,00";"65.270.900,00";"0,00";"0,00"
"311.11.111";"donasi";"0,00";"12.139.342.245,37";"12.139.342.245,37";"0,00";"0,00";"0,00"
"311.13.111";"modal barang";"0,00";"14.010.000,00";"14.010.000,00";"0,00";"0,00";"0,00"
"321.11.111";"laba ditahan";"0,00";"-225.052.719,00";"0,00";"225.052.719,00";"0,00";"0,00"
"331.11.111";"labarugi";"0,00";"2.050.584.232,27";"2.050.584.232,27";"0,00";"0,00";"0,00"
"400.11.111";"uang titipan komputer tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.12.111";"uang titipan komputer tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.13.111";"uang titipan komputer tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.14.111";"uang titipan komputer sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.15.111";"uang titipan komputer sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.15.112";"uang titipan komputer sd tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.16.111";"uang titipan komputer smp mw";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.17.111";"uang titipan komputer smp kop";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.18.111";"uang titipan komputer sma";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.19.111";"uang titipan komputer gabungan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"401.11.111";"SPP bayar dimuka tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"401.12.111";"SPP bayar dimuka tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"401.13.111";"SPP bayar dimuka tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"402.11.111";"SPP bayar dimuka sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"402.12.111";"SPP bayar dimuka sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"402.13.111";"SPP bayar dimuka sd tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"403.11.111";"SPP bayar dimuka smp mekar wangi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"403.12.111";"SPP bayar dimuka smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"404.11.111";"SPP bayar dimuka sma mekar wangi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"406.11.111";"UP bayar dimuka tk ciateul";"0,00";"64.931.125,00";"121.429.250,00";"56.498.125,00";"0,00";"0,00"
"406.12.111";"UP bayar dimuka tk koper";"0,00";"146.898.500,00";"216.837.875,00";"69.939.375,00";"0,00";"0,00"
"406.13.111";"UP bayar dimuka tk tki";"0,00";"60.413.500,00";"101.792.750,00";"41.379.250,00";"0,00";"0,00"
"407.11.111";"UP bayar dimuka sd ctl";"0,00";"84.211.750,00";"210.948.750,00";"126.737.000,00";"0,00";"0,00"
"407.12.111";"UP bayar dimuka sd koper";"0,00";"218.232.500,00";"405.203.750,00";"186.971.250,00";"0,00";"0,00"
