"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"6.000.000,00";"0,00";"4.727.400,00";"4.727.400,00";"6.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"10.000.000,00";"0,00";"6.159.300,00";"6.159.300,00";"10.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"5.000.000,00";"0,00";"4.961.900,00";"4.961.900,00";"5.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"15.000.000,00";"0,00";"10.423.000,00";"10.423.000,00";"15.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"15.000.000,00";"0,00";"12.050.300,00";"12.050.300,00";"15.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"6.400.300,00";"6.400.300,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"15.000.000,00";"0,00";"23.445.900,00";"23.445.900,00";"15.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"15.000.000,00";"0,00";"12.442.400,00";"12.442.400,00";"15.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"50.000.000,00";"0,00";"63.847.200,00";"63.847.200,00";"50.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"8.491.500,00";"0,00";"8.491.500,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"10.000.000,00";"0,00";"5.192.600,00";"5.192.600,00";"10.000.000,00";"0,00"
"112.15.111";"deposito";"2.247.155.273,00";"0,00";"10.459.901,00";"9.344.902,00";"2.248.270.272,00";"0,00"
"112.15.112";"deposito/simp. emas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"160.557.874,79";"0,00";"676.808.516,86";"800.258.969,37";"37.107.422,28";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"22.589.645,40";"0,00";"68.664.448,09";"78.616.179,62";"12.637.913,87";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"52.691.265,24";"0,00";"168.822.569,91";"191.369.866,98";"30.143.968,17";"0,00"
"112.32.113";"bdi tki (virtual account)";"24.417.657,17";"0,00";"57.798.652,53";"70.938.352,51";"11.277.957,19";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"41.570.716,36";"0,00";"119.945.301,99";"151.872.231,40";"9.643.786,95";"0,00"
"112.33.111";"bank btpn";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.34.111";"bank mandiri";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.35.111";"bca umum r/k.7750381132";"166.879.552,85";"0,00";"778.831.600,00";"856.698.975,00";"89.012.177,85";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"10.529.463,00";"0,00";"91.297.750,00";"85.146.000,00";"16.681.213,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"73.700.238,00";"0,00";"235.652.491,35";"270.347.732,67";"39.004.996,68";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"14.908.200,00";"0,00";"67.826.750,00";"75.133.000,00";"7.601.950,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"38.928.135,00";"0,00";"314.051.862,00";"335.338.000,00";"17.641.997,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"93.328.051,00";"0,00";"23.856.000,00";"2.885.000,00";"114.299.051,00";"0,00"
"112.38.111";"bca beasiswa (r/k.2846565407)";"52.681.250,00";"0,00";"27.250.000,00";"53.648.625,00";"26.282.625,00";"0,00"
"112.39.111";"bank btpn (1010308182)";"37.529.606,00";"0,00";"9.412.833,00";"13.586,00";"46.928.853,00";"0,00"
"117.11.111";"uang muka lain2";"4.644.615.500,00";"0,00";"235.725.000,00";"2.400.000,00";"4.877.940.500,00";"0,00"
"117.12.111";"um pembelian aset";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.14.111";"piutg guru sma (krg byr)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.111";"piutg kary & pegawai";"164.450.000,00";"0,00";"4.500.000,00";"25.600.000,00";"143.350.000,00";"0,00"
"117.15.112";"pinj. unit utk rekng";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.113";"pinj.penerima beasiswa";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.11.111";"piutang spp tk ciateul";"2.470.000,00";"0,00";"35.626.000,00";"30.709.500,00";"7.386.500,00";"0,00"
"118.11.112";"piutang spp tk koper";"21.107.500,00";"0,00";"67.150.750,00";"62.337.750,00";"25.920.500,00";"0,00"
"118.11.113";"piutang spp tk tki";"20.137.851,00";"0,00";"28.273.750,00";"24.414.500,00";"23.997.101,00";"0,00"
"118.21.111";"piutang spp sd ciateul";"100.810.450,00";"0,00";"119.805.500,00";"99.925.250,00";"120.690.700,00";"0,00"
"118.21.112";"piutang spp sd koper";"94.852.524,00";"0,00";"217.224.250,00";"176.227.328,00";"135.849.446,00";"0,00"
"118.21.113";"piutang spp sd tki";"17.787.250,00";"0,00";"97.746.250,00";"85.187.750,00";"30.345.750,00";"0,00"
"118.31.111";"piutang spp smp mekar wangi";"128.556.014,50";"0,00";"112.795.250,00";"118.407.862,00";"122.943.402,50";"0,00"
"118.31.112";"piutang spp smp koper";"296.942.937,00";"0,00";"168.683.250,00";"126.114.000,00";"339.512.187,00";"0,00"
"118.41.111";"piutang spp sma mekar wangi";"159.147.350,00";"0,00";"313.499.750,00";"307.014.500,00";"165.632.600,00";"0,00"
"118.51.111";"uang muka i-learning";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.51.112";"tungg du tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.52.111";"arisan skkk";"296.000.000,00";"0,00";"11.000.000,00";"0,00";"307.000.000,00";"0,00"
"118.53.111";"u.muka kontruksi koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.54.111";"u.m kontruksi dlm pembang. tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.55.111";"piu. ykki/gkkkb";"500.000.000,00";"0,00";"0,00";"0,00";"500.000.000,00";"0,00"
"118.61.111";"u.muka open house tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.112";"u.muka open house tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.113";"u.muka open house tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.114";"u.muka open house sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.115";"u.muka open house sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.116";"u.muka open house smp mekar wa";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.117";"u.muka open house smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.118";"u.muka open house sma mekar wa";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.119";"u.muka open house umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.71.111";"asuransi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.81.111";"ganti nama sertifikat & ajb";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.91.111";"anonim";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.11.111";"piutang up tk ciateul";"6.869.750,00";"0,00";"0,00";"4.350.000,00";"2.519.750,00";"0,00"
"119.11.112";"piutang up tk koper";"10.100.000,00";"0,00";"0,00";"0,00";"10.100.000,00";"0,00"
"119.11.113";"piutang up tk tki";"8.999.000,00";"0,00";"1.000,00";"2.000.000,00";"7.000.000,00";"0,00"
"119.21.111";"piutang up sd ciateul";"2.409.500,00";"0,00";"4.750.000,00";"2.757.500,00";"4.402.000,00";"0,00"
"119.21.112";"piutang up sd koper";"2.625.000,00";"0,00";"0,00";"0,00";"2.625.000,00";"0,00"
"119.21.113";"piutang up sd tki";"975.000,00";"0,00";"0,00";"0,00";"975.000,00";"0,00"
"119.31.111";"piutang up smp mekar wangi";"8.160.000,00";"0,00";"0,00";"0,00";"8.160.000,00";"0,00"
"119.31.112";"piutang up smp koper";"50.820.000,00";"0,00";"0,00";"150.000,00";"50.670.000,00";"0,00"
"119.41.111";"piutang up sma mekar wangi";"18.510.000,00";"0,00";"0,00";"1.000.000,00";"17.510.000,00";"0,00"
"119.51.111";"piutang ups tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.51.112";"piutang ups tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.51.113";"piutang ups tk tki";"575.000,00";"0,00";"0,00";"0,00";"575.000,00";"0,00"
"119.51.114";"piutang ups sd ciateul";"2.545.000,00";"0,00";"0,00";"0,00";"2.545.000,00";"0,00"
"119.51.115";"piutang ups sd koper";"65.000,00";"0,00";"0,00";"65.000,00";"0,00";"0,00"
"119.51.116";"piutang ups smp mekar wangi";"2.087.494,00";"0,00";"0,00";"0,00";"2.087.494,00";"0,00"
