"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0";"0";"0";"0";"0";"0"
"111.21.111";"kas kecil tk ciateul";"16000000";"0";"31076400";"31076400";"16000000";"0"
"111.22.111";"kas kecil tk koper";"15000000";"0";"11362900";"11362900";"15000000";"0"
"111.23.111";"kas kecil tk tki";"15000000";"0";"10519700";"10519700";"15000000";"0"
"111.24.111";"kas kecil sd ciateul";"25000000";"0";"15725600";"15725600";"25000000";"0"
"111.25.111";"kas kecil sd koper";"20000000";"0";"0";"0";"20000000";"0"
"111.26.111";"kas kecil smp mekar wangi";"10000000";"0";"16367600";"16367600";"10000000";"0"
"111.27.111";"kas kecil smp koper";"20000000";"0";"17648750";"17648750";"20000000";"0"
"111.28.111";"kas kecil sma mekar wangi";"25000000";"0";"23529300";"23529300";"25000000";"0"
"111.29.111";"kas kecil bps";"0";"0";"0";"0";"0";"0"
"111.30.111";"kas bps-2";"50000000";"0";"76027300";"26027300";"100000000";"0"
"111.31.111";"kas smtr";"0";"0";"0";"0";"0";"0"
"111.32.111";"kas kecil komputer";"0";"0";"0";"0";"0";"0"
"111.33.111";"kas kecil sd tki ii";"15000000";"0";"13802300";"13802300";"15000000";"0"
"112.15.111";"deposito";"3500000000";"0";"14958904";"514958904";"3000000000";"0"
"112.15.112";"deposito/simp. emas";"10625000";"0";"0";"0";"10625000";"0"
"112.22.111";"bdi umum";"0";"0";"0";"0";"0";"0"
"112.23.111";"bdi tk pasundan";"0";"0";"0";"0";"0";"0"
"112.24.111";"bdi a/n. andrew";"0";"0";"0";"0";"0";"0"
"112.25.111";"nisp koper";"0";"0";"0";"0";"0";"0"
"112.26.111";"nisp tki ii";"0";"0";"0";"0";"0";"0"
"112.27.111";"bank niaga";"0";"0";"0";"0";"0";"0"
"112.28.111";"bdi a/n. ykki";"389179761.0899963";"0";"2663167900.01";"1964837801";"1087509860.099997";"0"
"112.29.111";"cimb niaga ykki";"0";"0";"0";"0";"0";"0"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0";"0";"0";"0";"0";"0"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0";"0";"0";"0";"0";"0"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0";"0";"0";"0";"0";"0"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0";"0";"0";"0";"0";"0"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0";"0";"0";"0";"0";"0"
"112.32.111";"bdi virtual Ctl(3562377469)";"40464539.51000023";"0";"245903045.23";"280417551";"5950033.740000248";"0"
"112.32.112";"bdi virtual koper (3562373021)";"141225255.9399948";"0";"637268358.6";"769500798";"8992816.539994836";"0"
"112.32.113";"bdi tki (virtual account)";"39653751.27000046";"0";"157755708.51";"193894579";"3514880.780000448";"0"
"112.32.114";"bdi virtual mw 93562375307)";"55452005.23999786";"0";"598445684.58";"644269640";"9628049.819997907";"0"
"112.33.111";"bank btpn";"247088710";"0";"515476281";"500108475";"262456516";"0"
"112.34.111";"bank mandiri";"8375763.329999924";"0";"65020419.49";"60432305.9";"12963876.91999993";"0"
"112.35.111";"bank bca r/k.77";"48694442.3499999";"0";"18950000";"13755000";"53889442.3499999";"0"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"65668750";"0";"6000000";"30000";"71638750";"0"
"112.36.112";"bca koper no.805556221 (ykki)";"82535000";"0";"40462500";"30000";"122967500";"0"
"112.36.113";"bca tki no.3793009115 (ykki)";"30521250";"0";"0";"30000";"30491250";"0"
"112.36.114";"bca mw no.6765550088 (ykki)";"464930000";"0";"41660000";"30000";"506560000";"0"
"112.37.111";"rek.bca ykki no.6765047017";"0";"0";"6500000";"55000";"6445000";"0"
"117.11.111";"uang muka lain2";"21450000";"0";"50654000";"58754000";"13350000";"0"
"117.14.111";"piutg guru sma (krg byr)";"0";"0";"0";"0";"0";"0"
"117.15.111";"piutg kary & pegawai";"179800000";"0";"69500000";"26550000";"222750000";"0"
"117.15.112";"pinj. unit utk rekng";"0";"0";"0";"0";"0";"0"
"117.15.113";"pinj.penerima beasiswa";"4500000";"0";"0";"0";"4500000";"0"
"118.11.111";"piutang spp tk ciateul";"7121241";"0";"40493750";"41127500";"6487491";"0"
"118.11.112";"piutang spp tk koper";"13232550";"0";"60607500";"69928500";"3911550";"0"
"118.11.113";"piutang spp tk tki";"25456050";"0";"38522375";"48501500";"15476925";"0"
"118.21.111";"piutang spp sd ciateul";"65825200";"0";"106202000";"130388125";"41639075";"0"
"118.21.112";"piutang spp sd koper";"46289257";"0";"189267250";"219794750";"15761757";"0"
"118.21.113";"piutang spp sd tki";"30345000";"0";"67438000";"81912000";"15871000";"0"
"118.31.111";"piutang spp smp mekar wangi";"63076324.5";"0";"98173875";"113608700";"47641499.5";"0"
"118.31.112";"piutang spp smp koper";"296512925";"0";"179945875";"210226625";"266232175";"0"
"118.41.111";"piutang spp sma mekar wangi";"181979250";"0";"294626800";"418162750";"58443300";"0"
"118.51.111";"uang muka i-learning";"0";"0";"0";"0";"0";"0"
"118.51.112";"tungg du tk koper";"0";"0";"0";"0";"0";"0"
"118.52.111";"arisan skkk";"60000000";"0";"10000000";"0";"70000000";"0"
"118.53.111";"u.muka kontruksi koper";"2355973451";"0";"0";"0";"2355973451";"0"
"118.54.111";"u.m kontruksi dlm pembang. tki";"1701453288";"0";"78910300";"0";"1780363588";"0"
"118.55.111";"piutang ykki/gkkkb";"500000000";"0";"0";"0";"500000000";"0"
"118.61.111";"u.muka open house tk ciateul";"-3250000";"0";"0";"0";"-3250000";"0"
"118.61.112";"u.muka open house tk koper";"0";"0";"0";"0";"0";"0"
"118.61.113";"u.muka open house tk tki";"0";"0";"0";"0";"0";"0"
"118.61.114";"u.muka open house sd ciateul";"3250000";"0";"0";"0";"3250000";"0"
"118.61.115";"u.muka open house sd koper";"0";"0";"0";"0";"0";"0"
"118.61.116";"u.muka open house smp mekar wa";"-2500000";"0";"0";"0";"-2500000";"0"
"118.61.117";"u.muka open house smp koper";"0";"0";"0";"0";"0";"0"
"118.61.118";"u.muka open house sma mekar wa";"2500000";"0";"0";"0";"2500000";"0"
"118.61.119";"u.muka open house umum";"0";"0";"0";"0";"0";"0"
"118.71.111";"asuransi";"-1.490116119384766E-8";"0";"0";"0";"-1.490116119384766E-8";"0"
"118.81.111";"ganti nama sertifikat & ajb";"0";"0";"0";"0";"0";"0"
"118.91.111";"anonim";"0";"0";"0";"0";"0";"0"
"119.11.111";"piutang up tk ciateul";"6639000";"0";"0";"0";"6639000";"0"
"119.11.112";"piutang up tk koper";"2000000";"0";"0";"0";"2000000";"0"
"119.11.113";"piutang up tk tki";"19950000";"0";"0";"0";"19950000";"0"
"119.21.111";"piutang up sd ciateul";"2060000";"0";"3500000";"3500000";"2060000";"0"
"119.21.112";"piutang up sd koper";"1325000";"0";"0";"450000";"875000";"0"
"119.21.113";"piutang up sd tki";"7920000";"0";"0";"3670000";"4250000";"0"
"119.31.111";"piutang up smp mekar wangi";"10160000";"0";"0";"0";"10160000";"0"
"119.31.112";"piutang up smp koper";"58689850";"0";"0";"3316000";"55373850";"0"
"119.41.111";"piutang up sma mekar wangi";"25700000";"0";"0";"870000";"24830000";"0"
"119.51.111";"piutang ups tk ciateul";"-14718750";"0";"0";"2175000";"-16893750";"0"
"119.51.112";"piutang ups tk koper";"-8085000";"0";"0";"20215000";"-28300000";"0"
"119.51.113";"piutang ups tk tki";"-20772375";"0";"0";"1650000";"-22422375";"0"
"119.51.114";"piutang ups sd ciateul";"-9057250";"0";"0";"58107750";"-67165000";"0"
"119.51.115";"piutang ups sd koper";"-87721250";"0";"0";"54168750";"-141890000";"0"
"119.51.116";"piutang ups smp mekar wangi";"-1340000";"0";"0";"34906250";"-36246250";"0"
"119.51.117";"piutang ups smp koper";"-7372625";"0";"0";"58610625";"-65983250";"0"
"119.51.118";"piutang ups sma mekar wangi";"-2595000";"0";"0";"26020000";"-28615000";"0"
"119.51.119";"piutang ups sd tki";"-37082000";"0";"0";"22841000";"-59923000";"0"
"119.61.111";"anonim dr tk ciateul";"0";"0";"0";"0";"0";"0"
"119.61.112";"anonim dr tk koper";"0";"0";"0";"0";"0";"0"
"119.61.113";"anonim dr tk tki";"0";"0";"0";"0";"0";"0"
"119.61.114";"anonim dr sd ciateul";"0";"0";"0";"0";"0";"0"
"119.61.115";"anonim dr sd koper";"0";"0";"0";"0";"0";"0"
"119.61.116";"anonim dr smp mw";"0";"0";"0";"0";"0";"0"
"119.61.117";"anonim dr smp koper";"0";"0";"0";"0";"0";"0"
"119.61.118";"anonim dr sma";"0";"0";"0";"0";"0";"0"
"121.11.111";"tanah kopo sari";"494000000";"0";"0";"0";"494000000";"0"
"121.12.111";"tanah ciateul";"1705500000";"0";"0";"0";"1705500000";"0"
