"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"12.082.100,00";"12.082.100,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"38.365.100,00";"38.365.100,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"9.748.200,00";"9.748.200,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"19.223.200,00";"19.223.200,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"46.951.000,00";"46.951.000,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"29.665.400,00";"29.665.400,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"34.012.495,00";"34.012.495,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"42.610.700,00";"42.610.700,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"100.000.000,00";"0,00";"148.882.900,00";"148.882.900,00";"100.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"29.823.800,00";"29.823.800,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"3.000.000.000,00";"0,00";"34.827.397,00";"1.034.827.397,00";"2.000.000.000,00";"0,00"
"112.15.112";"deposito/simp. emas";"10.625.000,00";"0,00";"0,00";"10.625.000,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"759.107.153,11";"0,00";"5.575.065.799,64";"5.489.732.392,96";"844.440.559,79";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"46.366.765,18";"0,00";"491.484.416,49";"476.856.546,70";"60.994.634,97";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"126.333.982,44";"0,00";"1.104.865.639,01";"1.125.050.318,63";"106.149.302,82";"0,00"
"112.32.113";"bdi tki (virtual account)";"46.582.678,15";"0,00";"359.740.439,42";"368.317.305,99";"38.005.811,58";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"166.120.499,47";"0,00";"853.771.862,93";"917.000.984,02";"102.891.378,38";"0,00"
"112.33.111";"bank btpn";"412.653.020,00";"0,00";"1.037.369.854,00";"1.000.391.511,00";"449.631.363,00";"0,00"
"112.34.111";"bank mandiri";"14.720.258,74";"0,00";"235.050.222,31";"230.223.407,46";"19.547.073,59";"0,00"
"112.35.111";"bca umum r/k.7750381132";"1.175.980.497,35";"0,00";"1.906.275.000,00";"2.776.364.605,50";"305.890.891,85";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"67.496.213,00";"0,00";"190.032.250,00";"220.090.000,00";"37.438.463,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"230.364.362,00";"0,00";"570.258.035,00";"735.590.000,00";"65.032.397,00";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"53.620.000,00";"0,00";"131.380.750,00";"166.090.000,00";"18.910.750,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"274.148.508,00";"0,00";"628.020.500,00";"755.090.000,00";"147.079.008,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"69.020.051,00";"0,00";"70.800.000,00";"105.690.000,00";"34.130.051,00";"0,00"
"117.11.111";"uang muka lain2";"6.525.000,00";"0,00";"2.942.241.000,00";"55.341.000,00";"2.893.425.000,00";"0,00"
"117.14.111";"piutg guru sma (krg byr)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.111";"piutg kary & pegawai";"128.130.000,00";"0,00";"45.068.750,00";"65.045.000,00";"108.153.750,00";"0,00"
"117.15.112";"pinj. unit utk rekng";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.113";"pinj.penerima beasiswa";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.11.111";"piutang spp tk ciateul";"6.301.491,00";"0,00";"121.968.750,00";"128.687.750,00";"-417.509,00";"0,00"
"118.11.112";"piutang spp tk koper";"21.369.935,00";"0,00";"182.336.250,00";"195.686.185,00";"8.020.000,00";"0,00"
"118.11.113";"piutang spp tk tki";"17.529.951,00";"0,00";"104.808.900,00";"105.125.750,00";"17.213.101,00";"0,00"
"118.21.111";"piutang spp sd ciateul";"71.268.950,00";"0,00";"341.601.500,00";"357.644.750,00";"55.225.700,00";"0,00"
"118.21.112";"piutang spp sd koper";"77.534.510,00";"0,00";"571.475.750,00";"589.581.350,00";"59.428.910,00";"0,00"
"118.21.113";"piutang spp sd tki";"22.660.000,00";"0,00";"254.414.750,00";"262.377.300,00";"14.697.450,00";"0,00"
"118.31.111";"piutang spp smp mekar wangi";"65.058.074,50";"0,00";"322.242.500,00";"304.269.000,00";"83.031.574,50";"0,00"
"118.31.112";"piutang spp smp koper";"269.587.050,00";"0,00";"477.073.125,00";"442.745.713,00";"303.914.462,00";"0,00"
"118.41.111";"piutang spp sma mekar wangi";"116.572.250,00";"0,00";"902.477.500,00";"859.240.250,00";"159.809.500,00";"0,00"
"118.51.111";"uang muka i-learning";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.51.112";"tungg du tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.52.111";"arisan skkk";"175.000.000,00";"0,00";"33.000.000,00";"0,00";"208.000.000,00";"0,00"
"118.53.111";"u.muka kontruksi koper";"2.348.859.051,00";"0,00";"0,00";"2.348.859.051,00";"0,00";"0,00"
"118.54.111";"u.m kontruksi dlm pembang. tki";"2.177.384.283,00";"0,00";"0,00";"2.177.384.283,00";"0,00";"0,00"
"118.55.111";"piu. ykki/gkkkb";"500.000.000,00";"0,00";"0,00";"0,00";"500.000.000,00";"0,00"
"118.61.111";"u.muka open house tk ciateul";"-3.250.000,00";"0,00";"0,00";"0,00";"-3.250.000,00";"0,00"
"118.61.112";"u.muka open house tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.113";"u.muka open house tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.114";"u.muka open house sd ciateul";"3.250.000,00";"0,00";"0,00";"0,00";"3.250.000,00";"0,00"
"118.61.115";"u.muka open house sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.116";"u.muka open house smp mekar wa";"-2.500.000,00";"0,00";"0,00";"0,00";"-2.500.000,00";"0,00"
"118.61.117";"u.muka open house smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.118";"u.muka open house sma mekar wa";"2.500.000,00";"0,00";"0,00";"0,00";"2.500.000,00";"0,00"
"118.61.119";"u.muka open house umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.71.111";"asuransi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.81.111";"ganti nama sertifikat & ajb";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.91.111";"anonim";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.11.111";"piutang up tk ciateul";"14.656.250,00";"0,00";"4.750.000,00";"12.431.500,00";"6.974.750,00";"0,00"
"119.11.112";"piutang up tk koper";"20.940.000,00";"0,00";"0,00";"4.130.000,00";"16.810.000,00";"0,00"
"119.11.113";"piutang up tk tki";"4.025.000,00";"0,00";"0,00";"525.000,00";"3.500.000,00";"0,00"
"119.21.111";"piutang up sd ciateul";"3.420.000,00";"0,00";"4.250.000,00";"6.210.000,00";"1.460.000,00";"0,00"
"119.21.112";"piutang up sd koper";"4.025.000,00";"0,00";"0,00";"3.475.000,00";"550.000,00";"0,00"
"119.21.113";"piutang up sd tki";"3.050.000,00";"0,00";"0,00";"0,00";"3.050.000,00";"0,00"
"119.31.111";"piutang up smp mekar wangi";"6.110.000,00";"0,00";"4.150.000,00";"100.000,00";"10.160.000,00";"0,00"
"119.31.112";"piutang up smp koper";"55.219.850,00";"0,00";"0,00";"1.550.000,00";"53.669.850,00";"0,00"
"119.41.111";"piutang up sma mekar wangi";"30.060.000,00";"0,00";"0,00";"1.495.000,00";"28.565.000,00";"0,00"
"119.51.111";"piutang ups tk ciateul";"0,00";"0,00";"0,00";"19.525.000,00";"-19.525.000,00";"0,00"
"119.51.112";"piutang ups tk koper";"0,00";"0,00";"0,00";"35.341.250,00";"-35.341.250,00";"0,00"
"119.51.113";"piutang ups tk tki";"550.000,00";"0,00";"0,00";"13.706.250,00";"-13.156.250,00";"0,00"
"119.51.114";"piutang ups sd ciateul";"2.045.000,00";"0,00";"-2.300.000,00";"85.089.000,00";"-85.344.000,00";"0,00"
