"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"0,00";"0,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"10.497.100,00";"10.497.100,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"0,00";"0,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"0,00";"0,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"0,00";"0,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"9.829.500,00";"9.829.500,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"0,00";"0,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"12.257.800,00";"12.257.800,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"100.000.000,00";"0,00";"0,00";"0,00";"100.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"0,00";"0,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"3.000.000.000,00";"0,00";"16.306.850,00";"16.306.850,00";"3.000.000.000,00";"0,00"
"112.15.112";"deposito/simp. emas";"10.625.000,00";"0,00";"0,00";"0,00";"10.625.000,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"805.169.196,20";"0,00";"926.408.211,09";"803.221.441,82";"928.355.965,47";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"13.075.529,20";"0,00";"142.417.875,03";"141.073.663,00";"14.419.741,23";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"30.838.781,53";"0,00";"353.019.059,23";"299.373.440,00";"84.484.400,76";"0,00"
"112.32.113";"bdi tki (virtual account)";"8.252.897,50";"0,00";"101.279.101,68";"98.222.870,00";"11.309.129,18";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"14.001.591,47";"0,00";"343.185.057,66";"333.114.370,00";"24.072.279,13";"0,00"
"112.33.111";"bank btpn";"380.649.561,00";"0,00";"17.126.992,00";"164.028,00";"397.612.525,00";"0,00"
"112.34.111";"bank mandiri";"12.361.760,89";"0,00";"75.012.324,09";"76.162.733,82";"11.211.351,16";"0,00"
"112.35.111";"bca umum r/k.7750381132";"1.024.011.009,35";"0,00";"1.136.100.000,00";"450.326.502,00";"1.709.784.507,35";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"117.162.750,00";"0,00";"37.871.713,00";"130.030.000,00";"25.004.463,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"405.924.650,00";"0,00";"153.288.312,00";"450.030.000,00";"109.182.962,00";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"96.480.250,00";"0,00";"24.272.500,00";"100.030.000,00";"20.722.750,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"430.876.008,00";"0,00";"169.977.500,00";"450.030.000,00";"150.823.508,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"18.530.051,00";"0,00";"19.975.000,00";"12.305.000,00";"26.200.051,00";"0,00"
"117.11.111";"uang muka lain2";"6.525.000,00";"0,00";"0,00";"0,00";"6.525.000,00";"0,00"
"117.14.111";"piutg guru sma (krg byr)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.111";"piutg kary & pegawai";"131.310.000,00";"0,00";"2.000.000,00";"26.965.000,00";"106.345.000,00";"0,00"
"117.15.112";"pinj. unit utk rekng";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.113";"pinj.penerima beasiswa";"4.500.000,00";"0,00";"0,00";"0,00";"4.500.000,00";"0,00"
"118.11.111";"piutang spp tk ciateul";"3.176.241,00";"0,00";"38.856.250,00";"36.174.000,00";"5.858.491,00";"0,00"
"118.11.112";"piutang spp tk koper";"13.863.250,00";"0,00";"61.353.750,00";"60.712.315,00";"14.504.685,00";"0,00"
"118.11.113";"piutang spp tk tki";"10.870.851,00";"0,00";"35.211.300,00";"26.177.500,00";"19.904.651,00";"0,00"
"118.21.111";"piutang spp sd ciateul";"77.261.450,00";"0,00";"113.025.500,00";"126.549.500,00";"63.737.450,00";"0,00"
"118.21.112";"piutang spp sd koper";"51.877.407,00";"0,00";"190.578.750,00";"192.970.497,00";"49.485.660,00";"0,00"
"118.21.113";"piutang spp sd tki";"23.496.500,00";"0,00";"84.582.250,00";"82.186.250,00";"25.892.500,00";"0,00"
"118.31.111";"piutang spp smp mekar wangi";"72.516.324,50";"0,00";"107.247.500,00";"112.027.125,00";"67.736.699,50";"0,00"
"118.31.112";"piutang spp smp koper";"304.790.675,00";"0,00";"158.012.125,00";"188.190.000,00";"274.612.800,00";"0,00"
"118.41.111";"piutang spp sma mekar wangi";"206.051.750,00";"0,00";"317.260.000,00";"393.499.450,00";"129.812.300,00";"0,00"
"118.51.111";"uang muka i-learning";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.51.112";"tungg du tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.52.111";"arisan skkk";"153.000.000,00";"0,00";"11.000.000,00";"0,00";"164.000.000,00";"0,00"
"118.53.111";"u.muka kontruksi koper";"2.348.859.051,00";"0,00";"0,00";"0,00";"2.348.859.051,00";"0,00"
"118.54.111";"u.m kontruksi dlm pembang. tki";"2.153.342.283,00";"0,00";"45.542.000,00";"0,00";"2.198.884.283,00";"0,00"
"118.55.111";"piu. ykki/gkkkb";"500.000.000,00";"0,00";"0,00";"0,00";"500.000.000,00";"0,00"
"118.61.111";"u.muka open house tk ciateul";"-3.250.000,00";"0,00";"0,00";"0,00";"-3.250.000,00";"0,00"
"118.61.112";"u.muka open house tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.113";"u.muka open house tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.114";"u.muka open house sd ciateul";"3.250.000,00";"0,00";"0,00";"0,00";"3.250.000,00";"0,00"
"118.61.115";"u.muka open house sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.116";"u.muka open house smp mekar wa";"-2.500.000,00";"0,00";"0,00";"0,00";"-2.500.000,00";"0,00"
"118.61.117";"u.muka open house smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.61.118";"u.muka open house sma mekar wa";"2.500.000,00";"0,00";"0,00";"0,00";"2.500.000,00";"0,00"
"118.61.119";"u.muka open house umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.71.111";"asuransi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.81.111";"ganti nama sertifikat & ajb";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"118.91.111";"anonim";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.11.111";"piutang up tk ciateul";"11.993.250,00";"0,00";"0,00";"277.750,00";"11.715.500,00";"0,00"
"119.11.112";"piutang up tk koper";"22.927.500,00";"0,00";"0,00";"0,00";"22.927.500,00";"0,00"
"119.11.113";"piutang up tk tki";"9.025.000,00";"0,00";"0,00";"0,00";"9.025.000,00";"0,00"
"119.21.111";"piutang up sd ciateul";"3.420.000,00";"0,00";"0,00";"0,00";"3.420.000,00";"0,00"
"119.21.112";"piutang up sd koper";"18.065.000,00";"0,00";"0,00";"13.275.000,00";"4.790.000,00";"0,00"
"119.21.113";"piutang up sd tki";"3.560.000,00";"0,00";"0,00";"510.000,00";"3.050.000,00";"0,00"
"119.31.111";"piutang up smp mekar wangi";"6.110.000,00";"0,00";"3.000.000,00";"3.000.000,00";"6.110.000,00";"0,00"
"119.31.112";"piutang up smp koper";"55.219.850,00";"0,00";"0,00";"0,00";"55.219.850,00";"0,00"
"119.41.111";"piutang up sma mekar wangi";"33.600.000,00";"0,00";"0,00";"3.540.000,00";"30.060.000,00";"0,00"
"119.51.111";"piutang ups tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.51.112";"piutang ups tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.51.113";"piutang ups tk tki";"1.100.000,00";"0,00";"0,00";"0,00";"1.100.000,00";"0,00"
"119.51.114";"piutang ups sd ciateul";"2.480.000,00";"0,00";"0,00";"435.000,00";"2.045.000,00";"0,00"
"119.51.115";"piutang ups sd koper";"-1.100.000,00";"0,00";"0,00";"275.000,00";"-1.375.000,00";"0,00"
"119.51.116";"piutang ups smp mekar wangi";"2.492.494,00";"0,00";"0,00";"0,00";"2.492.494,00";"0,00"
"119.51.117";"piutang ups smp koper";"25.797.375,00";"0,00";"0,00";"0,00";"25.797.375,00";"0,00"
"119.51.118";"piutang ups sma mekar wangi";"2.265.000,00";"0,00";"0,00";"0,00";"2.265.000,00";"0,00"
"119.51.119";"piutang ups sd tki";"1.500.000,00";"0,00";"0,00";"420.000,00";"1.080.000,00";"0,00"
"119.61.111";"anonim dr tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.112";"anonim dr tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.113";"anonim dr tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.114";"anonim dr sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.115";"anonim dr sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.116";"anonim dr smp mw";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.117";"anonim dr smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"119.61.118";"anonim dr sma";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"121.11.111";"tanah kopo sari";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"121.12.111";"tanah ciateul";"1.705.500.000,00";"0,00";"0,00";"0,00";"1.705.500.000,00";"0,00"
"121.13.111";"tanah koper";"3.847.375.000,00";"0,00";"0,00";"0,00";"3.847.375.000,00";"0,00"
"121.14.111";"tanah tki ii";"4.074.400.000,00";"0,00";"0,00";"0,00";"4.074.400.000,00";"0,00"
"121.15.111";"tanah mekar wangi";"8.182.475.318,06";"0,00";"0,00";"0,00";"8.182.475.318,06";"0,00"
"122.12.111";"bangunan ciateul";"3.114.000.000,00";"0,00";"0,00";"0,00";"3.114.000.000,00";"0,00"
"122.13.111";"bangunan koper";"4.850.000.000,00";"0,00";"0,00";"0,00";"4.850.000.000,00";"0,00"
"122.14.111";"bangunan tki";"600.000.000,00";"0,00";"0,00";"0,00";"600.000.000,00";"0,00"
"122.15.111";"bangunan mekar wangi";"7.971.063.493,00";"0,00";"0,00";"0,00";"7.971.063.493,00";"0,00"
"122.15.112";"bangunan smp mekar wangi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"123.11.111";"inventaris";"24.000.000,00";"0,00";"0,00";"0,00";"24.000.000,00";"0,00"
"123.12.111";"inventaris ctl";"153.352.735,00";"0,00";"0,00";"0,00";"153.352.735,00";"0,00"
"123.13.111";"inventaris koper";"385.206.500,00";"0,00";"1.425.000,00";"0,00";"386.631.500,00";"0,00"
"123.14.111";"inventaris m.wangi";"404.836.900,00";"0,00";"11.300.000,00";"0,00";"416.136.900,00";"0,00"
"123.15.111";"inventaris tki ii";"223.207.500,00";"0,00";"6.700.000,00";"0,00";"229.907.500,00";"0,00"
"124.11.111";"kendaraan";"1.039.085.100,00";"0,00";"0,00";"0,00";"1.039.085.100,00";"0,00"
"126.11.111";"ak. ph. banguna";"-12.645.815.429,49";"0,00";"0,00";"39.436.528,64";"-12.685.251.958,13";"0,00"
"126.12.111";"ak.ph.kendaraan";"-854.096.656,67";"0,00";"0,00";"9.907.510,00";"-864.004.166,67";"0,00"
"126.13.111";"ak. ph. invent";"-817.292.121,14";"0,00";"0,00";"24.244.733,92";"-841.536.855,06";"0,00"
"126.15.111";"penyusutan ganti nama";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"126.21.111";"uang jaminan pln";"7.550.400,00";"0,00";"0,00";"0,00";"7.550.400,00";"0,00"
"215.11.111";"anonim";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"216.11.111";"ttpn u.pensiun";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"217.11.111";"hutang pph21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"219.16.111";"hutang gaji";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"219.21.111";"hutang lain2";"0,00";"758.926.195,00";"42.555.445,00";"56.178.000,00";"0,00";"772.548.750,00"
"311.11.111";"donasi";"0,00";"12.139.342.245,37";"0,00";"0,00";"0,00";"12.139.342.245,37"
"311.13.111";"modal barang";"0,00";"14.010.000,00";"0,00";"0,00";"0,00";"14.010.000,00"
"321.11.111";"laba ditahan";"0,00";"-225.052.719,00";"0,00";"0,00";"0,00";"-225.052.719,00"
"400.11.111";"uang titipan komputer tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.12.111";"uang titipan komputer tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.13.111";"uang titipan komputer tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.14.111";"uang titipan komputer sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.15.111";"uang titipan komputer sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.15.112";"uang titipan komputer sd tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.16.111";"uang titipan komputer smp mw";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.17.111";"uang titipan komputer smp kop";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.18.111";"uang titipan komputer sma";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"400.19.111";"uang titipan komputer gabungan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"401.11.111";"SPP bayar dimuka tk ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"401.12.111";"SPP bayar dimuka tk koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"401.13.111";"SPP bayar dimuka tk tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"402.11.111";"SPP bayar dimuka sd ciateul";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"402.12.111";"SPP bayar dimuka sd koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"402.13.111";"SPP bayar dimuka sd tki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"403.11.111";"SPP bayar dimuka smp mekar wangi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"403.12.111";"SPP bayar dimuka smp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"404.11.111";"SPP bayar dimuka sma mekar wangi";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"406.11.111";"UP bayar dimuka tk ciateul";"0,00";"87.750.000,00";"0,00";"1.000.000,00";"0,00";"88.750.000,00"
"406.12.111";"UP bayar dimuka tk koper";"0,00";"166.115.000,00";"0,00";"0,00";"0,00";"166.115.000,00"
"406.13.111";"UP bayar dimuka tk tki";"0,00";"76.350.000,00";"0,00";"0,00";"0,00";"76.350.000,00"
"407.11.111";"UP bayar dimuka sd ctl";"0,00";"154.692.500,00";"0,00";"2.000.000,00";"0,00";"156.692.500,00"
"407.12.111";"UP bayar dimuka sd koper";"0,00";"301.390.000,00";"9.250.000,00";"21.600.000,00";"0,00";"313.740.000,00"
"407.13.111";"UP bayar dimuka sd tki";"0,00";"204.445.000,00";"0,00";"0,00";"0,00";"204.445.000,00"
