"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"80.422.050,00";"80.422.050,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"134.005.700,00";"134.005.700,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"61.886.200,00";"61.886.200,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"117.094.950,00";"117.094.950,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"142.992.800,00";"142.992.800,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"129.158.400,00";"129.158.400,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"168.632.795,00";"168.632.795,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"204.101.910,00";"204.101.910,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"100.000.000,00";"0,00";"581.580.000,00";"581.580.000,00";"100.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"98.448.300,00";"98.448.300,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"3.000.000.000,00";"0,00";"2.361.828.011,00";"3.118.958.904,00";"2.242.869.107,00";"0,00"
"112.15.112";"deposito/simp. emas";"10.625.000,00";"0,00";"0,00";"10.625.000,00";"0,00";"0,00"
