"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"13.586.100,00";"13.586.100,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"13.928.900,00";"13.928.900,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"0,00";"0,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"16.702.200,00";"16.702.200,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"19.772.500,00";"19.772.500,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"9.284.000,00";"9.284.000,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"16.584.030,00";"16.584.030,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"33.537.100,00";"33.537.100,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"50.000.000,00";"0,00";"0,00";"0,00";"50.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"0,00";"0,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"3.500.000.000,00";"0,00";"15.457.533,00";"15.457.533,00";"3.500.000.000,00";"0,00"
"112.15.112";"deposito/simp. emas";"10.625.000,00";"0,00";"0,00";"0,00";"10.625.000,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"185.494.999,94";"0,00";"1.156.585.279,17";"1.218.108.256,83";"123.972.022,28";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"34.802.668,25";"0,00";"145.202.088,54";"170.802.373,00";"9.202.383,79";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"99.119.965,29";"0,00";"412.244.522,18";"475.437.028,00";"35.927.459,47";"0,00"
"112.32.113";"bdi tki (virtual account)";"22.468.261,80";"0,00";"130.612.959,26";"138.510.672,00";"14.570.549,06";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"61.706.732,87";"0,00";"327.315.705,36";"360.315.714,00";"28.706.724,23";"0,00"
"112.33.111";"bank btpn";"185.341.241,00";"0,00";"15.861.048,00";"80.703,00";"201.121.586,00";"0,00"
"112.34.111";"bank mandiri";"63.735.264,35";"0,00";"23.659,45";"51.316.560,89";"12.442.362,91";"0,00"
"112.35.111";"bca umum r/k.7750381132";"781.584.442,35";"0,00";"29.737.500,00";"1.235.000,00";"810.086.942,35";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"43.927.500,00";"0,00";"6.786.250,00";"30.000,00";"50.683.750,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"33.455.000,00";"0,00";"18.212.500,00";"30.000,00";"51.637.500,00";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"10.885.000,00";"0,00";"0,00";"30.000,00";"10.855.000,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"207.592.500,00";"0,00";"79.297.500,00";"30.000,00";"286.860.000,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.11.111";"uang muka lain2";"391.365.000,00";"0,00";"84.415.000,00";"11.595.000,00";"464.185.000,00";"0,00"
"117.14.111";"piutg guru sma (krg byr)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.111";"piutg kary & pegawai";"213.650.000,00";"0,00";"0,00";"22.100.000,00";"191.550.000,00";"0,00"
"117.15.112";"pinj. unit utk rekng";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"117.15.113";"pinj.penerima beasiswa";"4.500.000,00";"0,00";"0,00";"0,00";"4.500.000,00";"0,00"
"118.11.111";"piutang spp tk ciateul";"2.263.742,00";"0,00";"40.993.750,00";"39.130.000,00";"4.127.492,00";"0,00"
"118.11.112";"piutang spp tk koper";"5.460.500,00";"0,00";"60.607.500,00";"60.261.500,00";"5.806.500,00";"0,00"
"118.11.113";"piutang spp tk tki";"17.223.050,00";"0,00";"38.522.375,00";"36.816.750,00";"18.928.675,00";"0,00"
"118.21.111";"piutang spp sd ciateul";"53.151.236,00";"0,00";"105.633.214,00";"99.085.375,00";"59.699.075,00";"0,00"
"118.21.112";"piutang spp sd koper";"18.613.257,00";"0,00";"190.042.250,00";"174.096.750,00";"34.558.757,00";"0,00"
