"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"61.388.950,00";"61.388.950,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"88.717.000,00";"88.717.000,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"47.129.600,00";"47.129.600,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"66.648.600,00";"66.648.600,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"96.418.200,00";"96.418.200,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"89.811.200,00";"89.811.200,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"119.412.295,00";"119.412.295,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"129.906.110,00";"129.906.110,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"100.000.000,00";"0,00";"370.088.200,00";"370.088.200,00";"100.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"70.066.650,00";"70.066.650,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"3.000.000.000,00";"0,00";"330.201.770,00";"1.090.728.768,00";"2.239.473.002,00";"0,00"
"112.15.112";"deposito/simp. emas";"10.625.000,00";"0,00";"0,00";"10.625.000,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"604.517.799,45";"0,00";"9.587.191.081,63";"9.724.769.915,76";"466.938.965,32";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"50.082.640,60";"0,00";"942.757.569,16";"979.515.077,52";"13.325.132,24";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"200.600.438,13";"0,00";"2.288.610.244,26";"2.409.451.515,02";"79.759.167,37";"0,00"
"112.32.113";"bdi tki (virtual account)";"54.091.702,64";"0,00";"750.629.011,04";"786.866.488,81";"17.854.224,87";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"156.197.479,16";"0,00";"1.958.070.252,73";"2.054.426.470,32";"59.841.261,57";"0,00"
