"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"6.682.700,00";"6.682.700,00";"16.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"23.725.500,00";"23.725.500,00";"15.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"8.363.200,00";"8.363.200,00";"15.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"18.596.650,00";"18.596.650,00";"25.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"17.280.000,00";"17.280.000,00";"20.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"12.061.600,00";"12.061.600,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"14.048.550,00";"14.048.550,00";"20.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"41.565.900,00";"41.565.900,00";"25.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"100.000.000,00";"0,00";"80.934.700,00";"80.934.700,00";"100.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"10.668.850,00";"10.668.850,00";"15.000.000,00";"0,00"
"112.15.111";"deposito";"2.239.473.002,00";"0,00";"9.512.328,00";"9.512.328,00";"2.239.473.002,00";"0,00"
"112.15.112";"deposito/simp. emas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"466.938.965,32";"0,00";"798.003.801,66";"1.205.069.386,33";"59.873.380,65";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"13.325.132,24";"0,00";"160.315.240,85";"102.017.148,17";"71.623.224,92";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"79.759.167,37";"0,00";"288.490.681,73";"243.971.332,35";"124.278.516,75";"0,00"
"112.32.113";"bdi tki (virtual account)";"17.854.224,87";"0,00";"108.787.437,78";"92.424.517,56";"34.217.145,09";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"59.841.261,57";"0,00";"319.157.361,08";"235.564.544,22";"143.434.078,43";"0,00"
"112.33.111";"bank btpn";"459.583.025,00";"0,00";"10.497.276,00";"206.990,00";"469.873.311,00";"0,00"
"112.34.111";"bank mandiri";"21.573.809,32";"0,00";"70.017.990,69";"73.771.510,14";"17.820.289,87";"0,00"
"112.35.111";"bca umum r/k.7750381132";"455.985.698,85";"0,00";"880.140.000,00";"679.616.998,00";"656.508.700,85";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"14.365.649,00";"0,00";"152.632.500,00";"110.203.000,00";"56.795.149,00";"0,00"
