"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"16.000.000,00";"0,00";"80.422.050,00";"90.422.050,00";"6.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"15.000.000,00";"0,00";"149.191.900,00";"154.191.900,00";"10.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"15.000.000,00";"0,00";"67.986.900,00";"77.986.900,00";"5.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"25.000.000,00";"0,00";"136.707.650,00";"146.707.650,00";"15.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"20.000.000,00";"0,00";"155.182.300,00";"160.182.300,00";"15.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"149.597.700,00";"149.597.700,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"20.000.000,00";"0,00";"196.529.265,00";"201.529.265,00";"15.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"25.000.000,00";"0,00";"233.481.410,00";"243.481.410,00";"15.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"100.000.000,00";"0,00";"621.859.100,00";"671.859.100,00";"50.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"981.440.750,00";"981.440.750,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"15.000.000,00";"0,00";"105.562.300,00";"110.562.300,00";"10.000.000,00";"0,00"
"112.15.111";"deposito";"3.000.000.000,00";"0,00";"2.884.332.349,00";"3.139.386.808,00";"2.744.945.541,00";"0,00"
"112.15.112";"deposito/simp. emas";"10.625.000,00";"0,00";"0,00";"10.625.000,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"604.517.799,45";"0,00";"14.382.863.922,77";"14.957.937.925,73";"29.443.796,49";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"50.082.640,60";"0,00";"1.547.459.209,73";"1.541.672.016,63";"55.869.833,70";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"200.600.438,13";"0,00";"3.564.256.024,86";"3.592.090.260,14";"172.766.202,85";"0,00"
"112.32.113";"bdi tki (virtual account)";"54.091.702,64";"0,00";"1.212.991.872,21";"1.232.889.552,05";"34.194.022,80";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"156.197.479,16";"0,00";"3.027.255.597,88";"3.100.907.932,35";"82.545.144,69";"0,00"
"112.33.111";"bank btpn";"364.054.792,00";"0,00";"3.152.756.698,00";"3.502.648.997,00";"14.162.493,00";"0,00"
"112.34.111";"bank mandiri";"10.371.206,03";"0,00";"610.163.022,56";"620.534.228,59";"0,00";"0,00"
"112.35.111";"bca umum r/k.7750381132";"1.396.040.115,35";"0,00";"9.234.165.300,00";"10.534.651.193,50";"95.554.221,85";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"70.247.250,00";"0,00";"930.421.588,00";"985.137.000,00";"15.531.838,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"226.101.250,00";"0,00";"3.208.452.613,00";"3.358.267.000,00";"76.286.863,00";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"58.983.000,00";"0,00";"819.950.450,00";"867.169.000,00";"11.764.450,00";"0,00"
"112.36.114";"bca mw no.6765550088 (ykki)";"281.311.008,00";"0,00";"3.786.185.377,00";"3.892.500.000,00";"174.996.385,00";"0,00"
"112.37.111";"rek.bca ykki no.6765047017";"107.885.051,00";"0,00";"844.454.000,00";"807.228.000,00";"145.111.051,00";"0,00"
"112.38.111";"bca beasiswa (r/k.2846565407)";"0,00";"0,00";"280.183.000,00";"163.279.500,00";"116.903.500,00";"0,00"
