"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"6.000.000,00";"0,00";"10.226.600,00";"10.226.600,00";"6.000.000,00";"0,00"
"111.22.111";"kas kecil tk koper";"10.000.000,00";"0,00";"9.979.100,00";"9.979.100,00";"10.000.000,00";"0,00"
"111.23.111";"kas kecil tk tki";"5.000.000,00";"0,00";"5.163.350,00";"5.163.350,00";"5.000.000,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"15.000.000,00";"0,00";"22.193.100,00";"22.193.100,00";"15.000.000,00";"0,00"
"111.25.111";"kas kecil sd koper";"15.000.000,00";"0,00";"18.994.700,00";"18.994.700,00";"15.000.000,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"10.000.000,00";"0,00";"8.090.600,00";"8.090.600,00";"10.000.000,00";"0,00"
"111.27.111";"kas kecil smp koper";"15.000.000,00";"0,00";"20.421.625,00";"20.421.625,00";"15.000.000,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"15.000.000,00";"0,00";"19.874.600,00";"19.874.600,00";"15.000.000,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"50.000.000,00";"0,00";"36.221.800,00";"36.221.800,00";"50.000.000,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"10.000.000,00";"0,00";"12.798.600,00";"12.798.600,00";"10.000.000,00";"0,00"
"112.15.111";"deposito";"2.744.945.541,00";"0,00";"260.779.488,00";"759.780.915,00";"2.245.944.114,00";"0,00"
"112.15.112";"deposito/simp. emas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"29.443.796,49";"0,00";"1.656.826.257,50";"1.205.859.453,90";"480.410.600,09";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.30.111";"bank nisp koper (a/n cy-tmt)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.111";"bnp a/n ykki (tk ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.112";"bnp a/n ykki (sd ciateul)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.113";"bnp a/n ykki (smp mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.31.114";"bnp a/n ykki (sma mekar wangi)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.32.111";"bdi virtual Ctl(3562377469)";"55.869.833,70";"0,00";"86.232.994,75";"129.752.136,95";"12.350.691,50";"0,00"
"112.32.112";"bdi virtual koper (3562373021)";"172.766.202,85";"0,00";"248.630.125,41";"389.078.701,08";"32.317.627,18";"0,00"
"112.32.113";"bdi tki (virtual account)";"34.194.022,80";"0,00";"71.890.783,56";"98.486.513,71";"7.598.292,65";"0,00"
"112.32.114";"bdi virtual mw 93562375307)";"82.545.144,69";"0,00";"123.750.541,14";"199.090.619,23";"7.205.066,60";"0,00"
"112.33.111";"bank btpn";"14.162.493,00";"0,00";"246.181.712,00";"260.344.205,00";"0,00";"0,00"
"112.34.111";"bank mandiri";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.35.111";"bca umum r/k.7750381132";"95.554.221,85";"0,00";"1.255.841.000,00";"762.222.495,00";"589.172.726,85";"0,00"
"112.36.111";"bca ctl no.2799595855 a.n.ykki";"15.531.838,00";"0,00";"147.749.125,00";"139.179.000,00";"24.101.963,00";"0,00"
"112.36.112";"bca koper no.805556221 (ykki)";"76.286.863,00";"0,00";"412.939.250,00";"435.533.000,00";"53.693.113,00";"0,00"
"112.36.113";"bca tki no.3793009115 (ykki)";"11.764.450,00";"0,00";"109.589.500,00";"108.188.000,00";"13.165.950,00";"0,00"
