"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"1";"2019-02-01";"112.35.111";"bank bca r/k.77";"001/00080/BCAUM-02/19";"Sewa lapangan Basket Mekar tgl 12 Feb'19 (pk.20.00 s/d 22.00 WIB)";"300000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"2";"2019-02-06";"112.28.111";"bdi a/n. ykki";"001A/02874/BDIUM-02/19";"(Usaha Dana) Buku Cetak Tematik Kelas III & VI SD TKI t. p. 2018-2019";"0.00";"4119390.00";"219.21.111";"hutang lain2"
"3";"2019-02-06";"112.28.111";"bdi a/n. ykki";"001B/02874/BDIUM-02/19";"Bi. Fee fund transfer";"0.00";"3000.00";"541.11.111";"Bunga bank"
"4";"2019-02-06";"112.28.111";"bdi a/n. ykki";"002A/02875/BDIUM-02/19";"Pindah Buku ke Bank Mandiri";"0.00";"75000000.00";"112.34.111";"bank mandiri"
"5";"2019-02-06";"112.28.111";"bdi a/n. ykki";"002B/02875/BDIUM-02/19";"Bi. Fee fund transfer";"0.00";"3000.00";"541.11.111";"Bunga bank"
"6";"2019-02-06";"112.28.111";"bdi a/n. ykki";"003A/02876/BDIUM-02/19";"Jasa 6 orang security @Rp. 2.000.000 periode Januari 2019";"0.00";"12000000.00";"713.19.111";"Biaya pemel. bangunan umum"
"7";"2019-02-06";"112.28.111";"bdi a/n. ykki";"003B/02876/BDIUM-02/19";"Bi. Fee fund transfer";"0.00";"3000.00";"541.11.111";"Bunga bank"
"8";"2019-02-06";"112.28.111";"bdi a/n. ykki";"004/02873/BDIUM-02/19";"Pengemb. VA SPP SMP Koper (a.n Ezra Ozora Roboy 8632201404001119) ke SD Koper (a.n Thomas Joel Risandi Roboy 8632201403001849)";"0.00";"137500.00";"118.31.112";"piutang spp smp koper"
"9";"2019-02-06";"112.28.111";"bdi a/n. ykki";"005/00619/BDIUM-02/19";"Storan Usaha Dana MW (koperasi)";"667500.00";"0.00";"219.21.111";"hutang lain2"
"10";"2019-02-06";"112.28.111";"bdi a/n. ykki";"006/00620/BDIUM-02/19";"Storan Usaha Dana MW (tinta)";"310000.00";"0.00";"219.21.111";"hutang lain2"
"11";"2019-02-06";"112.28.111";"bdi a/n. ykki";"007/00621/BDIUM-02/19";"sewa kantin MW Ho Liliana (Juli'18 s/d Juni'19)";"1100000.00";"0.00";"521.13.111";"Sewa kantin mekar wangi"
"12";"2019-02-06";"112.35.111";"bank bca r/k.77";"002/00133/BCAUM-02/19";"Arisan Solo ke 16/36";"0.00";"10000000.00";"118.52.111";"arisan skkk"
"13";"2019-02-06";"112.35.111";"bank bca r/k.77";"003/00134/BCAUM-02/19";"Arisan Pontianak ke 4/36";"0.00";"1000000.00";"118.52.111";"arisan skkk"
"14";"2019-02-06";"112.35.111";"bank bca r/k.77";"004A/00135/BCAUM-02/19";"Pph 21 masa Jan'19 YKKB";"0.00";"4737976.00";"620.11.111";"Gaji pegawai gabungan"
"15";"2019-02-06";"112.35.111";"bank bca r/k.77";"004B/00135/BCAUM-02/19";"Titipan Pph 21 Jasa masa Jan'19 (Jimmy,Iyad,Iyus,Caca)";"0.00";"156840.00";"219.21.111";"hutang lain2"
"16";"2019-02-07";"112.35.111";"bank bca r/k.77";"005/00081/BCAUM-02/19";"Sewa lapangan Basket Mekar tgl 7,14,21 & 28 Feb'19 (pk.20.00 s/d 22.00 WIB)";"1000000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"17";"2019-02-08";"112.34.111";"bank mandiri";"001A/01795/MAND-02/19";"BPJS NAKER KOTA FEB 2019";"0.00";"29627997.00";"620.11.111";"Gaji pegawai gabungan"
"18";"2019-02-08";"112.34.111";"bank mandiri";"001B/01795/MAND-02/19";"BPJS NAKER KAB FEB 2019";"0.00";"18545814.00";"620.11.111";"Gaji pegawai gabungan"
"19";"2019-02-08";"112.34.111";"bank mandiri";"001C/01795/MAND-02/19";"BPJS KESEHATAN FEB 2019";"0.00";"24733101.00";"620.11.111";"Gaji pegawai gabungan"
"20";"2019-02-08";"112.35.111";"bank bca r/k.77";"006/00136/BCAUM-02/19";"Pembyrn Tinta Epson ke Totocom (ttpn Usaha Dana)";"0.00";"2100000.00";"219.21.111";"hutang lain2"
"21";"2019-02-11";"112.35.111";"bank bca r/k.77";"007/00082/BCAUM-02/19";"Sewa lapangan Basket Mekar tgl 12 Feb'19 (pk.20.00 s/d 22.00 WIB)";"300000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"22";"2019-02-11";"112.35.111";"bank bca r/k.77";"008/00083/BCAUM-02/19";"Sewa lapangan Basket Mekar tgl 11,18 & 25 Feb'19 (pk.20.00 s/d 22.00 WIB)";"900000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"23";"2019-02-12";"112.28.111";"bdi a/n. ykki";"008/00622/BDIUM-0219";"sewa kantin MW Herlinda (Juli'18 s/d Juni'19)";"1300000.00";"0.00";"521.13.111";"Sewa kantin mekar wangi"
"24";"2019-02-12";"112.28.111";"bdi a/n. ykki";"009/00623/BDIUM-02/19";"Storan Usaha Dana MW (koperasi)";"1200000.00";"0.00";"219.21.111";"hutang lain2"
"25";"2019-02-12";"112.35.111";"bank bca r/k.77";"009/00084/BCAUM-02/19";"Sewa lapangan Basket Mekar tgl 7,14,21 & 28 Feb'19 (pk.18.00 s/d 20.00 WIB)";"1000000.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"26";"2019-02-13";"112.28.111";"bdi a/n. ykki";"010/02877/BDIUM-02/19";"Reimburstment pengeluaran kas SMA 21 Jan s/d 08 Feb'19 (cek No. 510430)";"0.00";"12257800.00";"111.28.111";"kas kecil sma mekar wangi"
"27";"2019-02-13";"112.28.111";"bdi a/n. ykki";"011A/02878/BDIUM-02/19";"Uang Kesejahteraan Januari 2019 TK Ciateul";"0.00";"540000.00";"822.11.111";"Kesejahteraan tk ciateul"
"28";"2019-02-13";"112.28.111";"bdi a/n. ykki";"011B/02878/BDIUM-02/19";"Uang Kesejahteraan Januari 2019 TK Koper";"0.00";"660000.00";"822.12.111";"Kesejahteraan tk koper"
"29";"2019-02-13";"112.28.111";"bdi a/n. ykki";"011C/02878/BDIUM-02/19";"Uang Kesejahteraan Januari 2019 TK TKI";"0.00";"570000.00";"822.13.111";"Kesejahteraan tk tki"
"30";"2019-02-13";"112.28.111";"bdi a/n. ykki";"011D/02878/BDIUM-02/19";"Uang Kesejahteraan Januari 2019 SD Ciateul";"0.00";"1380000.00";"822.14.111";"Kesejahteraan sd ciateul"
"31";"2019-02-13";"112.28.111";"bdi a/n. ykki";"011E/02878/BDIUM-02/19";"Uang Kesejahteraan Januari 2019 SD Koper";"0.00";"1560000.00";"822.15.111";"Kesejahteraan sd koper"
"32";"2019-02-13";"112.28.111";"bdi a/n. ykki";"011F/02878/BDIUM-02/19";"Uang Kesejahteraan Januari 2019 SD TKI";"0.00";"870000.00";"822.15.112";"Kesejahteraan sd tki"
"33";"2019-02-13";"112.28.111";"bdi a/n. ykki";"011G/02878/BDIUM-02/19";"Uang Kesejahteraan Januari 2019 SMP Mekar";"0.00";"1020000.00";"822.16.111";"Kesejahteraan smp mekar wangi"
"34";"2019-02-13";"112.28.111";"bdi a/n. ykki";"011H/02878/BDIUM-02/19";"Uang Kesejahteraan Januari 2019 SMP Koper";"0.00";"1290000.00";"822.17.111";"Kesejahteraan smp koper"
"35";"2019-02-13";"112.28.111";"bdi a/n. ykki";"011I/02878/BDIUM-02/19";"Uang Kesejahteraan Januari 2019 SMA";"0.00";"2190000.00";"822.18.111";"Kesejahteraan sma"
"36";"2019-02-13";"112.28.111";"bdi a/n. ykki";"011J/02878/BDIUM-02/19";"Uang Kesejahteraan Januari 2019 Staff";"0.00";"1140000.00";"822.19.111";"Kesejahteraan staff"
"37";"2019-02-13";"112.28.111";"bdi a/n. ykki";"014/00624/BDIUM-02/19";"Storan Usaha Dana SD Koper (penjualan bk cetak TP.18-19)";"7783000.00";"0.00";"219.21.111";"hutang lain2"
"38";"2019-02-13";"112.28.111";"bdi a/n. ykki";"015/00625/BDIUM-02/19";"Pindah buku dr BDI VA Koper ke BDIumum";"179000000.00";"0.00";"112.32.112";"bdi virtual koper (3562373021)"
"39";"2019-02-13";"112.28.111";"bdi a/n. ykki";"016/00626/BDIUM-02/19";"Pindah buku dr BDI VA MW ke BDIumum";"143000000.00";"0.00";"112.32.114";"bdi virtual mw 93562375307)"
"40";"2019-02-13";"112.28.111";"bdi a/n. ykki";"017/00627/BDIUM-02/19";"Pindah buku dr BDI VA Ciateul ke BDIumum";"99000000.00";"0.00";"112.32.111";"bdi virtual Ctl(3562377469)"
"41";"2019-02-13";"112.28.111";"bdi a/n. ykki";"018/00628/BDIUM-02/19";"Pindah buku dr BDI VA TKI ke BDIumum";"71000000.00";"0.00";"112.32.113";"bdi tki (virtual account)"
"42";"2019-02-13";"112.28.111";"bdi a/n. ykki";"019/02879/BDIUM-02/19";"PENGEMB. VA SPP SMA (A/N NATASHYA SETIASTUTI H. 8630201505001679) KE SPP SMA DANIEL SETIAWAN H. 8630201605001771";"0.00";"1560000.00";"118.41.111";"piutang spp sma mekar wangi"
"43";"2019-02-13";"112.28.111";"bdi a/n. ykki";"020/02880/BDIUM-02/19";"Pinjaman kary. A.n Deden Firman Ramadhan (SD ctl) cicilan 10 bln @Rp.200.000 mulai dicicil Feb'19";"0.00";"2000000.00";"117.15.111";"piutg kary & pegawai"
