"No account";"Deskripsi";"Debit Awal";"Kredit Awal";"Debit";"Kredit";"Debit Akhir";"Kredit Akhir"
"111.11.111";"kas besar";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.21.111";"kas kecil tk ciateul";"1.416.100,00";"0,00";"0,00";"1.416.100,00";"0,00";"0,00"
"111.22.111";"kas kecil tk koper";"7.929.800,00";"0,00";"0,00";"7.929.800,00";"0,00";"0,00"
"111.23.111";"kas kecil tk tki";"4.096.700,00";"0,00";"0,00";"4.096.700,00";"0,00";"0,00"
"111.24.111";"kas kecil sd ciateul";"7.000.000,00";"0,00";"0,00";"7.000.000,00";"0,00";"0,00"
"111.25.111";"kas kecil sd koper";"15.000.000,00";"0,00";"0,00";"15.000.000,00";"0,00";"0,00"
"111.26.111";"kas kecil smp mekar wangi";"6.488.200,00";"0,00";"0,00";"6.488.200,00";"0,00";"0,00"
"111.27.111";"kas kecil smp koper";"15.000.000,00";"0,00";"0,00";"15.000.000,00";"0,00";"0,00"
"111.28.111";"kas kecil sma mekar wangi";"13.889.000,00";"0,00";"0,00";"13.889.000,00";"0,00";"0,00"
"111.29.111";"kas kecil bps";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.30.111";"kas bps-2";"50.000.000,00";"0,00";"24.952.100,00";"74.952.100,00";"0,00";"0,00"
"111.31.111";"kas smtr";"0,00";"0,00";"4.720.000,00";"4.720.000,00";"0,00";"0,00"
"111.32.111";"kas kecil komputer";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"111.33.111";"kas kecil sd tki ii";"7.798.000,00";"0,00";"0,00";"7.798.000,00";"0,00";"0,00"
"112.15.111";"deposito";"1.250.725.653,00";"0,00";"5.928.706,00";"1.256.654.359,00";"0,00";"0,00"
"112.15.112";"deposito/simp. emas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.22.111";"bdi umum";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.23.111";"bdi tk pasundan";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.24.111";"bdi a/n. andrew";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.25.111";"nisp koper";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.26.111";"nisp tki ii";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.27.111";"bank niaga";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"112.28.111";"bdi a/n. ykki (no.91235572)";"720.490.975,04";"0,00";"700.120.483,70";"1.420.611.458,74";"0,00";"0,00"
"112.29.111";"cimb niaga ykki";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
